tgDataLogger2 started logging at time 01232019_205643, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_OLa9ER).X,0_rod(rod compound_OLa9ER).Y,0_rod(rod compound_OLa9ER).Z,0_rod(rod compound_OLa9ER).Euler1,0_rod(rod compound_OLa9ER).Euler2,0_rod(rod compound_OLa9ER).Euler3,0_rod(rod compound_OLa9ER).mass,1_rod(rod compound_OLa9ER).X,1_rod(rod compound_OLa9ER).Y,1_rod(rod compound_OLa9ER).Z,1_rod(rod compound_OLa9ER).Euler1,1_rod(rod compound_OLa9ER).Euler2,1_rod(rod compound_OLa9ER).Euler3,1_rod(rod compound_OLa9ER).mass,2_rod(rod compound_OLa9ER).X,2_rod(rod compound_OLa9ER).Y,2_rod(rod compound_OLa9ER).Z,2_rod(rod compound_OLa9ER).Euler1,2_rod(rod compound_OLa9ER).Euler2,2_rod(rod compound_OLa9ER).Euler3,2_rod(rod compound_OLa9ER).mass,3_rod(strut compound_OLa9ER).X,3_rod(strut compound_OLa9ER).Y,3_rod(strut compound_OLa9ER).Z,3_rod(strut compound_OLa9ER).Euler1,3_rod(strut compound_OLa9ER).Euler2,3_rod(strut compound_OLa9ER).Euler3,3_rod(strut compound_OLa9ER).mass,4_rod(strut compound_OLa9ER).X,4_rod(strut compound_OLa9ER).Y,4_rod(strut compound_OLa9ER).Z,4_rod(strut compound_OLa9ER).Euler1,4_rod(strut compound_OLa9ER).Euler2,4_rod(strut compound_OLa9ER).Euler3,4_rod(strut compound_OLa9ER).mass,5_rod(strut compound_OLa9ER).X,5_rod(strut compound_OLa9ER).Y,5_rod(strut compound_OLa9ER).Z,5_rod(strut compound_OLa9ER).Euler1,5_rod(strut compound_OLa9ER).Euler2,5_rod(strut compound_OLa9ER).Euler3,5_rod(strut compound_OLa9ER).mass,
0.1,2.04647,15.6945,3.95237,-0.00967416,-0.00213981,-0.00152295,45.0463,2.04647,15.6945,3.95237,-0.00967416,-0.00213981,-0.00152295,45.0463,2.04647,15.6945,3.95237,-0.00967416,-0.00213981,-0.00152295,45.0463,2.04647,15.6945,3.95237,-0.00967416,-0.00213981,-0.00152295,45.0463,2.04647,15.6945,3.95237,-0.00967416,-0.00213981,-0.00152295,45.0463,2.04647,15.6945,3.95237,-0.00967416,-0.00213981,-0.00152295,45.0463,
0.2,2.08923,20.0399,3.93775,-0.019208,-0.00543321,-0.00275371,45.0463,2.08923,20.0399,3.93775,-0.019208,-0.00543321,-0.00275371,45.0463,2.08923,20.0399,3.93775,-0.019208,-0.00543321,-0.00275371,45.0463,2.08923,20.0399,3.93775,-0.019208,-0.00543321,-0.00275371,45.0463,2.08923,20.0399,3.93775,-0.019208,-0.00543321,-0.00275371,45.0463,2.08923,20.0399,3.93775,-0.019208,-0.00543321,-0.00275371,45.0463,
0.3,2.132,23.4042,3.92314,-0.0287338,-0.00873833,-0.00398385,45.0463,2.132,23.4042,3.92314,-0.0287338,-0.00873833,-0.00398385,45.0463,2.132,23.4042,3.92314,-0.0287338,-0.00873833,-0.00398385,45.0463,2.132,23.4042,3.92314,-0.0287338,-0.00873833,-0.00398385,45.0463,2.132,23.4042,3.92314,-0.0287338,-0.00873833,-0.00398385,45.0463,2.132,23.4042,3.92314,-0.0287338,-0.00873833,-0.00398385,45.0463,
0.4,2.17477,25.7876,3.90852,-0.0382516,-0.0120551,-0.0052133,45.0463,2.17477,25.7876,3.90852,-0.0382516,-0.0120551,-0.0052133,45.0463,2.17477,25.7876,3.90852,-0.0382516,-0.0120551,-0.0052133,45.0463,2.17477,25.7876,3.90852,-0.0382516,-0.0120551,-0.0052133,45.0463,2.17477,25.7876,3.90852,-0.0382516,-0.0120551,-0.0052133,45.0463,2.17477,25.7876,3.90852,-0.0382516,-0.0120551,-0.0052133,45.0463,
0.5,2.21753,27.1899,3.89391,-0.0477614,-0.0153836,-0.00644199,45.0463,2.21753,27.1899,3.89391,-0.0477614,-0.0153836,-0.00644199,45.0463,2.21753,27.1899,3.89391,-0.0477614,-0.0153836,-0.00644199,45.0463,2.21753,27.1899,3.89391,-0.0477614,-0.0153836,-0.00644199,45.0463,2.21753,27.1899,3.89391,-0.0477614,-0.0153836,-0.00644199,45.0463,2.21753,27.1899,3.89391,-0.0477614,-0.0153836,-0.00644199,45.0463,
0.6,2.2603,27.6112,3.8793,-0.0572631,-0.0187237,-0.00766985,45.0463,2.2603,27.6112,3.8793,-0.0572631,-0.0187237,-0.00766985,45.0463,2.2603,27.6112,3.8793,-0.0572631,-0.0187237,-0.00766985,45.0463,2.2603,27.6112,3.8793,-0.0572631,-0.0187237,-0.00766985,45.0463,2.2603,27.6112,3.8793,-0.0572631,-0.0187237,-0.00766985,45.0463,2.2603,27.6112,3.8793,-0.0572631,-0.0187237,-0.00766985,45.0463,
0.7,2.30307,27.0516,3.86468,-0.0667567,-0.0220755,-0.0088968,45.0463,2.30307,27.0516,3.86468,-0.0667567,-0.0220755,-0.0088968,45.0463,2.30307,27.0516,3.86468,-0.0667567,-0.0220755,-0.0088968,45.0463,2.30307,27.0516,3.86468,-0.0667567,-0.0220755,-0.0088968,45.0463,2.30307,27.0516,3.86468,-0.0667567,-0.0220755,-0.0088968,45.0463,2.30307,27.0516,3.86468,-0.0667567,-0.0220755,-0.0088968,45.0463,
0.8,2.34583,25.5109,3.85007,-0.0762423,-0.0254388,-0.0101228,45.0463,2.34583,25.5109,3.85007,-0.0762423,-0.0254388,-0.0101228,45.0463,2.34583,25.5109,3.85007,-0.0762423,-0.0254388,-0.0101228,45.0463,2.34583,25.5109,3.85007,-0.0762423,-0.0254388,-0.0101228,45.0463,2.34583,25.5109,3.85007,-0.0762423,-0.0254388,-0.0101228,45.0463,2.34583,25.5109,3.85007,-0.0762423,-0.0254388,-0.0101228,45.0463,
0.9,2.3886,22.9892,3.83546,-0.0857199,-0.0288137,-0.0113477,45.0463,2.3886,22.9892,3.83546,-0.0857199,-0.0288137,-0.0113477,45.0463,2.3886,22.9892,3.83546,-0.0857199,-0.0288137,-0.0113477,45.0463,2.3886,22.9892,3.83546,-0.0857199,-0.0288137,-0.0113477,45.0463,2.3886,22.9892,3.83546,-0.0857199,-0.0288137,-0.0113477,45.0463,2.3886,22.9892,3.83546,-0.0857199,-0.0288137,-0.0113477,45.0463,
1,2.43137,19.4866,3.82084,-0.0951894,-0.0322002,-0.0125716,45.0463,2.43137,19.4866,3.82084,-0.0951894,-0.0322002,-0.0125716,45.0463,2.43137,19.4866,3.82084,-0.0951894,-0.0322002,-0.0125716,45.0463,2.43137,19.4866,3.82084,-0.0951894,-0.0322002,-0.0125716,45.0463,2.43137,19.4866,3.82084,-0.0951894,-0.0322002,-0.0125716,45.0463,2.43137,19.4866,3.82084,-0.0951894,-0.0322002,-0.0125716,45.0463,
