tgDataLogger2 started logging at time 01232019_205718, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_m7aSJ5).X,0_rod(rod compound_m7aSJ5).Y,0_rod(rod compound_m7aSJ5).Z,0_rod(rod compound_m7aSJ5).Euler1,0_rod(rod compound_m7aSJ5).Euler2,0_rod(rod compound_m7aSJ5).Euler3,0_rod(rod compound_m7aSJ5).mass,1_rod(rod compound_m7aSJ5).X,1_rod(rod compound_m7aSJ5).Y,1_rod(rod compound_m7aSJ5).Z,1_rod(rod compound_m7aSJ5).Euler1,1_rod(rod compound_m7aSJ5).Euler2,1_rod(rod compound_m7aSJ5).Euler3,1_rod(rod compound_m7aSJ5).mass,2_rod(rod compound_m7aSJ5).X,2_rod(rod compound_m7aSJ5).Y,2_rod(rod compound_m7aSJ5).Z,2_rod(rod compound_m7aSJ5).Euler1,2_rod(rod compound_m7aSJ5).Euler2,2_rod(rod compound_m7aSJ5).Euler3,2_rod(rod compound_m7aSJ5).mass,3_rod(strut compound_m7aSJ5).X,3_rod(strut compound_m7aSJ5).Y,3_rod(strut compound_m7aSJ5).Z,3_rod(strut compound_m7aSJ5).Euler1,3_rod(strut compound_m7aSJ5).Euler2,3_rod(strut compound_m7aSJ5).Euler3,3_rod(strut compound_m7aSJ5).mass,4_rod(strut compound_m7aSJ5).X,4_rod(strut compound_m7aSJ5).Y,4_rod(strut compound_m7aSJ5).Z,4_rod(strut compound_m7aSJ5).Euler1,4_rod(strut compound_m7aSJ5).Euler2,4_rod(strut compound_m7aSJ5).Euler3,4_rod(strut compound_m7aSJ5).mass,5_rod(strut compound_m7aSJ5).X,5_rod(strut compound_m7aSJ5).Y,5_rod(strut compound_m7aSJ5).Z,5_rod(strut compound_m7aSJ5).Euler1,5_rod(strut compound_m7aSJ5).Euler2,5_rod(strut compound_m7aSJ5).Euler3,5_rod(strut compound_m7aSJ5).mass,
0.1,2.04645,15.6945,3.95238,-0.00967137,-0.00213701,-0.00152076,45.0463,2.04645,15.6945,3.95238,-0.00967137,-0.00213701,-0.00152076,45.0463,2.04645,15.6945,3.95238,-0.00967137,-0.00213701,-0.00152076,45.0463,2.04645,15.6945,3.95238,-0.00967137,-0.00213701,-0.00152076,45.0463,2.04645,15.6945,3.95238,-0.00967137,-0.00213701,-0.00152076,45.0463,2.04645,15.6945,3.95238,-0.00967137,-0.00213701,-0.00152076,45.0463,
0.2,2.08921,20.0399,3.93778,-0.0192024,-0.0054276,-0.00274925,45.0463,2.08921,20.0399,3.93778,-0.0192024,-0.0054276,-0.00274925,45.0463,2.08921,20.0399,3.93778,-0.0192024,-0.0054276,-0.00274925,45.0463,2.08921,20.0399,3.93778,-0.0192024,-0.0054276,-0.00274925,45.0463,2.08921,20.0399,3.93778,-0.0192024,-0.0054276,-0.00274925,45.0463,2.08921,20.0399,3.93778,-0.0192024,-0.0054276,-0.00274925,45.0463,
0.3,2.13196,23.4042,3.92318,-0.0287254,-0.00872988,-0.00397713,45.0463,2.13196,23.4042,3.92318,-0.0287254,-0.00872988,-0.00397713,45.0463,2.13196,23.4042,3.92318,-0.0287254,-0.00872988,-0.00397713,45.0463,2.13196,23.4042,3.92318,-0.0287254,-0.00872988,-0.00397713,45.0463,2.13196,23.4042,3.92318,-0.0287254,-0.00872988,-0.00397713,45.0463,2.13196,23.4042,3.92318,-0.0287254,-0.00872988,-0.00397713,45.0463,
0.4,2.17471,25.7876,3.90858,-0.0382403,-0.0120438,-0.00520432,45.0463,2.17471,25.7876,3.90858,-0.0382403,-0.0120438,-0.00520432,45.0463,2.17471,25.7876,3.90858,-0.0382403,-0.0120438,-0.00520432,45.0463,2.17471,25.7876,3.90858,-0.0382403,-0.0120438,-0.00520432,45.0463,2.17471,25.7876,3.90858,-0.0382403,-0.0120438,-0.00520432,45.0463,2.17471,25.7876,3.90858,-0.0382403,-0.0120438,-0.00520432,45.0463,
0.5,2.21747,27.1899,3.89398,-0.0477473,-0.0153694,-0.00643074,45.0463,2.21747,27.1899,3.89398,-0.0477473,-0.0153694,-0.00643074,45.0463,2.21747,27.1899,3.89398,-0.0477473,-0.0153694,-0.00643074,45.0463,2.21747,27.1899,3.89398,-0.0477473,-0.0153694,-0.00643074,45.0463,2.21747,27.1899,3.89398,-0.0477473,-0.0153694,-0.00643074,45.0463,2.21747,27.1899,3.89398,-0.0477473,-0.0153694,-0.00643074,45.0463,
0.6,2.26022,27.6112,3.87938,-0.0572462,-0.0187066,-0.00765633,45.0463,2.26022,27.6112,3.87938,-0.0572462,-0.0187066,-0.00765633,45.0463,2.26022,27.6112,3.87938,-0.0572462,-0.0187066,-0.00765633,45.0463,2.26022,27.6112,3.87938,-0.0572462,-0.0187066,-0.00765633,45.0463,2.26022,27.6112,3.87938,-0.0572462,-0.0187066,-0.00765633,45.0463,2.26022,27.6112,3.87938,-0.0572462,-0.0187066,-0.00765633,45.0463,
0.7,2.30298,27.0516,3.86478,-0.0667371,-0.0220554,-0.00888102,45.0463,2.30298,27.0516,3.86478,-0.0667371,-0.0220554,-0.00888102,45.0463,2.30298,27.0516,3.86478,-0.0667371,-0.0220554,-0.00888102,45.0463,2.30298,27.0516,3.86478,-0.0667371,-0.0220554,-0.00888102,45.0463,2.30298,27.0516,3.86478,-0.0667371,-0.0220554,-0.00888102,45.0463,2.30298,27.0516,3.86478,-0.0667371,-0.0220554,-0.00888102,45.0463,
0.8,2.34573,25.5109,3.85018,-0.07622,-0.0254158,-0.0101047,45.0463,2.34573,25.5109,3.85018,-0.07622,-0.0254158,-0.0101047,45.0463,2.34573,25.5109,3.85018,-0.07622,-0.0254158,-0.0101047,45.0463,2.34573,25.5109,3.85018,-0.07622,-0.0254158,-0.0101047,45.0463,2.34573,25.5109,3.85018,-0.07622,-0.0254158,-0.0101047,45.0463,2.34573,25.5109,3.85018,-0.07622,-0.0254158,-0.0101047,45.0463,
0.9,2.38849,22.9892,3.83558,-0.0856949,-0.0287878,-0.0113274,45.0463,2.38849,22.9892,3.83558,-0.0856949,-0.0287878,-0.0113274,45.0463,2.38849,22.9892,3.83558,-0.0856949,-0.0287878,-0.0113274,45.0463,2.38849,22.9892,3.83558,-0.0856949,-0.0287878,-0.0113274,45.0463,2.38849,22.9892,3.83558,-0.0856949,-0.0287878,-0.0113274,45.0463,2.38849,22.9892,3.83558,-0.0856949,-0.0287878,-0.0113274,45.0463,
1,2.43124,19.4866,3.82097,-0.0951617,-0.0321712,-0.012549,45.0463,2.43124,19.4866,3.82097,-0.0951617,-0.0321712,-0.012549,45.0463,2.43124,19.4866,3.82097,-0.0951617,-0.0321712,-0.012549,45.0463,2.43124,19.4866,3.82097,-0.0951617,-0.0321712,-0.012549,45.0463,2.43124,19.4866,3.82097,-0.0951617,-0.0321712,-0.012549,45.0463,2.43124,19.4866,3.82097,-0.0951617,-0.0321712,-0.012549,45.0463,
