tgDataLogger2 started logging at time 01232019_205721, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_Gp6g6N).X,0_rod(rod compound_Gp6g6N).Y,0_rod(rod compound_Gp6g6N).Z,0_rod(rod compound_Gp6g6N).Euler1,0_rod(rod compound_Gp6g6N).Euler2,0_rod(rod compound_Gp6g6N).Euler3,0_rod(rod compound_Gp6g6N).mass,1_rod(rod compound_Gp6g6N).X,1_rod(rod compound_Gp6g6N).Y,1_rod(rod compound_Gp6g6N).Z,1_rod(rod compound_Gp6g6N).Euler1,1_rod(rod compound_Gp6g6N).Euler2,1_rod(rod compound_Gp6g6N).Euler3,1_rod(rod compound_Gp6g6N).mass,2_rod(rod compound_Gp6g6N).X,2_rod(rod compound_Gp6g6N).Y,2_rod(rod compound_Gp6g6N).Z,2_rod(rod compound_Gp6g6N).Euler1,2_rod(rod compound_Gp6g6N).Euler2,2_rod(rod compound_Gp6g6N).Euler3,2_rod(rod compound_Gp6g6N).mass,3_rod(strut compound_Gp6g6N).X,3_rod(strut compound_Gp6g6N).Y,3_rod(strut compound_Gp6g6N).Z,3_rod(strut compound_Gp6g6N).Euler1,3_rod(strut compound_Gp6g6N).Euler2,3_rod(strut compound_Gp6g6N).Euler3,3_rod(strut compound_Gp6g6N).mass,4_rod(strut compound_Gp6g6N).X,4_rod(strut compound_Gp6g6N).Y,4_rod(strut compound_Gp6g6N).Z,4_rod(strut compound_Gp6g6N).Euler1,4_rod(strut compound_Gp6g6N).Euler2,4_rod(strut compound_Gp6g6N).Euler3,4_rod(strut compound_Gp6g6N).mass,5_rod(strut compound_Gp6g6N).X,5_rod(strut compound_Gp6g6N).Y,5_rod(strut compound_Gp6g6N).Z,5_rod(strut compound_Gp6g6N).Euler1,5_rod(strut compound_Gp6g6N).Euler2,5_rod(strut compound_Gp6g6N).Euler3,5_rod(strut compound_Gp6g6N).mass,
0.1,2.04647,15.6945,3.95237,-0.00967435,-0.00213992,-0.00152281,45.0463,2.04647,15.6945,3.95237,-0.00967435,-0.00213992,-0.00152281,45.0463,2.04647,15.6945,3.95237,-0.00967435,-0.00213992,-0.00152281,45.0463,2.04647,15.6945,3.95237,-0.00967435,-0.00213992,-0.00152281,45.0463,2.04647,15.6945,3.95237,-0.00967435,-0.00213992,-0.00152281,45.0463,2.04647,15.6945,3.95237,-0.00967435,-0.00213992,-0.00152281,45.0463,
0.2,2.08923,20.0399,3.93775,-0.0192084,-0.00543339,-0.00275344,45.0463,2.08923,20.0399,3.93775,-0.0192084,-0.00543339,-0.00275344,45.0463,2.08923,20.0399,3.93775,-0.0192084,-0.00543339,-0.00275344,45.0463,2.08923,20.0399,3.93775,-0.0192084,-0.00543339,-0.00275344,45.0463,2.08923,20.0399,3.93775,-0.0192084,-0.00543339,-0.00275344,45.0463,2.08923,20.0399,3.93775,-0.0192084,-0.00543339,-0.00275344,45.0463,
0.3,2.132,23.4042,3.92314,-0.0287344,-0.00873858,-0.00398344,45.0463,2.132,23.4042,3.92314,-0.0287344,-0.00873858,-0.00398344,45.0463,2.132,23.4042,3.92314,-0.0287344,-0.00873858,-0.00398344,45.0463,2.132,23.4042,3.92314,-0.0287344,-0.00873858,-0.00398344,45.0463,2.132,23.4042,3.92314,-0.0287344,-0.00873858,-0.00398344,45.0463,2.132,23.4042,3.92314,-0.0287344,-0.00873858,-0.00398344,45.0463,
0.4,2.17477,25.7876,3.90853,-0.0382524,-0.0120555,-0.00521275,45.0463,2.17477,25.7876,3.90853,-0.0382524,-0.0120555,-0.00521275,45.0463,2.17477,25.7876,3.90853,-0.0382524,-0.0120555,-0.00521275,45.0463,2.17477,25.7876,3.90853,-0.0382524,-0.0120555,-0.00521275,45.0463,2.17477,25.7876,3.90853,-0.0382524,-0.0120555,-0.00521275,45.0463,2.17477,25.7876,3.90853,-0.0382524,-0.0120555,-0.00521275,45.0463,
0.5,2.21754,27.1899,3.89391,-0.0477624,-0.015384,-0.0064413,45.0463,2.21754,27.1899,3.89391,-0.0477624,-0.015384,-0.0064413,45.0463,2.21754,27.1899,3.89391,-0.0477624,-0.015384,-0.0064413,45.0463,2.21754,27.1899,3.89391,-0.0477624,-0.015384,-0.0064413,45.0463,2.21754,27.1899,3.89391,-0.0477624,-0.015384,-0.0064413,45.0463,2.21754,27.1899,3.89391,-0.0477624,-0.015384,-0.0064413,45.0463,
0.6,2.2603,27.6112,3.8793,-0.0572643,-0.0187242,-0.00766902,45.0463,2.2603,27.6112,3.8793,-0.0572643,-0.0187242,-0.00766902,45.0463,2.2603,27.6112,3.8793,-0.0572643,-0.0187242,-0.00766902,45.0463,2.2603,27.6112,3.8793,-0.0572643,-0.0187242,-0.00766902,45.0463,2.2603,27.6112,3.8793,-0.0572643,-0.0187242,-0.00766902,45.0463,2.2603,27.6112,3.8793,-0.0572643,-0.0187242,-0.00766902,45.0463,
0.7,2.30307,27.0516,3.86469,-0.0667581,-0.022076,-0.00889583,45.0463,2.30307,27.0516,3.86469,-0.0667581,-0.022076,-0.00889583,45.0463,2.30307,27.0516,3.86469,-0.0667581,-0.022076,-0.00889583,45.0463,2.30307,27.0516,3.86469,-0.0667581,-0.022076,-0.00889583,45.0463,2.30307,27.0516,3.86469,-0.0667581,-0.022076,-0.00889583,45.0463,2.30307,27.0516,3.86469,-0.0667581,-0.022076,-0.00889583,45.0463,
0.8,2.34584,25.5109,3.85008,-0.0762439,-0.0254394,-0.0101217,45.0463,2.34584,25.5109,3.85008,-0.0762439,-0.0254394,-0.0101217,45.0463,2.34584,25.5109,3.85008,-0.0762439,-0.0254394,-0.0101217,45.0463,2.34584,25.5109,3.85008,-0.0762439,-0.0254394,-0.0101217,45.0463,2.34584,25.5109,3.85008,-0.0762439,-0.0254394,-0.0101217,45.0463,2.34584,25.5109,3.85008,-0.0762439,-0.0254394,-0.0101217,45.0463,
0.9,2.3886,22.9892,3.83546,-0.0857217,-0.0288144,-0.0113465,45.0463,2.3886,22.9892,3.83546,-0.0857217,-0.0288144,-0.0113465,45.0463,2.3886,22.9892,3.83546,-0.0857217,-0.0288144,-0.0113465,45.0463,2.3886,22.9892,3.83546,-0.0857217,-0.0288144,-0.0113465,45.0463,2.3886,22.9892,3.83546,-0.0857217,-0.0288144,-0.0113465,45.0463,2.3886,22.9892,3.83546,-0.0857217,-0.0288144,-0.0113465,45.0463,
1,2.43137,19.4866,3.82085,-0.0951914,-0.0322009,-0.0125702,45.0463,2.43137,19.4866,3.82085,-0.0951914,-0.0322009,-0.0125702,45.0463,2.43137,19.4866,3.82085,-0.0951914,-0.0322009,-0.0125702,45.0463,2.43137,19.4866,3.82085,-0.0951914,-0.0322009,-0.0125702,45.0463,2.43137,19.4866,3.82085,-0.0951914,-0.0322009,-0.0125702,45.0463,2.43137,19.4866,3.82085,-0.0951914,-0.0322009,-0.0125702,45.0463,
1.1,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,
1.2,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,
1.3,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,
