time,0_rod(payload_bars compound_2kFFvD).X,0_rod(payload_bars compound_2kFFvD).Y,0_rod(payload_bars compound_2kFFvD).Z,0_rod(payload_bars compound_2kFFvD).Euler1,0_rod(payload_bars compound_2kFFvD).Euler2,0_rod(payload_bars compound_2kFFvD).Euler3,0_rod(payload_bars compound_2kFFvD).mass,1_rod(payload_bars compound_2kFFvD).X,1_rod(payload_bars compound_2kFFvD).Y,1_rod(payload_bars compound_2kFFvD).Z,1_rod(payload_bars compound_2kFFvD).Euler1,1_rod(payload_bars compound_2kFFvD).Euler2,1_rod(payload_bars compound_2kFFvD).Euler3,1_rod(payload_bars compound_2kFFvD).mass,2_rod(payload_bars compound_2kFFvD).X,2_rod(payload_bars compound_2kFFvD).Y,2_rod(payload_bars compound_2kFFvD).Z,2_rod(payload_bars compound_2kFFvD).Euler1,2_rod(payload_bars compound_2kFFvD).Euler2,2_rod(payload_bars compound_2kFFvD).Euler3,2_rod(payload_bars compound_2kFFvD).mass,3_rod(payload_bars compound_2kFFvD).X,3_rod(payload_bars compound_2kFFvD).Y,3_rod(payload_bars compound_2kFFvD).Z,3_rod(payload_bars compound_2kFFvD).Euler1,3_rod(payload_bars compound_2kFFvD).Euler2,3_rod(payload_bars compound_2kFFvD).Euler3,3_rod(payload_bars compound_2kFFvD).mass,4_rod(payload_bars compound_2kFFvD).X,4_rod(payload_bars compound_2kFFvD).Y,4_rod(payload_bars compound_2kFFvD).Z,4_rod(payload_bars compound_2kFFvD).Euler1,4_rod(payload_bars compound_2kFFvD).Euler2,4_rod(payload_bars compound_2kFFvD).Euler3,4_rod(payload_bars compound_2kFFvD).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.10637,4.31946,-0.322708,1.09213,0.350688,-1.79161,0.199491,3.09634,4.64249,-0.80029,0.244934,0.358977,-1.9948,0.199491,0.483234,5.88449,-0.601991,-0.141864,0.256291,-0.757265,0.199491,0.819745,5.02489,2.65186,0.171619,-0.216322,-0.930183,0.199491,0.285357,4.14866,1.84119,-1.62583,0.500999,-0.0329887,0.199645,-0.277548,5.91547,-0.816142,-1.77715,1.06074,-0.24581,0.199491,
0.0202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.10196,5.50611,0.00741094,-0.841115,-0.475612,-1.68623,0.199491,1.74016,6.56912,-0.114378,0.102897,0.475672,-1.93428,0.199491,0.901548,6.39275,0.312536,-0.0328674,0.160912,-0.456627,0.199491,0.843723,6.70768,2.07521,0.0943075,-0.270252,-0.486263,0.199491,0.336344,4.24985,1.61406,-1.54499,0.353602,-0.0880754,0.199645,0.185035,7.1622,-0.265953,-1.51712,0.534521,-0.0845541,0.199491,
0.0303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.82347,6.54728,0.29754,0.655122,-0.00653021,-2.05992,0.199491,2.70289,7.54349,-0.112176,0.506269,0.401528,-1.7129,0.199491,0.688421,6.86661,0.766165,0.0504144,0.169299,-0.244362,0.199491,1.16996,7.34834,2.77029,0.125957,0.00611208,-0.426907,0.199491,0.942526,5.94935,1.54086,-1.4665,0.365434,-0.142021,0.199645,-0.171821,8.92361,0.0430528,-1.46294,0.708741,-0.0299885,0.199491,
0.0404,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.30064,7.76368,0.385492,0.372498,-0.0677556,-1.90262,0.199491,3.18053,8.94987,0.0672528,-0.279771,0.188922,-1.95644,0.199491,0.69282,7.719,0.897534,0.00959558,0.771342,-0.218687,0.199491,1.42564,8.65837,3.29398,0.0822243,0.265768,-0.406358,0.199491,1.51142,6.75098,1.94909,-1.51654,0.47546,-0.134292,0.199645,-0.397559,9.86838,0.388865,-1.63641,1.17509,-0.185597,0.199491,
0.0505,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.16384,8.89379,0.628481,0.158143,-0.0655901,-1.80134,0.199491,2.95982,10.1486,0.439129,0.0924847,0.322317,-1.83339,0.199491,0.941084,8.85414,1.18491,0.0912647,0.624068,-0.139172,0.199491,1.70159,9.62529,3.44903,0.0538412,0.319247,-0.411742,0.199491,1.43496,7.72146,2.16269,-1.43425,0.579726,-0.145487,0.199645,-0.15723,10.9384,0.794603,-1.49761,0.300034,-0.086307,0.199491,
0.0606,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.47673,9.84986,1.16436,0.145731,-0.196367,-1.84714,0.199491,2.66699,10.9765,0.78771,-0.136125,0.288134,-1.86455,0.199491,1.12462,10.0061,1.61565,0.0778029,0.573617,-0.139047,0.199491,1.604,10.5895,3.33339,0.226452,-0.205473,-0.250813,0.199491,1.31276,9.12799,2.22222,-1.44089,0.481273,-0.1714,0.199645,0.0889699,12.0427,1.21226,-1.40605,0.251305,-0.0776526,0.199491,
0.0707,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.06367,10.732,1.59337,0.207301,-0.223163,-1.86025,0.199491,2.68197,12.0677,1.07945,-0.197151,0.268515,-1.87765,0.199491,1.17257,11.1593,1.91296,0.112287,0.282618,-0.132328,0.199491,1.65771,11.6098,3.45791,0.129661,0.26035,-0.208358,0.199491,1.29441,10.2077,2.48619,-1.43142,0.569124,-0.180949,0.199645,0.181761,13.1674,1.4823,-1.36664,0.295812,-0.0794326,0.199491,
0.0808,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.30346,11.7669,1.80252,0.0272668,-0.253365,-1.81244,0.199491,2.97859,13.4213,1.19053,0.391375,0.370749,-1.67742,0.199491,1.27257,12.0696,1.95885,0.176539,0.181739,-0.0359957,0.199491,1.78153,12.759,4.13043,0.194036,0.109955,-0.285832,0.199491,1.59132,11.1028,2.87499,-1.4355,0.593949,-0.196656,0.199645,0.2081,14.1157,1.73135,-1.38841,0.637617,-0.100432,0.199491,
0.0909,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.4117,12.8117,1.98784,-0.0369458,-0.230199,-1.75572,0.199491,3.2678,14.699,1.39384,-0.0423245,0.285299,-1.81903,0.199491,1.34267,13.0721,2.10506,0.213866,0.32493,0.00783305,0.199491,1.90746,13.8607,4.68906,0.302639,-0.0861822,-0.340356,0.199491,1.8215,11.9261,3.20336,-1.38536,0.472718,-0.176443,0.199645,0.204872,15.0969,1.98606,-1.37755,0.683653,-0.121658,0.199491,
0.101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.29155,13.6903,2.28953,0.163794,-0.185976,-1.79508,0.199491,3.35317,15.6736,1.72534,0.392267,0.335723,-1.67897,0.199491,1.46183,14.1782,2.4609,0.251236,0.216092,-0.0153343,0.199491,2.00311,14.806,4.81149,0.203687,0.262109,-0.290255,0.199491,1.96913,13.1062,3.46815,-1.37951,0.574186,-0.179521,0.199645,0.240927,16.1834,2.28639,-1.3769,0.776635,-0.121771,0.199491,
