time,0_rod(payload_bars compound_8RxQJo).X,0_rod(payload_bars compound_8RxQJo).Y,0_rod(payload_bars compound_8RxQJo).Z,0_rod(payload_bars compound_8RxQJo).Euler1,0_rod(payload_bars compound_8RxQJo).Euler2,0_rod(payload_bars compound_8RxQJo).Euler3,0_rod(payload_bars compound_8RxQJo).mass,1_rod(payload_bars compound_8RxQJo).X,1_rod(payload_bars compound_8RxQJo).Y,1_rod(payload_bars compound_8RxQJo).Z,1_rod(payload_bars compound_8RxQJo).Euler1,1_rod(payload_bars compound_8RxQJo).Euler2,1_rod(payload_bars compound_8RxQJo).Euler3,1_rod(payload_bars compound_8RxQJo).mass,2_rod(payload_bars compound_8RxQJo).X,2_rod(payload_bars compound_8RxQJo).Y,2_rod(payload_bars compound_8RxQJo).Z,2_rod(payload_bars compound_8RxQJo).Euler1,2_rod(payload_bars compound_8RxQJo).Euler2,2_rod(payload_bars compound_8RxQJo).Euler3,2_rod(payload_bars compound_8RxQJo).mass,3_rod(payload_bars compound_8RxQJo).X,3_rod(payload_bars compound_8RxQJo).Y,3_rod(payload_bars compound_8RxQJo).Z,3_rod(payload_bars compound_8RxQJo).Euler1,3_rod(payload_bars compound_8RxQJo).Euler2,3_rod(payload_bars compound_8RxQJo).Euler3,3_rod(payload_bars compound_8RxQJo).mass,4_rod(payload_bars compound_8RxQJo).X,4_rod(payload_bars compound_8RxQJo).Y,4_rod(payload_bars compound_8RxQJo).Z,4_rod(payload_bars compound_8RxQJo).Euler1,4_rod(payload_bars compound_8RxQJo).Euler2,4_rod(payload_bars compound_8RxQJo).Euler3,4_rod(payload_bars compound_8RxQJo).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.10617,4.31899,-0.322627,1.0931,0.351013,-1.79137,0.199491,3.09658,4.64234,-0.800719,0.245588,0.359148,-1.99458,0.199491,0.48361,5.88399,-0.602431,-0.141813,0.256559,-0.757352,0.199491,0.819598,5.02479,2.65154,0.171487,-0.216133,-0.930045,0.199491,0.285462,4.14835,1.84115,-1.62588,0.502443,-0.0330742,0.199645,-0.278206,5.91497,-0.816408,-1.77696,1.0601,-0.245597,0.199491,
0.0202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.10277,5.50561,0.00804063,-0.841449,-0.475959,-1.68607,0.199491,1.73976,6.56806,-0.115436,0.104866,0.476533,-1.93345,0.199491,0.901798,6.39186,0.311909,-0.0318801,0.159354,-0.456458,0.199491,0.844107,6.70668,2.07491,0.0942101,-0.269549,-0.486249,0.199491,0.336622,4.24888,1.61356,-1.54515,0.354386,-0.0884052,0.199645,0.184382,7.16157,-0.266544,-1.5173,0.535245,-0.0847497,0.199491,
0.0303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.82361,6.54557,0.29827,0.656973,-0.00500669,-2.05989,0.199491,2.70181,7.54175,-0.113345,0.503809,0.4016,-1.71393,0.199491,0.687643,6.86495,0.76542,0.050605,0.167743,-0.244417,0.199491,1.1704,7.34774,2.76927,0.125128,0.00818536,-0.426731,0.199491,0.942417,5.94861,1.54031,-1.4666,0.364976,-0.142313,0.199645,-0.172169,8.92195,0.0423306,-1.46346,0.707324,-0.0304373,0.199491,
0.0404,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.30068,7.76226,0.386267,0.374055,-0.0671101,-1.90291,0.199491,3.17923,8.94711,0.0655861,-0.281273,0.188643,-1.95711,0.199491,0.692766,7.71767,0.897124,0.007786,0.775753,-0.220165,0.199491,1.42502,8.6565,3.29235,0.0813589,0.267705,-0.406801,0.199491,1.51082,6.74925,1.94839,-1.51697,0.476276,-0.134648,0.199645,-0.398019,9.86637,0.387977,-1.63671,1.17418,-0.186045,0.199491,
0.0505,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.16469,8.89128,0.628174,0.158034,-0.0653734,-1.80159,0.199491,2.95864,10.1453,0.437805,0.095616,0.323561,-1.83272,0.199491,0.940287,8.85224,1.18448,0.090767,0.623435,-0.139758,0.199491,1.70148,9.62353,3.44795,0.054367,0.318116,-0.411713,0.199491,1.43408,7.71918,2.1617,-1.43451,0.579959,-0.145836,0.199645,-0.157524,10.936,0.793179,-1.4976,0.299569,-0.0864561,0.199491,
0.0606,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.47834,9.84722,1.16325,0.1459,-0.19597,-1.8474,0.199491,2.66632,10.9724,0.786451,-0.138078,0.2877,-1.86561,0.199491,1.1239,10.0037,1.61521,0.0775597,0.573366,-0.139811,0.199491,1.60338,10.5871,3.33231,0.22656,-0.205723,-0.251147,0.199491,1.3123,9.12548,2.22123,-1.44091,0.480605,-0.171452,0.199645,0.0878605,12.0397,1.21056,-1.40625,0.250552,-0.0778382,0.199491,
0.0707,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.06598,10.729,1.59131,0.207256,-0.222636,-1.86046,0.199491,2.6808,12.0634,1.07853,-0.196007,0.268766,-1.87789,0.199491,1.17181,11.1559,1.91248,0.112527,0.280795,-0.132904,0.199491,1.65735,11.6071,3.45594,0.129373,0.261158,-0.208907,0.199491,1.29384,10.2047,2.48573,-1.43119,0.568062,-0.180874,0.199645,0.180691,13.1636,1.48056,-1.36699,0.295582,-0.0794988,0.199491,
0.0808,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.30586,11.7635,1.80014,0.0263033,-0.253217,-1.81245,0.199491,2.97704,13.416,1.18955,0.389997,0.370874,-1.67848,0.199491,1.27192,12.0656,1.95858,0.176538,0.182847,-0.0367892,0.199491,1.78096,12.7559,4.12834,0.194383,0.108595,-0.286217,0.199491,1.59046,11.0997,2.87399,-1.43548,0.594128,-0.19666,0.199645,0.206829,14.1113,1.72941,-1.38872,0.637069,-0.100431,0.199491,
0.0909,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.41399,12.8075,1.98557,-0.0379,-0.230215,-1.75593,0.199491,3.2666,14.6929,1.39233,-0.0411227,0.285612,-1.81925,0.199491,1.34184,13.0682,2.10477,0.213882,0.324151,0.00687883,0.199491,1.90608,13.8571,4.68691,0.302417,-0.0856847,-0.340662,0.199491,1.8204,11.9223,3.20218,-1.38532,0.471622,-0.176307,0.199645,0.203306,15.0924,1.98375,-1.37773,0.683323,-0.121647,0.199491,
0.101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.29371,13.6851,2.2873,0.162245,-0.186281,-1.79521,0.199491,3.35177,15.6672,1.72335,0.391222,0.335848,-1.6798,0.199491,1.46084,14.1743,2.46003,0.251258,0.215654,-0.0162832,0.199491,2.00147,14.8018,4.81004,0.203094,0.263315,-0.290807,0.199491,1.9674,13.1008,3.46692,-1.37973,0.574485,-0.179568,0.199645,0.239434,16.179,2.28343,-1.37697,0.776017,-0.121704,0.199491,
