time,0_rod(payload_bars compound_254q9J).X,0_rod(payload_bars compound_254q9J).Y,0_rod(payload_bars compound_254q9J).Z,0_rod(payload_bars compound_254q9J).Euler1,0_rod(payload_bars compound_254q9J).Euler2,0_rod(payload_bars compound_254q9J).Euler3,0_rod(payload_bars compound_254q9J).mass,1_rod(payload_bars compound_254q9J).X,1_rod(payload_bars compound_254q9J).Y,1_rod(payload_bars compound_254q9J).Z,1_rod(payload_bars compound_254q9J).Euler1,1_rod(payload_bars compound_254q9J).Euler2,1_rod(payload_bars compound_254q9J).Euler3,1_rod(payload_bars compound_254q9J).mass,2_rod(payload_bars compound_254q9J).X,2_rod(payload_bars compound_254q9J).Y,2_rod(payload_bars compound_254q9J).Z,2_rod(payload_bars compound_254q9J).Euler1,2_rod(payload_bars compound_254q9J).Euler2,2_rod(payload_bars compound_254q9J).Euler3,2_rod(payload_bars compound_254q9J).mass,3_rod(payload_bars compound_254q9J).X,3_rod(payload_bars compound_254q9J).Y,3_rod(payload_bars compound_254q9J).Z,3_rod(payload_bars compound_254q9J).Euler1,3_rod(payload_bars compound_254q9J).Euler2,3_rod(payload_bars compound_254q9J).Euler3,3_rod(payload_bars compound_254q9J).mass,4_rod(payload_bars compound_254q9J).X,4_rod(payload_bars compound_254q9J).Y,4_rod(payload_bars compound_254q9J).Z,4_rod(payload_bars compound_254q9J).Euler1,4_rod(payload_bars compound_254q9J).Euler2,4_rod(payload_bars compound_254q9J).Euler3,4_rod(payload_bars compound_254q9J).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.10947,4.3142,-0.323818,1.05995,0.340498,-1.80575,0.199491,3.09853,4.64342,-0.804224,0.248384,0.359494,-1.99299,0.199491,0.490345,5.88087,-0.60195,-0.143782,0.259557,-0.75615,0.199491,0.817482,5.02506,2.65043,0.174356,-0.217322,-0.929241,0.199491,0.286704,4.14613,1.83944,-1.62645,0.51553,-0.0334284,0.199645,-0.279947,5.91666,-0.818465,-1.77767,1.06146,-0.244973,0.199491,
0.0202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.10538,5.5056,0.00321838,-0.834873,-0.486104,-1.68525,0.199491,1.73794,6.56412,-0.106323,0.122914,0.482068,-1.92557,0.199491,0.905059,6.38105,0.310373,-0.0165622,0.132626,-0.452078,0.199491,0.84289,6.70583,2.07643,0.0982755,-0.276776,-0.485733,0.199491,0.33977,4.24091,1.60268,-1.54283,0.362901,-0.0878221,0.199645,0.178875,7.16404,-0.27491,-1.51413,0.539477,-0.0795915,0.199491,
0.0303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.80556,6.52218,0.288999,0.683363,0.0092981,-2.06877,0.199491,2.691,7.53781,-0.103313,0.482453,0.396541,-1.7284,0.199491,0.685618,6.84318,0.761723,0.0592673,0.114672,-0.244514,0.199491,1.15959,7.3577,2.76358,0.128792,-0.00341989,-0.428239,0.199491,0.92936,5.96055,1.54262,-1.46252,0.353916,-0.136002,0.199645,-0.165774,8.91403,0.0277699,-1.45817,0.639873,-0.0229485,0.199491,
0.0404,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.28431,7.75697,0.368621,0.390218,-0.0701161,-1.91389,0.199491,3.17927,8.93473,0.0699318,-0.304064,0.168389,-1.96667,0.199491,0.698594,7.70036,0.894088,-0.0250838,0.826219,-0.241195,0.199491,1.39147,8.66329,3.2898,0.0685487,0.287775,-0.417425,0.199491,1.48946,6.73417,1.96281,-1.51327,0.48569,-0.127166,0.199645,-0.385145,9.8605,0.365676,-1.60524,1.14429,-0.160565,0.199491,
0.0505,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.17058,8.86547,0.581673,0.149929,-0.0774693,-1.8145,0.199491,2.96957,10.1109,0.450751,0.139482,0.329622,-1.82666,0.199491,0.957005,8.84527,1.18495,0.092773,0.592485,-0.150958,0.199491,1.66954,9.63805,3.47432,0.0603352,0.284936,-0.41473,0.199491,1.41597,7.70285,2.17086,-1.43458,0.581594,-0.136203,0.199645,-0.156574,10.9418,0.758067,-1.49562,0.289878,-0.0746487,0.199491,
0.0606,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.50308,9.826,1.10365,0.129822,-0.207193,-1.85378,0.199491,2.68684,10.9298,0.805574,-0.192636,0.25741,-1.89269,0.199491,1.12037,10.0024,1.62748,0.0740834,0.517176,-0.161107,0.199491,1.58588,10.5904,3.35014,0.23329,-0.230847,-0.26627,0.199491,1.31044,9.10036,2.2407,-1.43758,0.480723,-0.15792,0.199645,0.0801198,12.0494,1.1629,-1.40722,0.222936,-0.06526,0.199491,
0.0707,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.10483,10.7336,1.51614,0.21244,-0.225469,-1.87441,0.199491,2.69233,12.0089,1.10821,-0.163681,0.260111,-1.89196,0.199491,1.18603,11.1162,1.943,0.115068,0.254002,-0.161019,0.199491,1.63498,11.6283,3.45241,0.117416,0.280727,-0.231709,0.199491,1.29302,10.2091,2.50249,-1.42018,0.546739,-0.161858,0.199645,0.174593,13.1365,1.43786,-1.37264,0.338462,-0.0676172,0.199491,
0.0808,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.34308,11.7369,1.71295,0.070351,-0.245618,-1.84646,0.199491,2.97805,13.3462,1.22822,0.35237,0.360475,-1.72751,0.199491,1.28423,12.0337,1.99843,0.184281,0.0835993,-0.0759737,0.199491,1.76498,12.7836,4.10192,0.215418,0.0184541,-0.312647,0.199491,1.58517,11.1086,2.9197,-1.41942,0.570633,-0.174861,0.199645,0.202081,14.0979,1.66845,-1.39224,0.657394,-0.0821773,0.199491,
0.0909,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.45355,12.768,1.90197,-0.00953997,-0.236535,-1.79215,0.199491,3.2918,14.6001,1.40542,-0.0134434,0.2748,-1.84814,0.199491,1.36811,13.0422,2.14873,0.208569,0.370965,-0.0473334,0.199491,1.86054,13.9088,4.68757,0.286313,-0.0483144,-0.371564,0.199491,1.81674,11.9283,3.25012,-1.38029,0.449723,-0.158341,0.199645,0.183165,15.0737,1.90545,-1.37589,0.665235,-0.104273,0.199491,
0.101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.33138,13.6338,2.21299,0.160749,-0.196966,-1.83137,0.199491,3.3796,15.5775,1.72507,0.362339,0.334949,-1.73464,0.199491,1.47377,14.1587,2.49257,0.248539,0.193911,-0.0737015,0.199491,1.9537,14.8628,4.83623,0.173777,0.304841,-0.33828,0.199491,1.9577,13.0817,3.52141,-1.36861,0.513363,-0.160289,0.199645,0.228845,16.1606,2.18066,-1.35944,0.706437,-0.100057,0.199491,
