time,0_rod(payload_bars compound_iq7KN5).X,0_rod(payload_bars compound_iq7KN5).Y,0_rod(payload_bars compound_iq7KN5).Z,0_rod(payload_bars compound_iq7KN5).Euler1,0_rod(payload_bars compound_iq7KN5).Euler2,0_rod(payload_bars compound_iq7KN5).Euler3,0_rod(payload_bars compound_iq7KN5).mass,1_rod(payload_bars compound_iq7KN5).X,1_rod(payload_bars compound_iq7KN5).Y,1_rod(payload_bars compound_iq7KN5).Z,1_rod(payload_bars compound_iq7KN5).Euler1,1_rod(payload_bars compound_iq7KN5).Euler2,1_rod(payload_bars compound_iq7KN5).Euler3,1_rod(payload_bars compound_iq7KN5).mass,2_rod(payload_bars compound_iq7KN5).X,2_rod(payload_bars compound_iq7KN5).Y,2_rod(payload_bars compound_iq7KN5).Z,2_rod(payload_bars compound_iq7KN5).Euler1,2_rod(payload_bars compound_iq7KN5).Euler2,2_rod(payload_bars compound_iq7KN5).Euler3,2_rod(payload_bars compound_iq7KN5).mass,3_rod(payload_bars compound_iq7KN5).X,3_rod(payload_bars compound_iq7KN5).Y,3_rod(payload_bars compound_iq7KN5).Z,3_rod(payload_bars compound_iq7KN5).Euler1,3_rod(payload_bars compound_iq7KN5).Euler2,3_rod(payload_bars compound_iq7KN5).Euler3,3_rod(payload_bars compound_iq7KN5).mass,4_rod(payload_bars compound_iq7KN5).X,4_rod(payload_bars compound_iq7KN5).Y,4_rod(payload_bars compound_iq7KN5).Z,4_rod(payload_bars compound_iq7KN5).Euler1,4_rod(payload_bars compound_iq7KN5).Euler2,4_rod(payload_bars compound_iq7KN5).Euler3,4_rod(payload_bars compound_iq7KN5).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.78451,4.37487,-0.429379,-0.0112412,0.0225151,-2.16004,0.199491,3.30735,4.73431,-0.549322,-0.459734,-0.227512,-2.15956,0.199491,0.390978,4.94906,-1.02794,-0.0469567,0.0611305,-0.828974,0.199491,0.777657,5.94233,2.36407,-0.0581622,-0.050678,-0.72596,0.199491,0.384067,4.33548,1.81349,-1.56437,0.0865249,0.0172763,0.199645,-0.219186,7.56344,-1.00464,-1.52214,0.209577,-0.05718,0.199491,
0.0202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.50449,5.56122,-0.366246,-0.490862,-0.402514,-2.10865,0.199491,3.06511,6.18121,-0.358824,0.433793,0.379837,-2.10526,0.199491,0.516649,5.49642,-0.384113,0.117185,-0.183448,-0.677278,0.199491,0.734265,7.59229,2.14402,0.0503052,-0.108911,-0.560773,0.199491,0.032679,4.99993,1.57498,-1.54817,0.136849,-0.0999264,0.199645,-0.0431303,8.01476,-0.469994,-1.47869,0.214894,-0.00288955,0.199491,
0.0303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.65709,6.82756,-0.340839,-0.0216241,-0.110628,-2.17439,0.199491,2.78187,7.46877,-0.392631,0.336516,0.262486,-2.13688,0.199491,0.495173,6.35714,-0.100774,0.127572,-0.246883,-0.50742,0.199491,0.784102,7.94131,2.16998,0.00734596,-0.00952643,-0.779759,0.199491,0.332664,6.28386,1.89244,-1.49158,0.149795,-0.0406016,0.199645,0.0215823,8.89881,-0.103068,-1.47875,0.126451,-0.0312543,0.199491,
0.0404,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.67911,7.98074,-0.132314,-0.0963895,-0.0747886,-2.1061,0.199491,2.88192,8.3504,-0.206352,-0.119693,-0.116268,-2.14186,0.199491,0.512359,7.62636,-0.203359,0.149111,-0.174254,-0.555828,0.199491,0.7779,8.67213,2.31368,0.0987733,-0.0799255,-0.737904,0.199491,0.579322,7.23912,2.23597,-1.49873,0.192707,-0.0183639,0.199645,-0.35394,9.78725,0.106204,-1.488,0.413178,-0.00129188,0.199491,
0.0505,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.98999,8.74926,0.136056,-0.00559038,-0.0107953,-2.09193,0.199491,3.11799,9.05216,0.107502,0.268552,0.1257,-2.14033,0.199491,0.511282,8.31926,-0.135834,0.0703845,-0.0615233,-0.571174,0.199491,0.856579,9.85542,2.47078,0.210498,-0.275486,-0.552969,0.199491,0.590239,8.2659,2.32781,-1.48265,0.364423,-0.015165,0.199645,-0.407312,11.2324,0.196429,-1.55694,0.490818,0.00670978,0.199491,
0.0606,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.39844,9.71459,0.348376,0.261135,0.161371,-2.11013,0.199491,3.35013,9.94718,0.37685,0.118672,0.0384313,-2.12755,0.199491,0.478599,9.1873,-0.139287,-0.00990758,0.0434074,-0.59229,0.199491,0.868017,10.9725,2.6656,0.0470547,-0.0420099,-0.394225,0.199491,0.667044,8.98076,2.59181,-1.53453,-0.0152842,-0.0260257,0.199645,-0.326283,12.4307,0.248188,-1.53101,0.297595,0.00711663,0.199491,
0.0707,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.56291,10.8572,0.519487,-0.221777,-0.090664,-2.0983,0.199491,3.59668,10.9239,0.407663,0.0783613,-0.0216084,-2.12549,0.199491,0.40328,10.0104,-0.224864,0.148154,-0.221064,-0.552452,0.199491,0.832168,11.8917,3.04242,-0.102842,0.253754,-0.493952,0.199491,0.71613,9.83482,2.90049,-1.56232,0.364653,0.0103031,0.199645,-0.385982,13.4134,0.435091,-1.54846,0.205591,-0.0175421,0.199491,
0.0808,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.61973,11.8739,0.655248,0.126569,0.135868,-2.06504,0.199491,3.69343,11.9453,0.480059,-0.295064,-0.19534,-2.06583,0.199491,0.327332,10.9665,-0.235398,0.138561,-0.223635,-0.52509,0.199491,0.866729,12.8255,3.54845,0.0488958,-0.0642937,-0.579035,0.199491,0.685621,10.6258,3.03798,-1.57726,0.342499,-0.00391515,0.199645,-0.393647,14.333,0.582829,-1.57858,0.455753,-0.0332515,0.199491,
0.0909,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.5469,12.7779,0.796832,-0.079906,0.0404275,-2.04814,0.199491,3.64559,12.7837,0.523752,-0.0537487,0.00209502,-2.07883,0.199491,0.278337,11.9489,-0.0543415,-0.150001,0.268339,-0.506305,0.199491,0.795908,13.9055,3.99991,-0.144799,0.179518,-0.601361,0.199491,0.664158,11.434,3.04166,-1.6074,0.186472,-0.00890868,0.199645,-0.316991,15.2983,0.750342,-1.55574,0.0724434,-0.0485862,0.199491,
0.101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.43573,13.7241,1.01661,0.0404939,0.123707,-1.9943,0.199491,3.59772,13.6764,0.615909,0.167202,0.144886,-2.05817,0.199491,0.228826,12.8385,0.120608,0.0284879,-0.0910371,-0.472104,0.199491,0.796374,14.9174,4.18244,-0.114237,0.127371,-0.554034,0.199491,0.525127,12.3105,3.13871,-1.61088,0.364496,-0.0269016,0.199645,-0.231772,16.1998,0.972778,-1.57538,0.195625,-0.0756687,0.199491,
