time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_5KJ2Nf).X,6_rod(payload_bars compound_5KJ2Nf).Y,6_rod(payload_bars compound_5KJ2Nf).Z,6_rod(payload_bars compound_5KJ2Nf).Euler1,6_rod(payload_bars compound_5KJ2Nf).Euler2,6_rod(payload_bars compound_5KJ2Nf).Euler3,6_rod(payload_bars compound_5KJ2Nf).mass,7_rod(payload_bars compound_5KJ2Nf).X,7_rod(payload_bars compound_5KJ2Nf).Y,7_rod(payload_bars compound_5KJ2Nf).Z,7_rod(payload_bars compound_5KJ2Nf).Euler1,7_rod(payload_bars compound_5KJ2Nf).Euler2,7_rod(payload_bars compound_5KJ2Nf).Euler3,7_rod(payload_bars compound_5KJ2Nf).mass,8_rod(payload_bars compound_5KJ2Nf).X,8_rod(payload_bars compound_5KJ2Nf).Y,8_rod(payload_bars compound_5KJ2Nf).Z,8_rod(payload_bars compound_5KJ2Nf).Euler1,8_rod(payload_bars compound_5KJ2Nf).Euler2,8_rod(payload_bars compound_5KJ2Nf).Euler3,8_rod(payload_bars compound_5KJ2Nf).mass,9_rod(payload_bars compound_5KJ2Nf).X,9_rod(payload_bars compound_5KJ2Nf).Y,9_rod(payload_bars compound_5KJ2Nf).Z,9_rod(payload_bars compound_5KJ2Nf).Euler1,9_rod(payload_bars compound_5KJ2Nf).Euler2,9_rod(payload_bars compound_5KJ2Nf).Euler3,9_rod(payload_bars compound_5KJ2Nf).mass,10_rod(payload_bars compound_5KJ2Nf).X,10_rod(payload_bars compound_5KJ2Nf).Y,10_rod(payload_bars compound_5KJ2Nf).Z,10_rod(payload_bars compound_5KJ2Nf).Euler1,10_rod(payload_bars compound_5KJ2Nf).Euler2,10_rod(payload_bars compound_5KJ2Nf).Euler3,10_rod(payload_bars compound_5KJ2Nf).mass,
0.0101,-3.78491,4.37427,-0.429373,-0.0102448,0.0232149,-2.15987,0.199491,3.30821,4.73264,-0.550114,-0.450023,-0.220487,-2.16207,0.199491,0.39027,4.94937,-1.02798,-0.0473259,0.0615942,-0.828924,0.199491,0.777541,5.94148,2.36436,-0.0587874,-0.0500684,-0.725614,0.199491,0.384034,4.33401,1.81236,-1.56479,0.0865741,0.0172343,0.199645,-0.219763,7.56296,-1.00506,-1.52222,0.209586,-0.0573525,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0202,-3.50581,5.55986,-0.366045,-0.490613,-0.401662,-2.10888,0.199491,3.06413,6.17809,-0.361078,0.43249,0.379526,-2.10496,0.199491,0.51739,5.49488,-0.386099,0.115954,-0.181849,-0.677429,0.199491,0.73526,7.58992,2.14504,0.0491508,-0.107712,-0.560319,0.199491,0.0335901,4.99692,1.5737,-1.5489,0.138672,-0.100228,0.199645,-0.0425948,8.01335,-0.470634,-1.4791,0.215799,-0.00321839,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0303,-3.65857,6.82569,-0.34136,-0.0219944,-0.109544,-2.17384,0.199491,2.78125,7.46674,-0.394159,0.330151,0.258221,-2.13815,0.199491,0.495606,6.35382,-0.104851,0.126192,-0.244652,-0.507047,0.199491,0.787223,7.93564,2.16829,0.00858296,-0.0106419,-0.779507,0.199491,0.333569,6.2815,1.89187,-1.49148,0.148979,-0.0408803,0.199645,0.022659,8.89556,-0.102213,-1.47924,0.125626,-0.0310363,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0404,-3.6794,7.97863,-0.133985,-0.0945924,-0.0716982,-2.10547,0.199491,2.88426,8.34705,-0.207708,-0.122351,-0.119788,-2.14085,0.199491,0.51284,7.62014,-0.206433,0.152341,-0.17984,-0.555516,0.199491,0.778966,8.66391,2.30856,0.10245,-0.0838448,-0.737795,0.199491,0.580603,7.23781,2.23508,-1.49842,0.195354,-0.0180892,0.199645,-0.352889,9.78412,0.108161,-1.48792,0.408327,-0.00136795,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0505,-3.98779,8.74528,0.133837,-0.00200808,-0.00755486,-2.09093,0.199491,3.12035,9.04958,0.106011,0.257234,0.116733,-2.14135,0.199491,0.511637,8.31289,-0.141965,0.0885988,-0.0901578,-0.571631,0.199491,0.858145,9.84813,2.46534,0.212211,-0.278105,-0.553078,0.199491,0.59034,8.2586,2.32798,-1.48277,0.360558,-0.0144979,0.199645,-0.405473,11.2298,0.198756,-1.5566,0.492277,0.00662887,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0606,-4.39655,9.71103,0.344898,0.246187,0.151872,-2.11168,0.199491,3.35348,9.94427,0.370921,0.137506,0.0497885,-2.12543,0.199491,0.480499,9.18116,-0.141774,-0.0224638,0.0631382,-0.591407,0.199491,0.870546,10.9679,2.66069,0.0449058,-0.0363593,-0.392263,0.199491,0.666189,8.96537,2.59421,-1.53507,0.00708795,-0.0254528,0.199645,-0.324185,12.4273,0.247158,-1.53067,0.296158,0.00706846,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0707,-4.56033,10.8506,0.516991,-0.213216,-0.0847224,-2.09726,0.199491,3.59979,10.9196,0.401344,0.0982354,-0.00939188,-2.12391,0.199491,0.404389,10.0079,-0.233041,0.149821,-0.22482,-0.551693,0.199491,0.836451,11.8828,3.04021,-0.103643,0.257246,-0.492151,0.199491,0.715882,9.81893,2.90218,-1.56275,0.341767,0.0115886,0.199645,-0.383408,13.4099,0.434541,-1.54826,0.197255,-0.0178448,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0808,-4.62037,11.8686,0.652982,0.110063,0.128089,-2.06457,0.199491,3.69882,11.9393,0.476593,-0.291884,-0.19294,-2.06351,0.199491,0.330162,10.9595,-0.244528,0.134783,-0.219044,-0.521376,0.199491,0.870438,12.8105,3.54611,0.0530729,-0.0731221,-0.57659,0.199491,0.686967,10.614,3.02965,-1.57736,0.32547,-0.00391092,0.199645,-0.390387,14.3303,0.587679,-1.57855,0.461699,-0.0333085,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0909,-4.54458,12.7755,0.793581,-0.0733778,0.0435778,-2.04447,0.199491,3.64835,12.7745,0.518457,-0.0764558,-0.00959529,-2.075,0.199491,0.279934,11.9465,-0.062954,-0.144031,0.259199,-0.501735,0.199491,0.800435,13.885,3.99989,-0.147662,0.184792,-0.597929,0.199491,0.668119,11.4183,3.0332,-1.60853,0.185459,-0.00930786,0.199645,-0.313775,15.2952,0.75267,-1.55719,0.0948118,-0.0489325,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.101,-4.43072,13.7246,1.01276,0.0207432,0.111274,-1.99329,0.199491,3.60021,13.6653,0.607996,0.182075,0.152831,-2.05098,0.199491,0.231549,12.8389,0.113019,0.0418873,-0.118127,-0.469323,0.199491,0.801861,14.8929,4.18438,-0.118569,0.136222,-0.549571,0.199491,0.529731,12.2932,3.12661,-1.61302,0.386649,-0.0283849,0.199645,-0.231208,16.1926,0.976369,-1.57587,0.18949,-0.0755333,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
