time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_5BlTDB).X,6_rod(payload_bars compound_5BlTDB).Y,6_rod(payload_bars compound_5BlTDB).Z,6_rod(payload_bars compound_5BlTDB).Euler1,6_rod(payload_bars compound_5BlTDB).Euler2,6_rod(payload_bars compound_5BlTDB).Euler3,6_rod(payload_bars compound_5BlTDB).mass,7_rod(payload_bars compound_5BlTDB).X,7_rod(payload_bars compound_5BlTDB).Y,7_rod(payload_bars compound_5BlTDB).Z,7_rod(payload_bars compound_5BlTDB).Euler1,7_rod(payload_bars compound_5BlTDB).Euler2,7_rod(payload_bars compound_5BlTDB).Euler3,7_rod(payload_bars compound_5BlTDB).mass,8_rod(payload_bars compound_5BlTDB).X,8_rod(payload_bars compound_5BlTDB).Y,8_rod(payload_bars compound_5BlTDB).Z,8_rod(payload_bars compound_5BlTDB).Euler1,8_rod(payload_bars compound_5BlTDB).Euler2,8_rod(payload_bars compound_5BlTDB).Euler3,8_rod(payload_bars compound_5BlTDB).mass,9_rod(payload_bars compound_5BlTDB).X,9_rod(payload_bars compound_5BlTDB).Y,9_rod(payload_bars compound_5BlTDB).Z,9_rod(payload_bars compound_5BlTDB).Euler1,9_rod(payload_bars compound_5BlTDB).Euler2,9_rod(payload_bars compound_5BlTDB).Euler3,9_rod(payload_bars compound_5BlTDB).mass,10_rod(payload_bars compound_5BlTDB).X,10_rod(payload_bars compound_5BlTDB).Y,10_rod(payload_bars compound_5BlTDB).Z,10_rod(payload_bars compound_5BlTDB).Euler1,10_rod(payload_bars compound_5BlTDB).Euler2,10_rod(payload_bars compound_5BlTDB).Euler3,10_rod(payload_bars compound_5BlTDB).mass,
0.0101,-3.78475,4.37447,-0.429286,-0.0106954,0.0229023,-2.15992,0.199491,3.30824,4.73266,-0.550161,-0.450036,-0.220502,-2.16208,0.199491,0.390242,4.94931,-1.02797,-0.0474371,0.0617092,-0.82895,0.199491,0.777598,5.94143,2.36428,-0.0588827,-0.049978,-0.725671,0.199491,0.384011,4.33407,1.81244,-1.56481,0.0865399,0.0172195,0.199645,-0.21975,7.563,-1.00504,-1.52222,0.209513,-0.0573723,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0202,-3.50562,5.56017,-0.366061,-0.490838,-0.401663,-2.10886,0.199491,3.06413,6.17804,-0.361156,0.432444,0.379528,-2.10501,0.199491,0.517415,5.49502,-0.386057,0.115978,-0.181893,-0.677401,0.199491,0.735349,7.59003,2.14496,0.0492309,-0.107871,-0.560387,0.199491,0.0336424,4.99704,1.57391,-1.54891,0.138416,-0.100234,0.199645,-0.0424761,8.01334,-0.470588,-1.47916,0.215712,-0.00324448,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0303,-3.65858,6.82615,-0.341447,-0.0219312,-0.109095,-2.17367,0.199491,2.78144,7.46667,-0.39428,0.330244,0.258364,-2.13814,0.199491,0.495431,6.35384,-0.10484,0.126126,-0.244537,-0.507032,0.199491,0.787302,7.93578,2.16828,0.00842301,-0.0105745,-0.779594,0.199491,0.333778,6.28148,1.89188,-1.49155,0.149027,-0.0408193,0.199645,0.0230196,8.89574,-0.101916,-1.47934,0.125745,-0.0311383,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0404,-3.67983,7.97932,-0.134073,-0.0961165,-0.0719804,-2.10506,0.199491,2.88454,8.34687,-0.20784,-0.122301,-0.119683,-2.14095,0.199491,0.512999,7.61998,-0.206377,0.152404,-0.180067,-0.555575,0.199491,0.779302,8.66414,2.30854,0.102033,-0.0835408,-0.737896,0.199491,0.580538,7.23757,2.23493,-1.49846,0.195329,-0.0180716,0.199645,-0.352337,9.7846,0.108566,-1.48807,0.408513,-0.00147364,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0505,-3.98793,8.74593,0.134394,-0.00136308,-0.00672533,-2.09106,0.199491,3.12059,9.04943,0.105735,0.258308,0.117484,-2.14118,0.199491,0.511533,8.31281,-0.142414,0.0884201,-0.0903502,-0.571623,0.199491,0.858514,9.84827,2.4653,0.211783,-0.277885,-0.553092,0.199491,0.589749,8.25843,2.32804,-1.48316,0.36059,-0.0146999,0.199645,-0.404246,11.2303,0.198951,-1.55682,0.49243,0.00658703,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0606,-4.39735,9.71263,0.345615,0.240116,0.148769,-2.11266,0.199491,3.35464,9.94334,0.370349,0.134505,0.0479496,-2.12562,0.199491,0.480129,9.18114,-0.14094,-0.0215556,0.0612582,-0.591261,0.199491,0.871539,10.968,2.66004,0.0440276,-0.0350683,-0.392223,0.199491,0.664879,8.96511,2.59406,-1.53539,0.00790447,-0.0257624,0.199645,-0.322676,12.4278,0.247004,-1.53104,0.296186,0.00703206,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0707,-4.55983,10.8537,0.517937,-0.211781,-0.0833273,-2.09725,0.199491,3.60097,10.9177,0.401567,0.0968935,-0.0100325,-2.12405,0.199491,0.40338,10.0073,-0.233465,0.147111,-0.221435,-0.551435,0.199491,0.837581,11.8827,3.03948,-0.103916,0.257241,-0.491957,0.199491,0.714305,9.81884,2.90149,-1.56328,0.340296,0.0112504,0.199645,-0.382278,13.4106,0.435211,-1.54884,0.19683,-0.0179963,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0808,-4.61916,11.8735,0.653222,0.104654,0.125302,-2.06479,0.199491,3.69844,11.9369,0.47632,-0.293648,-0.1934,-2.06331,0.199491,0.328943,10.9591,-0.244558,0.132123,-0.215561,-0.520835,0.199491,0.871773,12.8099,3.54508,0.0533704,-0.0741819,-0.576306,0.199491,0.686235,10.6124,3.03019,-1.57812,0.321978,-0.00393817,0.199645,-0.38907,14.3317,0.588205,-1.5794,0.463712,-0.0335607,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0909,-4.54474,12.7795,0.794235,-0.0680226,0.0472338,-2.04393,0.199491,3.64803,12.7718,0.518283,-0.0754981,-0.00839694,-2.07458,0.199491,0.279097,11.9477,-0.0629398,-0.143707,0.25725,-0.501176,0.199491,0.802001,13.883,3.99965,-0.14847,0.184392,-0.597759,0.199491,0.666616,11.4181,3.0319,-1.6095,0.182768,-0.00936416,0.199645,-0.310827,15.2962,0.753654,-1.55827,0.0975961,-0.0490463,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.101,-4.43265,13.7289,1.01331,0.0175373,0.111151,-1.99328,0.199491,3.59949,13.6626,0.607308,0.178428,0.151473,-2.0509,0.199491,0.231321,12.8416,0.113112,0.0360649,-0.109285,-0.468253,0.199491,0.804148,14.8912,4.18359,-0.120757,0.137942,-0.549411,0.199491,0.527907,12.2921,3.12615,-1.61441,0.397464,-0.0287093,0.199645,-0.226922,16.1924,0.977579,-1.57703,0.189945,-0.0755425,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
