time,0_rod(payload_bars compound_0msTde).X,0_rod(payload_bars compound_0msTde).Y,0_rod(payload_bars compound_0msTde).Z,0_rod(payload_bars compound_0msTde).Euler1,0_rod(payload_bars compound_0msTde).Euler2,0_rod(payload_bars compound_0msTde).Euler3,0_rod(payload_bars compound_0msTde).mass,1_rod(payload_bars compound_0msTde).X,1_rod(payload_bars compound_0msTde).Y,1_rod(payload_bars compound_0msTde).Z,1_rod(payload_bars compound_0msTde).Euler1,1_rod(payload_bars compound_0msTde).Euler2,1_rod(payload_bars compound_0msTde).Euler3,1_rod(payload_bars compound_0msTde).mass,2_rod(payload_bars compound_0msTde).X,2_rod(payload_bars compound_0msTde).Y,2_rod(payload_bars compound_0msTde).Z,2_rod(payload_bars compound_0msTde).Euler1,2_rod(payload_bars compound_0msTde).Euler2,2_rod(payload_bars compound_0msTde).Euler3,2_rod(payload_bars compound_0msTde).mass,3_rod(payload_bars compound_0msTde).X,3_rod(payload_bars compound_0msTde).Y,3_rod(payload_bars compound_0msTde).Z,3_rod(payload_bars compound_0msTde).Euler1,3_rod(payload_bars compound_0msTde).Euler2,3_rod(payload_bars compound_0msTde).Euler3,3_rod(payload_bars compound_0msTde).mass,4_rod(payload_bars compound_0msTde).X,4_rod(payload_bars compound_0msTde).Y,4_rod(payload_bars compound_0msTde).Z,4_rod(payload_bars compound_0msTde).Euler1,4_rod(payload_bars compound_0msTde).Euler2,4_rod(payload_bars compound_0msTde).Euler3,4_rod(payload_bars compound_0msTde).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.19536,6.83133,0.192886,-0.361377,-0.459469,-3.06345,0.199491,3.37891,6.7201,0.119265,0.0521614,-0.0674754,-3.07717,0.199491,0.619733,5.12143,0.283075,-1.56005,0.0388882,-1.51776,0.199491,0.936367,10.7639,0.526108,-0.429039,0.0189647,-1.43976,0.199491,0.206064,9.02817,2.08592,-1.53168,-0.213284,-0.0947619,0.199645,0.0718315,9.0622,-1.98079,-1.61071,0.0509861,-0.0783934,0.199491,
0.0202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.12394,9.49609,0.282573,0.0571836,0.10086,-2.83214,0.199491,4.0211,10.1054,-0.406924,-0.157693,-0.219586,-3.05957,0.199491,0.795068,9.69006,-0.209402,1.48697,-0.0905829,-1.69686,0.199491,1.34083,14.2664,0.775658,-0.111929,-0.139511,-1.59068,0.199491,0.826972,10.7609,3.21755,-1.47555,-0.25759,0.00338997,0.199645,1.14416,11.2964,-2.06857,-1.58081,-0.00518201,-0.115558,0.199491,
0.0303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.37002,12.648,-0.222268,0.0585567,-0.100178,-2.95967,0.199491,4.0655,13.7925,0.0156377,-0.0822516,-0.147877,-2.90249,0.199491,1.21995,12.8789,-0.0891583,-0.269503,-0.130548,-1.42731,0.199491,2.20522,15.6091,1.5306,-0.328601,-0.0803397,-1.46365,0.199491,1.64903,14.1567,2.28153,-1.49449,0.17299,0.0665888,0.199645,1.22103,14.5566,-1.55943,-1.42104,0.383969,-0.0337382,0.199491,
0.0404,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.6402,16.0129,-0.441007,0.110089,-0.310974,-2.95933,0.199491,4.1413,16.2907,0.529139,0.199945,-0.0713384,-2.98585,0.199491,2.80265,16.2637,0.45063,-0.413324,-0.0359575,-1.41249,0.199491,2.40498,17.8041,1.20063,0.8411,-0.214274,-1.54424,0.199491,1.87084,17.3939,2.03375,-1.43737,0.267439,0.0282257,0.199645,1.39812,17.8433,-1.45075,-1.44453,0.154898,0.259476,0.199491,
0.0505,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.12812,18.8686,-0.647644,0.122363,-0.622768,-2.95943,0.199491,4.94954,19.4798,0.641547,0.163216,-0.107219,-3.02509,0.199491,2.79737,18.8001,0.696686,0.52822,-0.234287,-1.526,0.199491,2.81048,21.2831,1.21973,0.885592,-0.280312,-1.56409,0.199491,2.30788,20.4644,2.07452,-1.39946,0.276574,0.127412,0.199645,2.22735,20.6194,-1.29716,-1.39581,0.193649,0.189841,0.199491,
0.0606,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.641816,21.4313,-0.675873,0.0782353,-0.354456,-2.99356,0.199491,6.09558,22.6425,0.909376,0.109673,-0.0532272,-2.99971,0.199491,3.03404,21.5389,0.568354,-0.366694,-0.136818,-1.32191,0.199491,2.90569,25.0705,1.29359,0.584352,-0.269047,-1.51539,0.199491,2.83697,23.123,2.50534,-1.34525,0.337828,0.273628,0.199645,2.72077,23.5564,-1.54815,-1.38314,0.111786,0.158608,0.199491,
0.0707,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.43149,24.19,-0.741677,0.0446428,-0.412685,-2.98037,0.199491,6.88804,25.5794,1.01367,0.112871,-0.366513,-2.97986,0.199491,3.81672,24.0601,0.459428,0.473969,-0.259905,-1.49956,0.199491,3.14137,28.7422,1.58661,0.173719,-0.242977,-1.48976,0.199491,3.2471,26.0702,2.94227,-1.43095,-0.06857,0.274635,0.199645,3.27632,26.5075,-1.8427,-1.41497,-0.151154,0.187485,0.199491,
0.0808,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.571847,27.1481,-0.707771,0.165609,-0.0868463,-2.96293,0.199491,7.77872,28.7529,1.21491,0.272783,-0.019065,-3.02908,0.199491,4.52517,26.5734,0.518159,0.356449,-0.292944,-1.44297,0.199491,3.65439,31.6552,1.49773,0.15963,-0.274623,-1.49902,0.199491,3.62987,29.1202,3.07811,-1.37292,-0.00774999,0.271916,0.199645,3.9086,29.6263,-1.81834,-1.38581,-0.0199088,0.212617,0.199491,
0.0909,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.151922,30.0462,-0.780441,0.188387,-0.00868437,-2.95765,0.199491,8.28995,31.8163,1.31424,0.271007,-0.252987,-3.0391,0.199491,5.07314,29.5974,0.661885,0.283762,-0.279388,-1.43843,0.199491,4.11707,34.3713,1.61267,0.13516,-0.252264,-1.48983,0.199491,4.12199,32.0797,3.11198,-1.28329,0.239945,0.27866,0.199645,4.46146,32.6318,-1.77227,-1.32994,0.15904,0.204652,0.199491,
0.101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.758874,32.9326,-0.680128,0.158875,-0.496152,-2.98654,0.199491,8.41746,34.6573,1.34651,0.259859,-0.0638487,-3.01237,0.199491,5.49597,32.9216,0.742336,0.288718,-0.279545,-1.43777,0.199491,4.66892,37.1888,1.67003,0.0593841,-0.262343,-1.4326,0.199491,4.74321,35.032,2.9703,-1.34266,0.0414506,0.286766,0.199645,4.8139,35.4173,-1.53558,-1.33695,0.0304664,0.244849,0.199491,
