time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_QWV).X,6_rod(payload_bars compound_QWV).Y,6_rod(payload_bars compound_QWV).Z,6_rod(payload_bars compound_QWV).Euler1,6_rod(payload_bars compound_QWV).Euler2,6_rod(payload_bars compound_QWV).Euler3,6_rod(payload_bars compound_QWV).mass,7_rod(payload_bars compound_QWV).X,7_rod(payload_bars compound_QWV).Y,7_rod(payload_bars compound_QWV).Z,7_rod(payload_bars compound_QWV).Euler1,7_rod(payload_bars compound_QWV).Euler2,7_rod(payload_bars compound_QWV).Euler3,7_rod(payload_bars compound_QWV).mass,8_rod(payload_bars compound_QWV).X,8_rod(payload_bars compound_QWV).Y,8_rod(payload_bars compound_QWV).Z,8_rod(payload_bars compound_QWV).Euler1,8_rod(payload_bars compound_QWV).Euler2,8_rod(payload_bars compound_QWV).Euler3,8_rod(payload_bars compound_QWV).mass,9_rod(payload_bars compound_QWV).X,9_rod(payload_bars compound_QWV).Y,9_rod(payload_bars compound_QWV).Z,9_rod(payload_bars compound_QWV).Euler1,9_rod(payload_bars compound_QWV).Euler2,9_rod(payload_bars compound_QWV).Euler3,9_rod(payload_bars compound_QWV).mass,10_rod(payload_bars compound_QWV).X,10_rod(payload_bars compound_QWV).Y,10_rod(payload_bars compound_QWV).Z,10_rod(payload_bars compound_QWV).Euler1,10_rod(payload_bars compound_QWV).Euler2,10_rod(payload_bars compound_QWV).Euler3,10_rod(payload_bars compound_QWV).mass,
0.0101,-3.19404,6.83087,0.192217,-0.361431,-0.445892,-3.06317,0.199491,3.37878,6.7201,0.119037,0.0521879,-0.0676573,-3.07729,0.199491,0.619914,5.12067,0.282678,-1.55964,0.038867,-1.51763,0.199491,0.936141,10.7641,0.525768,-0.429225,0.0187735,-1.43988,0.199491,0.205192,9.0275,2.08582,-1.53143,-0.21278,-0.0945847,0.199645,0.0720056,9.06238,-1.98137,-1.61089,0.0511962,-0.0781648,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0202,-3.12596,9.49369,0.281739,0.0597405,0.097147,-2.83531,0.199491,4.02172,10.1061,-0.40846,-0.157426,-0.218725,-3.06008,0.199491,0.792171,9.68932,-0.206107,1.46266,-0.0944121,-1.69457,0.199491,1.34341,14.2669,0.776154,-0.109995,-0.139343,-1.59107,0.199491,0.830401,10.761,3.2149,-1.47507,-0.258702,0.00330262,0.199645,1.14565,11.2925,-2.0724,-1.57998,-0.00821333,-0.115148,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0303,-2.36443,12.6464,-0.220244,0.065944,-0.107142,-2.96665,0.199491,4.06459,13.7945,0.0130818,-0.0801756,-0.143842,-2.90192,0.199491,1.22527,12.876,-0.0924974,-0.239597,-0.133777,-1.4325,0.199491,2.20439,15.606,1.5317,-0.337708,-0.0779612,-1.46273,0.199491,1.65177,14.1608,2.27942,-1.49456,0.172678,0.0660293,0.199645,1.21506,14.5482,-1.56236,-1.41842,0.387444,-0.0329921,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0404,-1.62814,16.0009,-0.433016,0.111255,-0.31424,-2.95836,0.199491,4.14798,16.2932,0.515244,0.205726,-0.0631482,-2.98621,0.199491,2.80315,16.2663,0.449554,-0.39595,-0.0350396,-1.41542,0.199491,2.39908,17.8013,1.19795,0.842707,-0.211403,-1.54373,0.199491,1.87076,17.3912,2.03182,-1.43348,0.279481,0.0271565,0.199645,1.39355,17.8414,-1.44971,-1.44453,0.149267,0.254712,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0505,-1.12517,18.8503,-0.634979,0.117928,-0.640741,-2.95038,0.199491,4.95929,19.4934,0.630028,0.168036,-0.091342,-3.02388,0.199491,2.80113,18.7966,0.688178,0.511182,-0.227795,-1.51985,0.199491,2.80522,21.2797,1.22367,0.923759,-0.271714,-1.57209,0.199491,2.31996,20.4617,2.06902,-1.39461,0.279469,0.12334,0.199645,2.21548,20.6153,-1.30155,-1.3889,0.211293,0.183182,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0606,-0.632551,21.4086,-0.67162,0.079008,-0.349408,-2.99271,0.199491,6.10271,22.6453,0.88177,0.113658,-0.0528824,-2.99933,0.199491,3.04788,21.5273,0.570992,-0.366034,-0.127783,-1.32518,0.199491,2.88592,25.0872,1.29366,0.603235,-0.262375,-1.51732,0.199491,2.86481,23.1226,2.50193,-1.33172,0.37263,0.272667,0.199645,2.6966,23.5488,-1.54016,-1.37567,0.140714,0.148031,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0707,-0.411835,24.1715,-0.721834,0.0442134,-0.393522,-2.98602,0.199491,6.90755,25.586,0.986342,0.1153,-0.391815,-2.98081,0.199491,3.84071,24.0467,0.470736,0.489653,-0.249935,-1.49966,0.199491,3.12511,28.7433,1.57825,0.103137,-0.226358,-1.47295,0.199491,3.26088,26.078,2.93998,-1.43183,-0.080836,0.26908,0.199645,3.23255,26.4968,-1.85468,-1.4066,-0.131779,0.177422,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0808,-0.574814,27.1186,-0.666053,0.160619,-0.0850425,-2.96572,0.199491,7.80316,28.7678,1.1827,0.276293,-0.054954,-3.03187,0.199491,4.52058,26.5732,0.525744,0.39973,-0.286347,-1.46126,0.199491,3.65179,31.6424,1.48976,0.186652,-0.26658,-1.50575,0.199491,3.659,29.1333,3.06667,-1.37322,-0.0235911,0.266018,0.199645,3.88482,29.6096,-1.83758,-1.37499,0.00733338,0.201912,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0909,-0.169094,30.0195,-0.743216,0.193199,-0.0122586,-2.96963,0.199491,8.29225,31.8209,1.27139,0.265222,-0.329075,-3.04119,0.199491,5.07907,29.6006,0.672695,0.312196,-0.270931,-1.45064,0.199491,4.13633,34.3766,1.59583,0.125973,-0.237268,-1.48851,0.199491,4.15885,32.0936,3.10426,-1.2852,0.24478,0.266139,0.199645,4.43662,32.5961,-1.7772,-1.32588,0.154534,0.193362,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.101,0.750285,32.9067,-0.617013,0.178049,-0.45816,-3.00729,0.199491,8.41999,34.6569,1.31455,0.262288,-0.0233594,-3.01798,0.199491,5.49985,32.9269,0.74105,0.33694,-0.270506,-1.45994,0.199491,4.68269,37.1871,1.65409,0.125358,-0.255283,-1.45519,0.199491,4.78782,35.0557,2.95399,-1.35162,0.00942517,0.275953,0.199645,4.7828,35.3765,-1.56025,-1.33668,0.0169117,0.235705,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1111,1.65319,35.8491,-0.57674,0.334779,0.298961,-3.04867,0.199491,8.54819,37.5466,1.31302,0.170875,-0.436881,-2.99827,0.199491,5.86806,36.3018,0.916753,0.389801,-0.279607,-1.47653,0.199491,5.2408,39.7878,1.71172,0.0785786,-0.234924,-1.41787,0.199491,5.33103,37.9895,2.78353,-1.35511,-0.0262965,0.263685,0.199645,5.27164,38.1773,-1.29917,-1.2978,0.0939576,0.235183,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1212,2.4861,38.8534,-0.446737,0.3383,-0.49286,-3.04886,0.199491,8.64355,40.4615,1.31433,0.192263,-0.315034,-3.00874,0.199491,6.35167,39.5805,1.0804,-0.0584467,-0.209571,-1.37047,0.199491,5.90364,42.2666,1.70224,0.395791,-0.279524,-1.48725,0.199491,5.77373,40.9134,2.65404,-1.25,0.305115,0.243113,0.199645,5.74375,41.0591,-1.09252,-1.2206,0.295807,0.28734,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1313,3.24572,41.8092,-0.311487,0.409559,0.0723423,-3.06759,0.199491,8.80609,43.3487,1.3133,0.226685,-0.28075,-3.02858,0.199491,6.91332,42.708,1.1787,0.323021,-0.292626,-1.4728,0.199491,6.53388,44.8791,1.69417,0.443355,-0.293121,-1.50195,0.199491,6.15024,43.8619,2.47694,-1.23409,0.305731,0.209037,0.199645,6.24279,43.95,-0.77718,-1.23556,0.166036,0.295766,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1414,3.81055,44.6324,-0.219027,0.351521,-0.507937,-3.06921,0.199491,9.28004,46.3036,1.34688,0.258535,-0.324348,-3.03587,0.199491,7.39975,45.6519,1.23377,-0.0278527,-0.248396,-1.37031,0.199491,7.05697,47.6543,1.73411,0.48323,-0.306723,-1.53057,0.199491,6.57797,46.7939,2.52334,-1.21611,0.282389,0.212644,0.199645,6.75631,46.883,-0.682118,-1.19767,0.210476,0.309709,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1515,4.07461,47.3568,-0.209811,0.367615,-0.344395,-3.09256,0.199491,10.0183,49.2869,1.45221,0.294493,-0.264589,-3.03813,0.199491,7.97964,48.3376,1.25841,0.438518,-0.31754,-1.48986,0.199491,7.42088,50.772,1.82125,0.49055,-0.310547,-1.5443,0.199491,7.07989,49.6929,2.71073,-1.21475,0.213756,0.233397,0.199645,7.29777,49.7751,-0.733432,-1.17702,0.209432,0.314854,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1616,4.31473,50.087,-0.265455,0.357845,-0.703608,-3.08566,0.199491,10.8633,52.2642,1.64821,0.29618,-0.506576,-3.03456,0.199491,8.55046,50.8941,1.24585,0.126224,-0.273893,-1.40258,0.199491,7.699,53.9889,1.9325,0.0837314,-0.270598,-1.43441,0.199491,7.6185,52.5781,2.9752,-1.28208,-0.0923881,0.262316,0.199645,7.8146,52.6512,-0.874601,-1.27755,-0.155129,0.291645,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1717,4.56257,52.784,-0.272878,0.379506,-0.267007,-3.09239,0.199491,11.736,55.2653,1.84598,0.348822,-0.21525,-3.05434,0.199491,9.11043,53.4381,1.25952,0.276126,-0.292056,-1.45415,0.199491,7.9706,57.1999,2.00296,0.205651,-0.282685,-1.46698,0.199491,8.14529,55.4176,3.23521,-1.2395,0.0264236,0.303032,0.199645,8.32515,55.5408,-1.04674,-1.23079,-0.0354386,0.271359,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1818,4.82508,55.4675,-0.298338,0.369774,-0.178613,-3.08543,0.199491,12.5194,58.2309,2.00859,0.358815,-0.39849,-3.05744,0.199491,9.73668,55.981,1.28918,0.38246,-0.298496,-1.48991,0.199491,8.27559,60.4211,2.10372,0.325534,-0.289897,-1.5063,0.199491,8.63326,58.2526,3.4951,-1.22618,0.0288129,0.321298,0.199645,8.84955,58.4148,-1.21185,-1.19766,0.0473258,0.265796,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
