time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_55rHy1).X,6_rod(payload_bars compound_55rHy1).Y,6_rod(payload_bars compound_55rHy1).Z,6_rod(payload_bars compound_55rHy1).Euler1,6_rod(payload_bars compound_55rHy1).Euler2,6_rod(payload_bars compound_55rHy1).Euler3,6_rod(payload_bars compound_55rHy1).mass,7_rod(payload_bars compound_55rHy1).X,7_rod(payload_bars compound_55rHy1).Y,7_rod(payload_bars compound_55rHy1).Z,7_rod(payload_bars compound_55rHy1).Euler1,7_rod(payload_bars compound_55rHy1).Euler2,7_rod(payload_bars compound_55rHy1).Euler3,7_rod(payload_bars compound_55rHy1).mass,8_rod(payload_bars compound_55rHy1).X,8_rod(payload_bars compound_55rHy1).Y,8_rod(payload_bars compound_55rHy1).Z,8_rod(payload_bars compound_55rHy1).Euler1,8_rod(payload_bars compound_55rHy1).Euler2,8_rod(payload_bars compound_55rHy1).Euler3,8_rod(payload_bars compound_55rHy1).mass,9_rod(payload_bars compound_55rHy1).X,9_rod(payload_bars compound_55rHy1).Y,9_rod(payload_bars compound_55rHy1).Z,9_rod(payload_bars compound_55rHy1).Euler1,9_rod(payload_bars compound_55rHy1).Euler2,9_rod(payload_bars compound_55rHy1).Euler3,9_rod(payload_bars compound_55rHy1).mass,10_rod(payload_bars compound_55rHy1).X,10_rod(payload_bars compound_55rHy1).Y,10_rod(payload_bars compound_55rHy1).Z,10_rod(payload_bars compound_55rHy1).Euler1,10_rod(payload_bars compound_55rHy1).Euler2,10_rod(payload_bars compound_55rHy1).Euler3,10_rod(payload_bars compound_55rHy1).mass,
0.0101,-4.42959,99.4151,-0.555845,0.000318584,0.000345127,-2.35613,0.199491,3.38775,99.3805,-0.591278,-9.7837e-05,5.60219e-06,-2.35624,0.199491,0.469114,98.6221,-0.811576,-0.000164253,9.09176e-05,-0.78535,0.199491,0.846602,101.008,1.97704,0.000223351,-0.000299172,-0.785539,0.199491,0.773909,99.0289,1.88716,-1.57637,-0.00499556,-0.00587553,0.199645,-0.309113,101.684,-1.11567,-1.57072,-0.000750303,-0.000134497,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0202,-4.42738,99.3995,-0.555888,0.00121525,0.00144927,-2.356,0.199491,3.38649,99.3662,-0.592438,-0.00041277,-0.000129031,-2.35624,0.199491,0.468843,98.6078,-0.811116,-0.000676595,0.00035075,-0.784994,0.199491,0.846317,100.994,1.97639,0.000686165,-0.00106491,-0.786115,0.199491,0.772188,99.0132,1.88675,-1.57629,-0.0031217,-0.00594372,0.199645,-0.307993,101.668,-1.11484,-1.57066,-0.00259338,-0.00023113,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0303,-4.42377,99.3739,-0.556077,0.00240878,0.00308008,-2.35561,0.199491,3.38469,99.342,-0.593395,-0.000748363,-0.000291902,-2.35636,0.199491,0.468345,98.5834,-0.81042,-0.00124313,0.000685238,-0.784693,0.199491,0.845934,100.969,1.97511,0.00128401,-0.00197143,-0.786769,0.199491,0.770149,98.9876,1.88634,-1.57609,-0.00112045,-0.0059899,0.199645,-0.307086,101.642,-1.11367,-1.57061,-0.00454587,-0.000428988,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0404,-4.41966,99.3381,-0.555919,0.00333138,0.0047711,-2.35513,0.199491,3.3825,99.3079,-0.594326,-0.0010607,-0.00061344,-2.35653,0.199491,0.468027,98.5489,-0.80957,-0.00185743,0.00100703,-0.784405,0.199491,0.845539,100.934,1.97301,0.00168308,-0.0028163,-0.78743,0.199491,0.767267,98.9521,1.88587,-1.57574,5.06386e-05,-0.00607563,0.199645,-0.305611,101.606,-1.11215,-1.57058,-0.00578188,-0.00063819,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0505,-4.41516,99.2923,-0.555998,0.00382974,0.00620372,-2.35452,0.199491,3.38004,99.2641,-0.595417,-0.00149902,-0.00108337,-2.35672,0.199491,0.467678,98.5047,-0.808472,-0.0023342,0.00119873,-0.784062,0.199491,0.845031,100.889,1.97059,0.00184216,-0.00345127,-0.788304,0.199491,0.764318,98.9066,1.88531,-1.57535,0.000164241,-0.00611681,0.199645,-0.304049,101.559,-1.11006,-1.57053,-0.0057856,-0.000899979,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0606,-4.41016,99.2365,-0.556352,0.00380697,0.00718358,-2.35381,0.199491,3.37711,99.2104,-0.596572,-0.00208189,-0.00153602,-2.35695,0.199491,0.467379,98.4506,-0.806833,-0.00262946,0.00122012,-0.783683,0.199491,0.844653,100.834,1.96813,0.00183311,-0.00392542,-0.789252,0.199491,0.761217,98.8509,1.88457,-1.57489,-0.000677674,-0.00618716,0.199645,-0.302541,101.502,-1.10797,-1.57052,-0.00479823,-0.00114718,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0707,-4.40497,99.1704,-0.556669,0.00323906,0.00770405,-2.35303,0.199491,3.37395,99.1466,-0.597696,-0.00267454,-0.00196382,-2.3572,0.199491,0.467089,98.3867,-0.805035,-0.00281614,0.00110566,-0.78334,0.199491,0.844222,100.769,1.9656,0.001644,-0.00426912,-0.790176,0.199491,0.757892,98.7852,1.88356,-1.5744,-0.00200061,-0.00625076,0.199645,-0.300723,101.436,-1.10575,-1.57048,-0.00343341,-0.00144352,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0808,-4.39949,99.0944,-0.556805,0.00238319,0.00794129,-2.35231,0.199491,3.37086,99.073,-0.598853,-0.00326426,-0.00250076,-2.35745,0.199491,0.46666,98.3126,-0.803447,-0.00296275,0.000906787,-0.782938,0.199491,0.843721,100.694,1.96273,0.00132872,-0.00450004,-0.791159,0.199491,0.754495,98.7096,1.88278,-1.57393,-0.00338589,-0.00630274,0.199645,-0.298998,101.359,-1.10337,-1.57046,-0.00220991,-0.00172673,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0909,-4.39377,99.0085,-0.556746,0.00150435,0.00803664,-2.35167,0.199491,3.36778,98.9894,-0.600165,-0.00386591,-0.00307671,-2.35765,0.199491,0.466251,98.2286,-0.80215,-0.00307834,0.00069129,-0.782525,0.199491,0.843162,100.609,1.95992,0.000972406,-0.00471016,-0.792154,0.199491,0.750863,98.624,1.88223,-1.57349,-0.00474491,-0.00636877,0.199645,-0.297237,101.272,-1.10103,-1.57041,-0.00102581,-0.00200956,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.101,-4.38806,98.9127,-0.556689,0.000625941,0.00813358,-2.35104,0.199491,3.36471,98.8958,-0.601474,-0.0044659,-0.0036528,-2.35786,0.199491,0.46582,98.1346,-0.800832,-0.0031963,0.000460979,-0.782111,0.199491,0.842604,100.514,1.95711,0.000616011,-0.0049216,-0.793147,0.199491,0.747246,98.5284,1.88168,-1.57304,-0.00611024,-0.00644147,0.199645,-0.295473,101.175,-1.09871,-1.57037,0.00016815,-0.00229475,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1111,-4.38234,98.8068,-0.556633,-0.000252661,0.00823133,-2.3504,0.199491,3.36163,98.7922,-0.602783,-0.00506564,-0.00422914,-2.35807,0.199491,0.465377,98.0306,-0.799507,-0.00331034,0.000229687,-0.781695,0.199491,0.842046,100.409,1.95431,0.000259752,-0.00513347,-0.79414,0.199491,0.743633,98.4228,1.88113,-1.57259,-0.00747626,-0.00651465,0.199645,-0.293701,101.069,-1.09639,-1.57033,0.00136491,-0.00257762,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1212,-4.37663,98.6909,-0.556578,-0.00113433,0.0083272,-2.34977,0.199491,3.35855,98.6786,-0.604092,-0.00566515,-0.00480572,-2.35827,0.199491,0.464938,97.9165,-0.798179,-0.00342731,-2.31886e-06,-0.781278,0.199491,0.841488,100.293,1.9515,-9.637e-05,-0.00534577,-0.795133,0.199491,0.74002,98.3071,1.88058,-1.57214,-0.00883769,-0.00658913,0.199645,-0.291933,100.952,-1.09408,-1.57029,0.002563,-0.0028624,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1313,-4.37091,98.5649,-0.556529,-0.00202324,0.00841729,-2.34913,0.199491,3.35548,98.555,-0.605401,-0.00626441,-0.00538254,-2.35848,0.199491,0.4645,97.7925,-0.796851,-0.00354438,-0.000234298,-0.780862,0.199491,0.84093,100.168,1.94869,-0.000452355,-0.0055585,-0.796126,0.199491,0.736406,98.1815,1.88003,-1.5717,-0.0101879,-0.0066668,0.199645,-0.290165,100.825,-1.09177,-1.57025,0.00376109,-0.00314718,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1414,-4.36519,98.429,-0.556481,-0.0029128,0.0085078,-2.34849,0.199491,3.3524,98.4213,-0.60671,-0.00686344,-0.00595962,-2.35868,0.199491,0.464061,97.6584,-0.795523,-0.00366158,-0.000466273,-0.780445,0.199491,0.840372,100.033,1.94588,-0.000808202,-0.00577166,-0.797119,0.199491,0.732793,98.0459,1.87949,-1.57126,-0.0115374,-0.00674464,0.199645,-0.288397,100.688,-1.08945,-1.5702,0.0049592,-0.00343197,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1515,-4.35948,98.283,-0.556436,-0.00381001,0.00859206,-2.34785,0.199491,3.34932,98.2777,-0.608018,-0.00746222,-0.00653693,-2.35889,0.199491,0.463612,97.5144,-0.794196,-0.00377996,-0.000705854,-0.780031,0.199491,0.839814,99.8876,1.94307,-0.00116391,-0.00598524,-0.798111,0.199491,0.729189,97.9003,1.87896,-1.57082,-0.0128762,-0.00682643,0.199645,-0.286629,100.542,-1.08714,-1.57017,0.00615731,-0.00371677,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1616,-4.35376,98.1271,-0.556394,-0.00471094,0.00867381,-2.3472,0.199491,3.34625,98.1241,-0.609327,-0.00806077,-0.0071145,-2.35909,0.199491,0.463161,97.3603,-0.792871,-0.00389871,-0.000947178,-0.779618,0.199491,0.839256,99.7323,1.94026,-0.00151948,-0.00619925,-0.799104,0.199491,0.725588,97.7447,1.87842,-1.57039,-0.0142099,-0.00690974,0.199645,-0.284861,100.385,-1.08483,-1.57013,0.00735543,-0.00400157,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1717,-4.34804,97.9611,-0.556354,-0.00561585,0.0087528,-2.34656,0.199491,3.34317,97.9604,-0.610636,-0.00865908,-0.00769231,-2.3593,0.199491,0.462709,97.1963,-0.791545,-0.00401759,-0.00118848,-0.779204,0.199491,0.838698,99.5671,1.93746,-0.00187491,-0.00641369,-0.800096,0.199491,0.721987,97.5791,1.87789,-1.56997,-0.0155379,-0.00699432,0.199645,-0.283093,100.218,-1.08252,-1.57009,0.00855357,-0.00428639,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
