time,0_rod(payload_bars compound_p62G42).X,0_rod(payload_bars compound_p62G42).Y,0_rod(payload_bars compound_p62G42).Z,0_rod(payload_bars compound_p62G42).Euler1,0_rod(payload_bars compound_p62G42).Euler2,0_rod(payload_bars compound_p62G42).Euler3,0_rod(payload_bars compound_p62G42).mass,1_rod(payload_bars compound_p62G42).X,1_rod(payload_bars compound_p62G42).Y,1_rod(payload_bars compound_p62G42).Z,1_rod(payload_bars compound_p62G42).Euler1,1_rod(payload_bars compound_p62G42).Euler2,1_rod(payload_bars compound_p62G42).Euler3,1_rod(payload_bars compound_p62G42).mass,2_rod(payload_bars compound_p62G42).X,2_rod(payload_bars compound_p62G42).Y,2_rod(payload_bars compound_p62G42).Z,2_rod(payload_bars compound_p62G42).Euler1,2_rod(payload_bars compound_p62G42).Euler2,2_rod(payload_bars compound_p62G42).Euler3,2_rod(payload_bars compound_p62G42).mass,3_rod(payload_bars compound_p62G42).X,3_rod(payload_bars compound_p62G42).Y,3_rod(payload_bars compound_p62G42).Z,3_rod(payload_bars compound_p62G42).Euler1,3_rod(payload_bars compound_p62G42).Euler2,3_rod(payload_bars compound_p62G42).Euler3,3_rod(payload_bars compound_p62G42).mass,4_rod(payload_bars compound_p62G42).X,4_rod(payload_bars compound_p62G42).Y,4_rod(payload_bars compound_p62G42).Z,4_rod(payload_bars compound_p62G42).Euler1,4_rod(payload_bars compound_p62G42).Euler2,4_rod(payload_bars compound_p62G42).Euler3,4_rod(payload_bars compound_p62G42).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0.0131282,10.0616,0.0904189,0.00712537,-0.00712519,-2.53859e-05,0.00640547,0.0131282,10.0616,0.0904189,0.00712537,-0.00712519,-2.53859e-05,0.00640547,0.0131282,10.0616,0.0904189,0.00712537,-0.00712519,-2.53859e-05,0.00640547,0.0131282,10.0616,0.0904189,0.00712537,-0.00712519,-2.53859e-05,0.00640547,0.0131282,10.0616,0.0904189,0.00712537,-0.00712519,-2.53859e-05,0.00640547,-4.42974,9.41518,-0.55579,0.000321855,0.000351285,-2.35614,0.199491,3.38795,9.38058,-0.591181,-0.000132351,1.12542e-05,-2.35623,0.199491,0.469065,8.62226,-0.81143,-0.000146579,7.51157e-05,-0.785343,0.199491,0.846647,11.0083,1.97731,0.000258755,-0.000330614,-0.785518,0.199491,0.774033,9.02888,1.88725,-1.5764,-0.00498643,-0.00585926,0.199645,-0.309103,11.6843,-1.11565,-1.5707,-0.000767398,-0.000140353,0.199491,
0.0202,0.0123618,10.0524,0.0961116,0.0143812,-0.0143797,-0.000103404,0.00640547,0.0123618,10.0524,0.0961116,0.0143812,-0.0143797,-0.000103404,0.00640547,0.0123618,10.0524,0.0961116,0.0143812,-0.0143797,-0.000103404,0.00640547,0.0123618,10.0524,0.0961116,0.0143812,-0.0143797,-0.000103404,0.00640547,0.0123618,10.0524,0.0961116,0.0143812,-0.0143797,-0.000103404,0.00640547,-4.42764,9.39977,-0.555668,0.00122409,0.0014557,-2.35599,0.199491,3.38677,9.36639,-0.592195,-0.000434717,-0.000145996,-2.35624,0.199491,0.468935,8.60786,-0.811065,-0.000663684,0.000354044,-0.785008,0.199491,0.846392,10.9939,1.97693,0.000760392,-0.00111777,-0.786096,0.199491,0.77238,9.01339,1.88704,-1.5763,-0.00308068,-0.00593755,0.199645,-0.30797,11.6682,-1.11472,-1.57067,-0.00263652,-0.000235292,0.199491,
0.0303,0.0115955,10.0331,0.101804,0.0216386,-0.0216335,-0.00023408,0.00640547,0.0115955,10.0331,0.101804,0.0216386,-0.0216335,-0.00023408,0.00640547,0.0115955,10.0331,0.101804,0.0216386,-0.0216335,-0.00023408,0.00640547,0.0115955,10.0331,0.101804,0.0216386,-0.0216335,-0.00023408,0.00640547,0.0115955,10.0331,0.101804,0.0216386,-0.0216335,-0.00023408,0.00640547,-4.42415,9.37434,-0.555691,0.002401,0.00312804,-2.3556,0.199491,3.38529,9.34231,-0.593012,-0.000744249,-0.000321344,-2.35635,0.199491,0.468394,8.5835,-0.810328,-0.00120859,0.000673653,-0.7847,0.199491,0.846003,10.9694,1.97575,0.00134824,-0.00202216,-0.78674,0.199491,0.770435,8.98784,1.88686,-1.57612,-0.00106211,-0.00595565,0.199645,-0.307072,11.6422,-1.11344,-1.57061,-0.00458008,-0.000439785,0.199491,
0.0404,0.0108292,10.0038,0.107497,0.0288982,-0.0288862,-0.000417441,0.00640547,0.0108292,10.0038,0.107497,0.0288982,-0.0288862,-0.000417441,0.00640547,0.0108292,10.0038,0.107497,0.0288982,-0.0288862,-0.000417441,0.00640547,0.0108292,10.0038,0.107497,0.0288982,-0.0288862,-0.000417441,0.00640547,0.0108292,10.0038,0.107497,0.0288982,-0.0288862,-0.000417441,0.00640547,-4.42016,9.33862,-0.555428,0.00333893,0.00485208,-2.35509,0.199491,3.38322,9.30835,-0.593811,-0.00102729,-0.000615131,-2.35652,0.199491,0.468125,8.54908,-0.809433,-0.0018127,0.000993137,-0.78442,0.199491,0.845641,10.9347,1.97396,0.00172328,-0.00283541,-0.787393,0.199491,0.767646,8.95242,1.88651,-1.57577,6.953e-05,-0.00603641,0.199645,-0.305555,11.6064,-1.11184,-1.57058,-0.0057324,-0.000661206,0.199491,
0.0505,0.0100628,9.96452,0.11319,0.0361609,-0.0361373,-0.000653526,0.00640547,0.0100628,9.96452,0.11319,0.0361609,-0.0361373,-0.000653526,0.00640547,0.0100628,9.96452,0.11319,0.0361609,-0.0361373,-0.000653526,0.00640547,0.0100628,9.96452,0.11319,0.0361609,-0.0361373,-0.000653526,0.00640547,0.0100628,9.96452,0.11319,0.0361609,-0.0361373,-0.000653526,0.00640547,-4.41574,9.293,-0.555447,0.0038492,0.00630826,-2.35447,0.199491,3.38089,9.26467,-0.594784,-0.0014614,-0.00103743,-2.35671,0.199491,0.467809,8.50491,-0.808181,-0.00227226,0.00117915,-0.784073,0.199491,0.845198,10.8899,1.97182,0.00183961,-0.00341893,-0.788267,0.199491,0.764788,8.90696,1.88608,-1.57539,9.7992e-05,-0.00607445,0.199645,-0.303992,11.56,-1.10971,-1.57053,-0.00560235,-0.000923027,0.199491,
0.0606,0.00929649,9.91522,0.118882,0.0434274,-0.0433865,-0.000942383,0.00640547,0.00929649,9.91522,0.118882,0.0434274,-0.0433865,-0.000942383,0.00640547,0.00929649,9.91522,0.118882,0.0434274,-0.0433865,-0.000942383,0.00640547,0.00929649,9.91522,0.118882,0.0434274,-0.0433865,-0.000942383,0.00640547,0.00929649,9.91522,0.118882,0.0434274,-0.0433865,-0.000942383,0.00640547,-4.41083,9.23727,-0.555685,0.00379687,0.0072975,-2.35374,0.199491,3.37813,9.21106,-0.595813,-0.00201276,-0.0014674,-2.35694,0.199491,0.467528,8.45089,-0.806479,-0.00256029,0.00120036,-0.783696,0.199491,0.844828,10.8352,1.96957,0.00174786,-0.00381271,-0.789218,0.199491,0.761781,8.8513,1.88548,-1.57494,-0.000822844,-0.00612633,0.199645,-0.302454,11.5035,-1.10748,-1.57052,-0.0045312,-0.0011827,0.199491,
0.0707,0.00853015,9.85592,0.124575,0.0506985,-0.0506335,-0.00128408,0.00640547,0.00853015,9.85592,0.124575,0.0506985,-0.0506335,-0.00128408,0.00640547,0.00853015,9.85592,0.124575,0.0506985,-0.0506335,-0.00128408,0.00640547,0.00853015,9.85592,0.124575,0.0506985,-0.0506335,-0.00128408,0.00640547,0.00853015,9.85592,0.124575,0.0506985,-0.0506335,-0.00128408,0.00640547,-4.40568,9.17134,-0.555826,0.00317014,0.00779756,-2.35295,0.199491,3.37512,9.14742,-0.596799,-0.00256312,-0.00188923,-2.35719,0.199491,0.46726,8.38697,-0.804664,-0.00274955,0.0010801,-0.783347,0.199491,0.844428,10.7707,1.96718,0.00146321,-0.00406476,-0.790141,0.199491,0.758469,8.7857,1.88466,-1.57444,-0.00222131,-0.00618641,0.199645,-0.300585,11.437,-1.10514,-1.57048,-0.00314206,-0.00148533,0.199491,
0.0808,0.00776381,9.78661,0.130268,0.0579749,-0.0578777,-0.00167867,0.00640547,0.00776381,9.78661,0.130268,0.0579749,-0.0578777,-0.00167867,0.00640547,0.00776381,9.78661,0.130268,0.0579749,-0.0578777,-0.00167867,0.00640547,0.00776381,9.78661,0.130268,0.0579749,-0.0578777,-0.00167867,0.00640547,0.00776381,9.78661,0.130268,0.0579749,-0.0578777,-0.00167867,0.00640547,-4.39997,9.09552,-0.55566,0.00225213,0.00785491,-2.35231,0.199491,3.37219,9.07393,-0.597989,-0.00315664,-0.00242509,-2.35739,0.199491,0.466769,8.31306,-0.803211,-0.00284973,0.000817945,-0.782912,0.199491,0.843859,10.6958,1.96462,0.00104453,-0.00421897,-0.791119,0.199491,0.754962,8.7102,1.88419,-1.57402,-0.00363686,-0.00626229,0.199645,-0.298776,11.3604,-1.10272,-1.57043,-0.00181995,-0.00177567,0.199491,
0.0909,0.00699748,9.70729,0.13596,0.0652574,-0.0651189,-0.00212626,0.00640547,0.00699748,9.70729,0.13596,0.0652574,-0.0651189,-0.00212626,0.00640547,0.00699748,9.70729,0.13596,0.0652574,-0.0651189,-0.00212626,0.00640547,0.00699748,9.70729,0.13596,0.0652574,-0.0651189,-0.00212626,0.00640547,0.00699748,9.70729,0.13596,0.0652574,-0.0651189,-0.00212626,0.00640547,-4.39426,9.00979,-0.555566,0.00131931,0.00789785,-2.35168,0.199491,3.36916,8.99046,-0.599233,-0.00375888,-0.00298325,-2.35757,0.199491,0.466362,8.22917,-0.801802,-0.00295298,0.000556941,-0.782463,0.199491,0.843322,10.6108,1.96213,0.000636929,-0.00434694,-0.792149,0.199491,0.751406,8.62466,1.88383,-1.57357,-0.00505232,-0.00637922,0.199645,-0.296925,11.2738,-1.10031,-1.57039,-0.000531894,-0.0020545,0.199491,
0.101,0.00623114,9.61796,0.141653,0.0725468,-0.0723567,-0.00262693,0.00640547,0.00623114,9.61796,0.141653,0.0725468,-0.0723567,-0.00262693,0.00640547,0.00623114,9.61796,0.141653,0.0725468,-0.0723567,-0.00262693,0.00640547,0.00623114,9.61796,0.141653,0.0725468,-0.0723567,-0.00262693,0.00640547,0.00623114,9.61796,0.141653,0.0725468,-0.0723567,-0.00262693,0.00640547,-4.38856,8.91406,-0.555475,0.000386852,0.00794152,-2.35105,0.199491,3.36612,8.897,-0.600472,-0.00436498,-0.00353806,-2.35776,0.199491,0.465954,8.13524,-0.800385,-0.00305576,0.000297972,-0.782014,0.199491,0.842788,10.5159,1.95964,0.000229937,-0.0044762,-0.79318,0.199491,0.747852,8.52911,1.88346,-1.57313,-0.00646802,-0.00649675,0.199645,-0.295066,11.1771,-1.09791,-1.57034,0.000759425,-0.00233062,0.199491,
