time,0_rod(payload_bars compound_QbW0t0).X,0_rod(payload_bars compound_QbW0t0).Y,0_rod(payload_bars compound_QbW0t0).Z,0_rod(payload_bars compound_QbW0t0).Euler1,0_rod(payload_bars compound_QbW0t0).Euler2,0_rod(payload_bars compound_QbW0t0).Euler3,0_rod(payload_bars compound_QbW0t0).mass,1_rod(payload_bars compound_QbW0t0).X,1_rod(payload_bars compound_QbW0t0).Y,1_rod(payload_bars compound_QbW0t0).Z,1_rod(payload_bars compound_QbW0t0).Euler1,1_rod(payload_bars compound_QbW0t0).Euler2,1_rod(payload_bars compound_QbW0t0).Euler3,1_rod(payload_bars compound_QbW0t0).mass,2_rod(payload_bars compound_QbW0t0).X,2_rod(payload_bars compound_QbW0t0).Y,2_rod(payload_bars compound_QbW0t0).Z,2_rod(payload_bars compound_QbW0t0).Euler1,2_rod(payload_bars compound_QbW0t0).Euler2,2_rod(payload_bars compound_QbW0t0).Euler3,2_rod(payload_bars compound_QbW0t0).mass,3_rod(payload_bars compound_QbW0t0).X,3_rod(payload_bars compound_QbW0t0).Y,3_rod(payload_bars compound_QbW0t0).Z,3_rod(payload_bars compound_QbW0t0).Euler1,3_rod(payload_bars compound_QbW0t0).Euler2,3_rod(payload_bars compound_QbW0t0).Euler3,3_rod(payload_bars compound_QbW0t0).mass,4_rod(payload_bars compound_QbW0t0).X,4_rod(payload_bars compound_QbW0t0).Y,4_rod(payload_bars compound_QbW0t0).Z,4_rod(payload_bars compound_QbW0t0).Euler1,4_rod(payload_bars compound_QbW0t0).Euler2,4_rod(payload_bars compound_QbW0t0).Euler3,4_rod(payload_bars compound_QbW0t0).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.0013724,11.6811,0.0842152,1.29942e-05,-2.3702e-05,-5.03884e-06,4000.24,-0.0013724,11.6811,0.0842152,1.29942e-05,-2.3702e-05,-5.03884e-06,4000.24,-0.0013724,11.6811,0.0842152,1.29942e-05,-2.3702e-05,-5.03884e-06,4000.24,-0.0013724,11.6811,0.0842152,1.29942e-05,-2.3702e-05,-5.03884e-06,4000.24,-0.0013724,11.6811,0.0842152,1.29942e-05,-2.3702e-05,-5.03884e-06,4000.24,-10.0841,11.2482,-0.561661,0.146315,0.174579,-2.45615,0.199491,10.0855,10.7091,-2.01669,2.3136,0.641345,-1.06807,0.199491,10.25,9.9364,-1.14582,-0.0367039,-0.00391281,-0.704898,0.199491,10.2583,13.1233,1.52456,-0.167483,0.166296,-0.656151,0.199491,1.53016,10.7111,10.1466,1.51676,-0.395126,-3.14001,0.199645,0.626184,21.7422,-2.93464,-1.59052,0.717485,-0.0364535,0.199491,
0.0202,-0.00201025,11.8873,0.0834265,5.18798e-05,-3.16473e-05,-7.59768e-05,4000.24,-0.00201025,11.8873,0.0834265,5.18798e-05,-3.16473e-05,-7.59768e-05,4000.24,-0.00201025,11.8873,0.0834265,5.18798e-05,-3.16473e-05,-7.59768e-05,4000.24,-0.00201025,11.8873,0.0834265,5.18798e-05,-3.16473e-05,-7.59768e-05,4000.24,-0.00201025,11.8873,0.0834265,5.18798e-05,-3.16473e-05,-7.59768e-05,4000.24,-10.1136,12.2781,0.252918,0.413048,0.513852,-2.41352,0.199491,10.0813,11.2874,-1.32495,-2.37571,-0.671409,-0.996205,0.199491,10.2374,10.5261,0.0241521,-0.038466,0.00984712,-0.543223,0.199491,10.076,14.7744,2.31988,-0.181331,0.237854,-0.661947,0.199491,2.0934,8.92183,10.1547,-1.58307,0.579484,-0.00159863,0.199645,1.39862,21.9558,-1.42711,1.62246,0.791499,-3.06681,0.199491,
0.0303,-0.00264352,12.0833,0.0828287,9.14433e-05,-4.97329e-05,-0.000100665,4000.24,-0.00264352,12.0833,0.0828287,9.14433e-05,-4.97329e-05,-0.000100665,4000.24,-0.00264352,12.0833,0.0828287,9.14433e-05,-4.97329e-05,-0.000100665,4000.24,-0.00264352,12.0833,0.0828287,9.14433e-05,-4.97329e-05,-0.000100665,4000.24,-0.00264352,12.0833,0.0828287,9.14433e-05,-4.97329e-05,-0.000100665,4000.24,-10.0711,13.1963,0.672015,1.02012,0.846113,-2.01118,0.199491,10.0986,11.9149,-1.53698,-2.24874,-0.724822,-1.08028,0.199491,10.262,11.4767,-0.186308,-0.094438,0.10968,-0.494316,0.199491,10.1226,15.1478,2.31143,0.0490036,-0.0647257,-0.646669,0.199491,2.42455,12.3653,10.193,-1.59302,-0.643631,0.00108612,0.199645,1.952,22.1612,-0.294274,-1.58409,0.144372,-0.093062,0.199491,
0.0404,-0.00325588,12.2696,0.0823195,0.000173128,-6.54707e-05,-0.000133528,4000.24,-0.00325588,12.2696,0.0823195,0.000173128,-6.54707e-05,-0.000133528,4000.24,-0.00325588,12.2696,0.0823195,0.000173128,-6.54707e-05,-0.000133528,4000.24,-0.00325588,12.2696,0.0823195,0.000173128,-6.54707e-05,-0.000133528,4000.24,-0.00325588,12.2696,0.0823195,0.000173128,-6.54707e-05,-0.000133528,4000.24,-10.0968,13.9845,0.952142,0.133637,0.186336,-2.52308,0.199491,10.0827,11.9893,-1.3476,-0.446305,-0.483643,-2.34003,0.199491,10.2284,11.5988,0.289426,-0.0943204,0.160965,-0.389357,0.199491,10.097,15.4169,2.35124,0.297569,-0.387514,-0.681829,0.199491,2.79979,11.9243,10.1539,1.48667,0.151536,-3.13745,0.199645,2.27351,22.3394,-1.85721,1.597,0.191117,-3.01548,0.199491,
0.0505,-0.00388314,12.4459,0.0815863,0.000225442,-8.33351e-05,-0.0002127,4000.24,-0.00388314,12.4459,0.0815863,0.000225442,-8.33351e-05,-0.0002127,4000.24,-0.00388314,12.4459,0.0815863,0.000225442,-8.33351e-05,-0.0002127,4000.24,-0.00388314,12.4459,0.0815863,0.000225442,-8.33351e-05,-0.0002127,4000.24,-0.00388314,12.4459,0.0815863,0.000225442,-8.33351e-05,-0.0002127,4000.24,-10.077,13.8421,2.2137,2.40545,0.654088,-0.977687,0.199491,10.0945,12.1551,-1.33807,-0.806428,-0.733422,-2.14115,0.199491,10.2496,11.9523,0.201508,-0.129771,0.215518,-0.425339,0.199491,10.0844,15.6046,2.26715,0.212925,-0.287062,-0.654661,0.199491,3.07796,10.7604,10.1482,1.48543,0.0618311,3.13975,0.199645,2.8499,22.5313,0.923841,-0.463827,-1.45605,-1.11052,0.199491,
0.0606,-0.00450081,12.6121,0.0811348,0.00024688,-7.6962e-05,-0.000230362,4000.24,-0.00450081,12.6121,0.0811348,0.00024688,-7.6962e-05,-0.000230362,4000.24,-0.00450081,12.6121,0.0811348,0.00024688,-7.6962e-05,-0.000230362,4000.24,-0.00450081,12.6121,0.0811348,0.00024688,-7.6962e-05,-0.000230362,4000.24,-0.00450081,12.6121,0.0811348,0.00024688,-7.6962e-05,-0.000230362,4000.24,-10.0936,14.6982,2.06673,0.595649,0.663476,-2.31142,0.199491,10.0964,12.1536,-1.2497,2.57144,0.614012,-0.839197,0.199491,10.2642,12.1255,0.38919,-0.158848,0.301447,-0.399174,0.199491,10.1232,15.6739,2.27426,0.122489,-0.164898,-0.636353,0.199491,3.65257,13.4368,10.1967,1.44352,-0.278504,-3.13879,0.199645,2.93899,22.7153,-1.03641,-1.74225,1.11641,-0.189077,0.199491,
0.0707,-0.00511053,12.7683,0.0803358,0.000241124,-5.85967e-05,-0.000296726,4000.24,-0.00511053,12.7683,0.0803358,0.000241124,-5.85967e-05,-0.000296726,4000.24,-0.00511053,12.7683,0.0803358,0.000241124,-5.85967e-05,-0.000296726,4000.24,-0.00511053,12.7683,0.0803358,0.000241124,-5.85967e-05,-0.000296726,4000.24,-0.00511053,12.7683,0.0803358,0.000241124,-5.85967e-05,-0.000296726,4000.24,-10.0878,15,2.47133,0.334816,0.385805,-2.39998,0.199491,10.0946,12.686,-0.898871,-2.36627,-0.798096,-0.939562,0.199491,10.2454,12.706,0.773819,-0.106367,0.187814,-0.379496,0.199491,10.0538,17.3242,4.28978,-0.591388,0.705758,-0.80619,0.199491,3.77237,12.3394,10.1339,-1.58417,-1.27448,0.00498296,0.199645,3.44667,22.8435,1.06544,1.61283,0.288123,-2.99512,0.199491,
0.0808,-0.00570729,12.9144,0.0796086,0.000275554,-3.09193e-05,-0.00031887,4000.24,-0.00570729,12.9144,0.0796086,0.000275554,-3.09193e-05,-0.00031887,4000.24,-0.00570729,12.9144,0.0796086,0.000275554,-3.09193e-05,-0.00031887,4000.24,-0.00570729,12.9144,0.0796086,0.000275554,-3.09193e-05,-0.00031887,4000.24,-0.00570729,12.9144,0.0796086,0.000275554,-3.09193e-05,-0.00031887,4000.24,-10.1185,15.7344,2.84034,1.69329,0.863164,-1.4785,0.199491,10.09,13.0273,-0.345204,1.96912,0.979703,-1.23492,0.199491,10.2355,13.0054,1.58882,-0.0647751,0.24323,-0.159563,0.199491,10.0891,18.7005,6.21941,1.20285,-0.961274,-1.27003,0.199491,3.91766,12.0833,10.1813,-1.66398,-0.643033,0.000160548,0.199645,3.5946,22.9937,1.10532,1.39566,-1.00012,-2.93405,0.199491,
0.0909,-0.00630847,13.0505,0.0790399,0.000304002,-5.05174e-05,-0.000311406,4000.24,-0.00630847,13.0505,0.0790399,0.000304002,-5.05174e-05,-0.000311406,4000.24,-0.00630847,13.0505,0.0790399,0.000304002,-5.05174e-05,-0.000311406,4000.24,-0.00630847,13.0505,0.0790399,0.000304002,-5.05174e-05,-0.000311406,4000.24,-0.00630847,13.0505,0.0790399,0.000304002,-5.05174e-05,-0.000311406,4000.24,-10.0657,15.4606,3.97939,2.68096,0.509789,-0.796554,0.199491,10.0917,13.4496,-0.216807,-0.120832,-0.221683,-2.63608,0.199491,10.2196,13.5081,1.6008,-0.0514135,0.31238,-0.0857516,0.199491,10.0672,18.8676,6.08545,-1.95159,1.09639,-1.91339,0.199491,4.32086,14.4936,10.1576,1.41546,1.13167,3.14129,0.199645,3.5466,23.1383,0.559446,1.63021,0.282145,-2.93152,0.199491,
0.101,-0.00690031,13.1768,0.0782968,0.000363207,-4.20721e-05,-0.000375052,4000.24,-0.00690031,13.1768,0.0782968,0.000363207,-4.20721e-05,-0.000375052,4000.24,-0.00690031,13.1768,0.0782968,0.000363207,-4.20721e-05,-0.000375052,4000.24,-0.00690031,13.1768,0.0782968,0.000363207,-4.20721e-05,-0.000375052,4000.24,-0.00690031,13.1768,0.0782968,0.000363207,-4.20721e-05,-0.000375052,4000.24,-10.0842,15.5827,4.77094,-2.65176,-0.505383,-0.833574,0.199491,10.0752,13.9517,0.170707,0.732101,1.00299,-2.3259,0.199491,10.1919,14.0631,1.83288,-0.0108259,0.558542,0.0168574,0.199491,10.0497,19.4566,6.8199,2.26231,-0.997287,-2.17555,0.199491,4.0435,12.4696,10.1621,-1.71438,0.454094,0.00151256,0.199645,4.08936,23.2684,2.48108,1.67858,0.447603,-2.89715,0.199491,
