time,0_rod(payload_bars compound_XIIxJa).X,0_rod(payload_bars compound_XIIxJa).Y,0_rod(payload_bars compound_XIIxJa).Z,0_rod(payload_bars compound_XIIxJa).Euler1,0_rod(payload_bars compound_XIIxJa).Euler2,0_rod(payload_bars compound_XIIxJa).Euler3,0_rod(payload_bars compound_XIIxJa).mass,1_rod(payload_bars compound_XIIxJa).X,1_rod(payload_bars compound_XIIxJa).Y,1_rod(payload_bars compound_XIIxJa).Z,1_rod(payload_bars compound_XIIxJa).Euler1,1_rod(payload_bars compound_XIIxJa).Euler2,1_rod(payload_bars compound_XIIxJa).Euler3,1_rod(payload_bars compound_XIIxJa).mass,2_rod(payload_bars compound_XIIxJa).X,2_rod(payload_bars compound_XIIxJa).Y,2_rod(payload_bars compound_XIIxJa).Z,2_rod(payload_bars compound_XIIxJa).Euler1,2_rod(payload_bars compound_XIIxJa).Euler2,2_rod(payload_bars compound_XIIxJa).Euler3,2_rod(payload_bars compound_XIIxJa).mass,3_rod(payload_bars compound_XIIxJa).X,3_rod(payload_bars compound_XIIxJa).Y,3_rod(payload_bars compound_XIIxJa).Z,3_rod(payload_bars compound_XIIxJa).Euler1,3_rod(payload_bars compound_XIIxJa).Euler2,3_rod(payload_bars compound_XIIxJa).Euler3,3_rod(payload_bars compound_XIIxJa).mass,4_rod(payload_bars compound_XIIxJa).X,4_rod(payload_bars compound_XIIxJa).Y,4_rod(payload_bars compound_XIIxJa).Z,4_rod(payload_bars compound_XIIxJa).Euler1,4_rod(payload_bars compound_XIIxJa).Euler2,4_rod(payload_bars compound_XIIxJa).Euler3,4_rod(payload_bars compound_XIIxJa).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0.00130621,11.6836,0.0818301,0.000389136,-0.000466963,0.000347975,4000.24,0.00130621,11.6836,0.0818301,0.000389136,-0.000466963,0.000347975,4000.24,0.00130621,11.6836,0.0818301,0.000389136,-0.000466963,0.000347975,4000.24,0.00130621,11.6836,0.0818301,0.000389136,-0.000466963,0.000347975,4000.24,0.00130621,11.6836,0.0818301,0.000389136,-0.000466963,0.000347975,4000.24,-10.1027,10.882,-0.348793,-0.289898,-0.275666,-2.30876,0.199491,10.1595,10.9395,-1.83912,0.211327,0.268771,-2.50979,0.199491,10.2932,9.78425,-0.346609,-0.142717,0.135129,-0.617644,0.199491,10.2437,13.0637,2.15547,0.220885,-0.394429,-0.593318,0.199491,1.63675,10.5448,10.1882,1.60428,-1.11526,3.14133,0.199645,0.556181,21.7641,-3.84726,1.53217,-0.716601,-3.08954,0.199491,
0.0202,0.00379757,11.893,0.0783288,0.000824721,-0.00100508,0.000682645,4000.24,0.00379757,11.893,0.0783288,0.000824721,-0.00100508,0.000682645,4000.24,0.00379757,11.893,0.0783288,0.000824721,-0.00100508,0.000682645,4000.24,0.00379757,11.893,0.0783288,0.000824721,-0.00100508,0.000682645,4000.24,0.00379757,11.893,0.0783288,0.000824721,-0.00100508,0.000682645,4000.24,-10.0688,11.4843,0.909812,2.92793,0.241259,-0.744289,0.199491,10.1057,11.4186,-1.7199,-2.48253,-0.755874,-0.844483,0.199491,10.2474,10.4223,-0.178673,-0.0729599,0.0717392,-0.515012,0.199491,10.1008,13.552,2.29231,0.177167,-0.311133,-0.528577,0.199491,1.99546,8.80106,10.145,-1.55012,0.825862,0.00419693,0.199645,1.28389,21.9621,-0.324777,-1.57208,-1.13949,0.000478258,0.199491,
0.0303,0.00628326,12.092,0.0752587,0.00120773,-0.00150058,0.00108775,4000.24,0.00628326,12.092,0.0752587,0.00120773,-0.00150058,0.00108775,4000.24,0.00628326,12.092,0.0752587,0.00120773,-0.00150058,0.00108775,4000.24,0.00628326,12.092,0.0752587,0.00120773,-0.00150058,0.00108775,4000.24,0.00628326,12.092,0.0752587,0.00120773,-0.00150058,0.00108775,4000.24,-10.103,13.2814,0.133474,-0.132032,-0.17095,-2.48948,0.199491,10.1094,12.0515,-2.10608,-0.5733,-0.709537,-2.35828,0.199491,10.256,11.3046,-0.661206,-0.0758838,0.0671134,-0.5541,0.199491,10.1018,13.9417,2.00567,0.195459,-0.342424,-0.531935,0.199491,2.4321,11.7918,10.1431,-1.49587,-0.191863,0.00293186,0.199645,1.85952,22.1569,-1.87671,-1.52961,-0.522613,-0.077454,0.199491,
0.0404,0.00875986,12.2813,0.0717881,0.00156955,-0.00197146,0.00146933,4000.24,0.00875986,12.2813,0.0717881,0.00156955,-0.00197146,0.00146933,4000.24,0.00875986,12.2813,0.0717881,0.00156955,-0.00197146,0.00146933,4000.24,0.00875986,12.2813,0.0717881,0.00156955,-0.00197146,0.00146933,4000.24,0.00875986,12.2813,0.0717881,0.00156955,-0.00197146,0.00146933,4000.24,-10.0638,13.3462,1.4188,-3.06619,-0.0886437,-0.674705,0.199491,10.101,12.2302,-1.37339,0.627723,0.796974,-2.3511,0.199491,10.239,11.711,0.561238,-0.479905,0.831873,-0.579051,0.199491,10.0809,14.618,2.53881,1.64766,-1.01712,-1.6358,0.199491,2.94444,10.957,10.1547,-1.4088,-1.09031,-0.0075659,0.199645,2.52796,22.3539,-1.11762,1.60897,0.243064,-2.99816,0.199491,
0.0505,0.0112527,12.4604,0.0683196,0.00184455,-0.00235533,0.00182645,4000.24,0.0112527,12.4604,0.0683196,0.00184455,-0.00235533,0.00182645,4000.24,0.0112527,12.4604,0.0683196,0.00184455,-0.00235533,0.00182645,4000.24,0.0112527,12.4604,0.0683196,0.00184455,-0.00235533,0.00182645,4000.24,0.0112527,12.4604,0.0683196,0.00184455,-0.00235533,0.00182645,4000.24,-10.0807,14.043,1.71159,-1.7584,-0.872006,-1.42193,0.199491,10.1099,12.6412,-0.718539,-1.87617,-1.16536,-1.28621,0.199491,10.2191,12.1757,1.37101,-0.0449669,0.13709,-0.174907,0.199491,10.0692,15.1708,2.94158,-3.03226,0.219758,-2.67943,0.199491,3.21305,11.3653,10.1371,1.73642,1.08185,3.13662,0.199645,3.14765,22.5359,1.24269,1.57071,-0.00619434,-3.00437,0.199491,
0.0606,0.0137615,12.6294,0.0644784,0.00208091,-0.00267055,0.00219417,4000.24,0.0137615,12.6294,0.0644784,0.00208091,-0.00267055,0.00219417,4000.24,0.0137615,12.6294,0.0644784,0.00208091,-0.00267055,0.00219417,4000.24,0.0137615,12.6294,0.0644784,0.00208091,-0.00267055,0.00219417,4000.24,0.0137615,12.6294,0.0644784,0.00208091,-0.00267055,0.00219417,4000.24,-10.0664,14.5644,2.46559,0.486864,0.328045,-2.10878,0.199491,10.4485,15.8403,5.08274,0.898796,0.976953,-2.12279,0.199491,10.0762,12.5365,1.9739,0.0701862,-1.12305,-0.0773211,0.199491,10.06,17.4019,7.30521,2.76062,-0.6791,-2.57748,0.199491,3.31872,12.7641,10.14,-1.43292,0.268748,0.00176904,0.199645,3.36771,22.7079,1.69428,1.50956,-0.398593,-2.97903,0.199491,
0.0707,0.0162622,12.7885,0.0609568,0.00239058,-0.00310371,0.00251713,4000.24,0.0162622,12.7885,0.0609568,0.00239058,-0.00310371,0.00251713,4000.24,0.0162622,12.7885,0.0609568,0.00239058,-0.00310371,0.00251713,4000.24,0.0162622,12.7885,0.0609568,0.00239058,-0.00310371,0.00251713,4000.24,0.0162622,12.7885,0.0609568,0.00239058,-0.00310371,0.00251713,4000.24,-10.1871,15.3325,3.39034,1.01958,0.49194,-1.85494,0.199491,10.5575,16.0224,4.70766,3.06162,0.21405,-0.60076,0.199491,10.1139,13.2098,3.78362,2.98354,-1.15619,-2.96616,0.199491,10.0959,18.0622,8.06446,-2.45085,0.962132,-2.35355,0.199491,3.52913,13.4579,10.1717,-1.38071,-0.77459,0.00566864,0.199645,3.78658,22.8854,4.11031,2.15192,1.3208,-2.55237,0.199491,
0.0808,0.0187839,12.9377,0.0575708,0.00270726,-0.00362357,0.00281369,4000.24,0.0187839,12.9377,0.0575708,0.00270726,-0.00362357,0.00281369,4000.24,0.0187839,12.9377,0.0575708,0.00270726,-0.00362357,0.00281369,4000.24,0.0187839,12.9377,0.0575708,0.00270726,-0.00362357,0.00281369,4000.24,0.0187839,12.9377,0.0575708,0.00270726,-0.00362357,0.00281369,4000.24,-10.0784,13.9391,5.51122,0.211276,0.146149,-2.15499,0.199491,10.4746,16.9992,4.6177,-0.403837,-0.260156,-2.23497,0.199491,10.0835,13.7504,3.71593,-2.90381,1.06312,-2.87793,0.199491,10.0626,18.393,8.52552,-0.184841,0.350131,-0.501118,0.199491,3.75267,13.7173,10.1724,-1.40136,-0.209343,0.00375876,0.199645,3.87098,23.0146,4.53512,-1.65816,0.5311,-0.180741,0.199491,
0.0909,0.0213134,13.0769,0.0543085,0.00302347,-0.0040701,0.00313064,4000.24,0.0213134,13.0769,0.0543085,0.00302347,-0.0040701,0.00313064,4000.24,0.0213134,13.0769,0.0543085,0.00302347,-0.0040701,0.00313064,4000.24,0.0213134,13.0769,0.0543085,0.00302347,-0.0040701,0.00313064,4000.24,0.0213134,13.0769,0.0543085,0.00302347,-0.0040701,0.00313064,4000.24,-10.059,15.6899,5.41345,-2.66276,-0.439008,-0.87843,0.199491,10.3357,17.6691,4.99569,0.0141671,0.0333241,-2.06802,0.199491,10.0866,14.2562,3.96381,0.246242,-1.06791,-0.277085,0.199491,10.0692,18.591,8.57962,-0.10982,0.208203,-0.493341,0.199491,3.89052,13.7715,10.1725,-1.44832,0.150116,0.00442312,0.199645,3.95584,23.2886,4.32132,1.59544,0.314001,3.13933,0.199491,
0.101,0.0238436,13.206,0.0510911,0.00352549,-0.00455594,0.00343098,4000.24,0.0238436,13.206,0.0510911,0.00352549,-0.00455594,0.00343098,4000.24,0.0238436,13.206,0.0510911,0.00352549,-0.00455594,0.00343098,4000.24,0.0238436,13.206,0.0510911,0.00352549,-0.00455594,0.00343098,4000.24,0.0238436,13.206,0.0510911,0.00352549,-0.00455594,0.00343098,4000.24,-10.0815,17.3452,4.52118,1.63599,0.777811,-1.52186,0.199491,10.4428,17.1569,4.51678,0.348264,0.264874,-2.15959,0.199491,10.0927,14.7365,5.0153,1.12148,-1.12896,-1.16774,0.199491,10.0689,18.7397,8.64288,-0.260558,0.427542,-0.577883,0.199491,3.97219,13.9133,10.167,-1.44647,0.0179375,0.00523666,0.199645,3.88363,23.3061,4.05074,-1.68723,1.11056,-0.133557,0.199491,
