time,0_rod(payload_bars compound_bgKi3l).X,0_rod(payload_bars compound_bgKi3l).Y,0_rod(payload_bars compound_bgKi3l).Z,0_rod(payload_bars compound_bgKi3l).Euler1,0_rod(payload_bars compound_bgKi3l).Euler2,0_rod(payload_bars compound_bgKi3l).Euler3,0_rod(payload_bars compound_bgKi3l).mass,1_rod(payload_bars compound_bgKi3l).X,1_rod(payload_bars compound_bgKi3l).Y,1_rod(payload_bars compound_bgKi3l).Z,1_rod(payload_bars compound_bgKi3l).Euler1,1_rod(payload_bars compound_bgKi3l).Euler2,1_rod(payload_bars compound_bgKi3l).Euler3,1_rod(payload_bars compound_bgKi3l).mass,2_rod(payload_bars compound_bgKi3l).X,2_rod(payload_bars compound_bgKi3l).Y,2_rod(payload_bars compound_bgKi3l).Z,2_rod(payload_bars compound_bgKi3l).Euler1,2_rod(payload_bars compound_bgKi3l).Euler2,2_rod(payload_bars compound_bgKi3l).Euler3,2_rod(payload_bars compound_bgKi3l).mass,3_rod(payload_bars compound_bgKi3l).X,3_rod(payload_bars compound_bgKi3l).Y,3_rod(payload_bars compound_bgKi3l).Z,3_rod(payload_bars compound_bgKi3l).Euler1,3_rod(payload_bars compound_bgKi3l).Euler2,3_rod(payload_bars compound_bgKi3l).Euler3,3_rod(payload_bars compound_bgKi3l).mass,4_rod(payload_bars compound_bgKi3l).X,4_rod(payload_bars compound_bgKi3l).Y,4_rod(payload_bars compound_bgKi3l).Z,4_rod(payload_bars compound_bgKi3l).Euler1,4_rod(payload_bars compound_bgKi3l).Euler2,4_rod(payload_bars compound_bgKi3l).Euler3,4_rod(payload_bars compound_bgKi3l).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.00127,11.6741,0.0846432,-1.89929e-05,7.67244e-05,-7.86801e-05,4000.24,-0.00127,11.6741,0.0846432,-1.89929e-05,7.67244e-05,-7.86801e-05,4000.24,-0.00127,11.6741,0.0846432,-1.89929e-05,7.67244e-05,-7.86801e-05,4000.24,-0.00127,11.6741,0.0846432,-1.89929e-05,7.67244e-05,-7.86801e-05,4000.24,-0.00127,11.6741,0.0846432,-1.89929e-05,7.67244e-05,-7.86801e-05,4000.24,-10.159,11.09,-0.746035,0.176563,0.170642,-2.35663,0.199491,10.0656,10.8527,-2.07928,-2.67178,-0.43404,-0.892838,0.199491,10.2981,10.1943,-1.26272,-0.189234,0.185628,-0.686065,0.199491,10.2313,13.2509,1.31924,0.199906,-0.255277,-0.738127,0.199491,1.41499,10.501,10.222,-1.58714,0.979566,-0.0179714,0.199645,0.477118,21.761,-4.18411,-1.57984,-0.662096,0.0312914,0.199491,
0.0202,-0.00181224,11.8767,0.0843268,-1.7548e-05,0.000181841,-0.000190164,4000.24,-0.00181224,11.8767,0.0843268,-1.7548e-05,0.000181841,-0.000190164,4000.24,-0.00181224,11.8767,0.0843268,-1.7548e-05,0.000181841,-0.000190164,4000.24,-0.00181224,11.8767,0.0843268,-1.7548e-05,0.000181841,-0.000190164,4000.24,-0.00181224,11.8767,0.0843268,-1.7548e-05,0.000181841,-0.000190164,4000.24,-10.1037,11.9141,0.0370215,-0.372307,-0.360826,-2.3081,0.199491,10.0654,11.6969,-1.85033,0.730334,0.559731,-2.10618,0.199491,10.2191,11.7419,-0.768099,0.19228,-0.19295,-0.882547,0.199491,10.0999,16.1484,0.907985,1.73016,-0.436076,-1.6386,0.199491,1.89466,13.4305,10.1718,-1.64987,-1.30921,-0.0024129,0.199645,1.14615,21.97,-1.31944,-1.90078,1.24913,-0.345685,0.199491,
0.0303,-0.00233869,12.0698,0.084122,2.4744e-05,0.000258696,-0.000318929,4000.24,-0.00233869,12.0698,0.084122,2.4744e-05,0.000258696,-0.000318929,4000.24,-0.00233869,12.0698,0.084122,2.4744e-05,0.000258696,-0.000318929,4000.24,-0.00233869,12.0698,0.084122,2.4744e-05,0.000258696,-0.000318929,4000.24,-0.00233869,12.0698,0.084122,2.4744e-05,0.000258696,-0.000318929,4000.24,-10.1023,12.7909,0.655324,-0.935709,-0.674759,-2.00253,0.199491,10.0958,12.4037,-1.50397,2.26107,0.576048,-1.14784,0.199491,10.2726,12.6261,-0.158671,-0.125357,0.0936719,-0.706905,0.199491,10.0973,16.1527,1.40731,0.383663,-0.151829,-1.21189,0.199491,2.09802,10.8487,10.1508,-1.56156,0.736752,0.00190979,0.199645,1.53706,22.1299,-1.69857,1.53927,-0.234334,-3.01714,0.199491,
0.0404,-0.00288642,12.2527,0.0839123,3.95079e-05,0.000312291,-0.000420531,4000.24,-0.00288642,12.2527,0.0839123,3.95079e-05,0.000312291,-0.000420531,4000.24,-0.00288642,12.2527,0.0839123,3.95079e-05,0.000312291,-0.000420531,4000.24,-0.00288642,12.2527,0.0839123,3.95079e-05,0.000312291,-0.000420531,4000.24,-0.00288642,12.2527,0.0839123,3.95079e-05,0.000312291,-0.000420531,4000.24,-10.0981,13.5762,1.2608,-0.0322936,-0.0328383,-2.40301,0.199491,10.1059,12.8588,-1.33633,-0.706649,-0.386119,-1.99016,0.199491,10.3277,13.8204,0.0608349,-0.131816,0.152152,-0.855877,0.199491,10.1221,16.1462,1.87655,0.726566,-0.278631,-1.27187,0.199491,2.59259,12.7515,10.1982,-1.61402,-0.730504,-0.00466979,0.199645,2.05184,22.3547,-1.43611,1.59981,0.492731,-3.08454,0.199491,
0.0505,-0.00342089,12.4256,0.0837087,6.24388e-05,0.000388231,-0.000531375,4000.24,-0.00342089,12.4256,0.0837087,6.24388e-05,0.000388231,-0.000531375,4000.24,-0.00342089,12.4256,0.0837087,6.24388e-05,0.000388231,-0.000531375,4000.24,-0.00342089,12.4256,0.0837087,6.24388e-05,0.000388231,-0.000531375,4000.24,-0.00342089,12.4256,0.0837087,6.24388e-05,0.000388231,-0.000531375,4000.24,-10.1359,14.2317,1.64583,0.344461,0.368709,-2.36498,0.199491,10.0973,12.9965,-1.42327,-0.269652,-0.155727,-2.08237,0.199491,10.2997,14.3915,0.245449,-0.146415,0.175663,-0.865633,0.199491,10.1139,16.0679,2.05124,0.46661,-0.189017,-1.21496,0.199491,2.96188,13.9104,10.1689,-1.69788,1.52585,-0.0657537,0.199645,2.60277,22.5068,-0.414756,1.58319,0.175908,-3.0726,0.199491,
0.0606,-0.00393082,12.5886,0.0833701,8.3187e-05,0.000501899,-0.00065867,4000.24,-0.00393082,12.5886,0.0833701,8.3187e-05,0.000501899,-0.00065867,4000.24,-0.00393082,12.5886,0.0833701,8.3187e-05,0.000501899,-0.00065867,4000.24,-0.00393082,12.5886,0.0833701,8.3187e-05,0.000501899,-0.00065867,4000.24,-0.00393082,12.5886,0.0833701,8.3187e-05,0.000501899,-0.00065867,4000.24,-10.0867,13.4938,3.95934,2.13239,0.758114,-1.1626,0.199491,10.0938,13.1037,-1.12945,-0.927846,-0.405738,-1.85876,0.199491,10.2821,14.6872,0.800883,-0.379192,0.324479,-0.937242,0.199491,10.1097,19.8068,3.76473,-2.60085,0.16308,-1.82673,0.199491,3.03536,12.5708,10.166,1.39498,-0.94159,3.14151,0.199645,2.85114,22.6548,-0.933326,-1.67982,0.856297,-0.146526,0.199491,
0.0707,-0.00448282,12.7413,0.0832041,0.000210849,0.00053042,-0.000712487,4000.24,-0.00448282,12.7413,0.0832041,0.000210849,0.00053042,-0.000712487,4000.24,-0.00448282,12.7413,0.0832041,0.000210849,0.00053042,-0.000712487,4000.24,-0.00448282,12.7413,0.0832041,0.000210849,0.00053042,-0.000712487,4000.24,-0.00448282,12.7413,0.0832041,0.000210849,0.00053042,-0.000712487,4000.24,-10.0801,15.8527,2.67278,-1.06296,-0.869,-1.97583,0.199491,10.0942,13.3615,-0.852441,1.35847,0.454858,-1.66484,0.199491,10.267,15.2228,1.17075,-0.326295,0.289052,-0.953817,0.199491,10.0672,20.7888,4.39036,-0.44114,0.122632,-1.3219,0.199491,3.91936,15.828,10.152,-1.74779,-0.313228,0.00073963,0.199645,3.20674,22.8078,-0.00878068,1.3749,-0.878372,-2.88943,0.199491,
0.0808,-0.00498613,12.8844,0.0829729,0.000363045,0.000577107,-0.000823275,4000.24,-0.00498613,12.8844,0.0829729,0.000363045,0.000577107,-0.000823275,4000.24,-0.00498613,12.8844,0.0829729,0.000363045,0.000577107,-0.000823275,4000.24,-0.00498613,12.8844,0.0829729,0.000363045,0.000577107,-0.000823275,4000.24,-0.00498613,12.8844,0.0829729,0.000363045,0.000577107,-0.000823275,4000.24,-10.0757,16.4768,3.02247,1.56814,1.00406,-1.56632,0.199491,10.0909,13.8189,-0.520545,0.169828,0.0702363,-1.96605,0.199491,10.27,15.9938,1.58211,-0.207445,0.164044,-1.05197,0.199491,10.0965,19.8182,4.37081,2.39835,-0.138518,-1.70874,0.199491,3.69769,14.2344,10.1623,1.3362,0.182313,3.14134,0.199645,3.60835,22.9933,1.10832,-0.874088,-1.27012,-0.718925,0.199491,
0.0909,-0.00548554,13.0173,0.0829174,0.000522809,0.000646388,-0.000894765,4000.24,-0.00548554,13.0173,0.0829174,0.000522809,0.000646388,-0.000894765,4000.24,-0.00548554,13.0173,0.0829174,0.000522809,0.000646388,-0.000894765,4000.24,-0.00548554,13.0173,0.0829174,0.000522809,0.000646388,-0.000894765,4000.24,-0.00548554,13.0173,0.0829174,0.000522809,0.000646388,-0.000894765,4000.24,-10.0846,18.069,2.10507,-0.476172,-0.537476,-2.36477,0.199491,10.0925,14.1651,-0.11479,-2.5778,-0.180556,-1.29466,0.199491,10.2324,16.4711,1.86354,-0.402022,0.212307,-1.17517,0.199491,10.0893,19.4243,4.61538,-2.19533,0.184079,-1.70275,0.199491,3.97497,15.2314,10.1639,1.34572,-0.954766,-3.13529,0.199645,3.51786,23.0954,-0.228309,1.68752,0.571153,-2.92574,0.199491,
0.101,-0.00606702,13.1398,0.082465,0.000598519,0.000808515,-0.000982678,4000.24,-0.00606702,13.1398,0.082465,0.000598519,0.000808515,-0.000982678,4000.24,-0.00606702,13.1398,0.082465,0.000598519,0.000808515,-0.000982678,4000.24,-0.00606702,13.1398,0.082465,0.000598519,0.000808515,-0.000982678,4000.24,-0.00606702,13.1398,0.082465,0.000598519,0.000808515,-0.000982678,4000.24,-10.05,18.3573,2.99511,3.00399,0.154383,-0.729591,0.199491,11.0896,18.6792,3.18293,-0.809117,-0.731549,-2.05831,0.199491,10.0762,17.4199,2.04414,0.10871,-0.031246,-1.27008,0.199491,10.0727,21.6587,5.3918,-1.37238,0.354899,-1.50075,0.199491,4.47258,17.6544,10.1457,1.35955,-0.338357,-3.14044,0.199645,3.94152,23.2232,1.28315,-1.79499,0.844615,-0.297204,0.199491,
