time,0_rod(payload_bars compound_QU2E82).X,0_rod(payload_bars compound_QU2E82).Y,0_rod(payload_bars compound_QU2E82).Z,0_rod(payload_bars compound_QU2E82).Euler1,0_rod(payload_bars compound_QU2E82).Euler2,0_rod(payload_bars compound_QU2E82).Euler3,0_rod(payload_bars compound_QU2E82).mass,1_rod(payload_bars compound_QU2E82).X,1_rod(payload_bars compound_QU2E82).Y,1_rod(payload_bars compound_QU2E82).Z,1_rod(payload_bars compound_QU2E82).Euler1,1_rod(payload_bars compound_QU2E82).Euler2,1_rod(payload_bars compound_QU2E82).Euler3,1_rod(payload_bars compound_QU2E82).mass,2_rod(payload_bars compound_QU2E82).X,2_rod(payload_bars compound_QU2E82).Y,2_rod(payload_bars compound_QU2E82).Z,2_rod(payload_bars compound_QU2E82).Euler1,2_rod(payload_bars compound_QU2E82).Euler2,2_rod(payload_bars compound_QU2E82).Euler3,2_rod(payload_bars compound_QU2E82).mass,3_rod(payload_bars compound_QU2E82).X,3_rod(payload_bars compound_QU2E82).Y,3_rod(payload_bars compound_QU2E82).Z,3_rod(payload_bars compound_QU2E82).Euler1,3_rod(payload_bars compound_QU2E82).Euler2,3_rod(payload_bars compound_QU2E82).Euler3,3_rod(payload_bars compound_QU2E82).mass,4_rod(payload_bars compound_QU2E82).X,4_rod(payload_bars compound_QU2E82).Y,4_rod(payload_bars compound_QU2E82).Z,4_rod(payload_bars compound_QU2E82).Euler1,4_rod(payload_bars compound_QU2E82).Euler2,4_rod(payload_bars compound_QU2E82).Euler3,4_rod(payload_bars compound_QU2E82).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.00439996,100.055,0.0839558,0.000111793,-0.000200611,-8.60667e-05,500.12,-0.00439996,100.055,0.0839558,0.000111793,-0.000200611,-8.60667e-05,500.12,-0.00439996,100.055,0.0839558,0.000111793,-0.000200611,-8.60667e-05,500.12,-0.00439996,100.055,0.0839558,0.000111793,-0.000200611,-8.60667e-05,500.12,-0.00439996,100.055,0.0839558,0.000111793,-0.000200611,-8.60667e-05,500.12,-5.10318,99.4771,-0.264765,0.00610987,0.00549143,-2.34814,0.199491,5.24794,99.733,-0.732014,-0.172007,-0.129377,-2.35265,0.199491,5.37895,98.6281,-0.680952,-0.0838157,0.00412954,-0.749876,0.199491,5.09508,100.276,0.949373,2.6751,-0.393992,-2.22226,0.199491,1.41013,98.9612,5.18339,-1.52742,0.641692,0.000122103,0.199645,0.853579,105.155,-1.33388,-1.57136,-0.53812,0.00125554,0.199491,
0.0202,-0.00451618,100.039,0.0833298,2.44518e-05,-0.000289092,-0.000216862,500.12,-0.00451618,100.039,0.0833298,2.44518e-05,-0.000289092,-0.000216862,500.12,-0.00451618,100.039,0.0833298,2.44518e-05,-0.000289092,-0.000216862,500.12,-0.00451618,100.039,0.0833298,2.44518e-05,-0.000289092,-0.000216862,500.12,-0.00451618,100.039,0.0833298,2.44518e-05,-0.000289092,-0.000216862,500.12,-5.10404,99.5719,-0.0921419,0.260571,0.245165,-2.30989,0.199491,5.25434,100.288,-0.243513,-0.178171,-0.131138,-2.34423,0.199491,5.38373,99.1189,-0.246093,-0.195525,0.159654,-0.659404,0.199491,5.09459,100.585,1.29254,0.770918,-0.5719,-1.06278,0.199491,1.57142,99.0667,5.18321,-1.53141,0.638164,0.000382009,0.199645,0.97369,105.139,-1.20349,-1.56677,-0.294348,-0.0134979,0.199491,
0.0303,-0.00462762,100.014,0.0833421,0.000151994,-0.000555174,-0.000319519,500.12,-0.00462762,100.014,0.0833421,0.000151994,-0.000555174,-0.000319519,500.12,-0.00462762,100.014,0.0833421,0.000151994,-0.000555174,-0.000319519,500.12,-0.00462762,100.014,0.0833421,0.000151994,-0.000555174,-0.000319519,500.12,-0.00462762,100.014,0.0833421,0.000151994,-0.000555174,-0.000319519,500.12,-5.10423,99.7241,0.0125792,-0.0438151,-0.0423471,-2.33301,0.199491,5.25321,100.206,-0.339315,-0.19076,-0.143895,-2.34213,0.199491,5.38132,99.0259,-0.29574,-0.229422,0.192249,-0.687949,0.199491,5.09434,100.519,1.25862,0.301153,-0.267679,-0.866198,0.199491,1.71078,99.1575,5.183,-1.51478,0.456378,0.000525436,0.199645,1.11757,105.114,-1.15949,-1.54279,-0.90218,-0.0355271,0.199491,
0.0404,-0.00471504,99.9792,0.0832395,0.000265673,-0.000796953,-0.000450478,500.12,-0.00471504,99.9792,0.0832395,0.000265673,-0.000796953,-0.000450478,500.12,-0.00471504,99.9792,0.0832395,0.000265673,-0.000796953,-0.000450478,500.12,-0.00471504,99.9792,0.0832395,0.000265673,-0.000796953,-0.000450478,500.12,-0.00471504,99.9792,0.0832395,0.000265673,-0.000796953,-0.000450478,500.12,-5.10498,99.8487,0.0847178,-0.318755,-0.289036,-2.2812,0.199491,5.25326,100.206,-0.36056,-0.190649,-0.143653,-2.34071,0.199491,5.38003,99.0116,-0.270259,-0.164535,0.113584,-0.67853,0.199491,5.0939,100.49,1.26661,0.350897,-0.307714,-0.880469,0.199491,1.80623,99.1901,5.18445,-1.50645,0.868461,0.00111002,0.199645,1.24366,105.078,-0.987965,-1.56714,-0.0972531,-0.0358784,0.199491,
0.0505,-0.00480191,99.934,0.0831599,0.000382307,-0.00105371,-0.000554654,500.12,-0.00480191,99.934,0.0831599,0.000382307,-0.00105371,-0.000554654,500.12,-0.00480191,99.934,0.0831599,0.000382307,-0.00105371,-0.000554654,500.12,-0.00480191,99.934,0.0831599,0.000382307,-0.00105371,-0.000554654,500.12,-0.00480191,99.934,0.0831599,0.000382307,-0.00105371,-0.000554654,500.12,-5.10559,99.9153,0.197033,-0.225899,-0.208438,-2.30056,0.199491,5.25332,100.191,-0.374373,-0.157531,-0.111105,-2.34147,0.199491,5.37864,98.9751,-0.255682,-0.202601,0.161174,-0.682081,0.199491,5.09341,100.446,1.2792,0.399511,-0.345216,-0.896188,0.199491,1.91033,99.3093,5.18467,-1.49593,0.347902,0.00111896,0.199645,1.35969,105.034,-0.914258,-1.56204,-0.178727,-0.0471404,0.199491,
0.0606,-0.00488826,99.879,0.083114,0.000512649,-0.00131472,-0.000668523,500.12,-0.00488826,99.879,0.083114,0.000512649,-0.00131472,-0.000668523,500.12,-0.00488826,99.879,0.083114,0.000512649,-0.00131472,-0.000668523,500.12,-0.00488826,99.879,0.083114,0.000512649,-0.00131472,-0.000668523,500.12,-0.00488826,99.879,0.083114,0.000512649,-0.00131472,-0.000668523,500.12,-5.10522,99.9336,0.314792,0.0419693,0.037604,-2.32346,0.199491,5.25343,100.17,-0.398005,-0.15295,-0.106746,-2.34079,0.199491,5.37719,98.9307,-0.239726,-0.196239,0.154977,-0.678197,0.199491,5.09296,100.395,1.28477,0.418521,-0.359448,-0.902888,0.199491,2.00683,99.3026,5.1855,-1.48639,0.979387,0.00217874,0.199645,1.48099,104.978,-0.915594,-1.48175,-1.02334,-0.103524,0.199491,
0.0707,-0.00497913,99.8139,0.083033,0.000648991,-0.0015658,-0.000779097,500.12,-0.00497913,99.8139,0.083033,0.000648991,-0.0015658,-0.000779097,500.12,-0.00497913,99.8139,0.083033,0.000648991,-0.0015658,-0.000779097,500.12,-0.00497913,99.8139,0.083033,0.000648991,-0.0015658,-0.000779097,500.12,-0.00497913,99.8139,0.083033,0.000648991,-0.0015658,-0.000779097,500.12,-5.10547,99.9381,0.414386,0.208818,0.18955,-2.30292,0.199491,5.25356,100.133,-0.410075,-0.136228,-0.0905477,-2.34069,0.199491,5.37592,98.8714,-0.220975,-0.196553,0.157102,-0.674823,0.199491,5.09249,100.333,1.29195,0.445652,-0.379241,-0.912813,0.199491,2.1089,99.399,5.18543,-1.48054,0.22312,0.00151506,0.199645,1.6085,104.914,-0.826116,-1.48862,-0.925146,-0.101987,0.199491,
0.0808,-0.00506465,99.7388,0.0829248,0.000808596,-0.00180616,-0.000920644,500.12,-0.00506465,99.7388,0.0829248,0.000808596,-0.00180616,-0.000920644,500.12,-0.00506465,99.7388,0.0829248,0.000808596,-0.00180616,-0.000920644,500.12,-0.00506465,99.7388,0.0829248,0.000808596,-0.00180616,-0.000920644,500.12,-0.00506465,99.7388,0.0829248,0.000808596,-0.00180616,-0.000920644,500.12,-5.10623,99.9383,0.491932,0.232591,0.208764,-2.29576,0.199491,5.25363,100.078,-0.409608,-0.114923,-0.0697223,-2.33933,0.199491,5.37491,98.7975,-0.199101,-0.198635,0.161577,-0.671279,0.199491,5.09196,100.26,1.30257,0.487436,-0.408552,-0.928988,0.199491,2.20777,99.3197,5.18568,-1.4717,1.06205,0.00337972,0.199645,1.72621,104.839,-0.665486,-1.55485,-0.222195,-0.0681939,0.199491,
0.0909,-0.00514565,99.6537,0.0828411,0.000974268,-0.00203611,-0.00103324,500.12,-0.00514565,99.6537,0.0828411,0.000974268,-0.00203611,-0.00103324,500.12,-0.00514565,99.6537,0.0828411,0.000974268,-0.00203611,-0.00103324,500.12,-0.00514565,99.6537,0.0828411,0.000974268,-0.00203611,-0.00103324,500.12,-0.00514565,99.6537,0.0828411,0.000974268,-0.00203611,-0.00103324,500.12,-5.10691,99.9361,0.538166,0.0618243,0.0540008,-2.31491,0.199491,5.25383,100.006,-0.396182,-0.0855746,-0.0410798,-2.33619,0.199491,5.37426,98.7104,-0.172556,-0.192739,0.156294,-0.665807,0.199491,5.09153,100.175,1.31821,0.544927,-0.446702,-0.952933,0.199491,2.30975,99.3652,5.18652,-1.46758,0.281213,0.00223214,0.199645,1.82876,104.755,-0.558404,-1.56581,-0.0601547,-0.0683633,0.199491,
0.101,-0.00521712,99.5587,0.0827896,0.00116135,-0.0022589,-0.0011506,500.12,-0.00521712,99.5587,0.0827896,0.00116135,-0.0022589,-0.0011506,500.12,-0.00521712,99.5587,0.0827896,0.00116135,-0.0022589,-0.0011506,500.12,-0.00521712,99.5587,0.0827896,0.00116135,-0.0022589,-0.0011506,500.12,-0.00521712,99.5587,0.0827896,0.00116135,-0.0022589,-0.0011506,500.12,-5.10753,99.8995,0.581973,0.00767022,0.00378315,-2.31309,0.199491,5.25386,99.9138,-0.384464,-0.0692357,-0.0252384,-2.33105,0.199491,5.37351,98.6026,-0.15198,-0.207137,0.176068,-0.664945,0.199491,5.09106,100.075,1.33272,0.555196,-0.453533,-0.957173,0.199491,2.39146,99.278,5.18688,-1.46232,0.897381,0.00348305,0.199645,1.92797,104.66,-0.52026,-1.52255,-0.61711,-0.0814954,0.199491,
