time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_hmTa4v).X,6_rod(payload_bars compound_hmTa4v).Y,6_rod(payload_bars compound_hmTa4v).Z,6_rod(payload_bars compound_hmTa4v).Euler1,6_rod(payload_bars compound_hmTa4v).Euler2,6_rod(payload_bars compound_hmTa4v).Euler3,6_rod(payload_bars compound_hmTa4v).mass,7_rod(payload_bars compound_hmTa4v).X,7_rod(payload_bars compound_hmTa4v).Y,7_rod(payload_bars compound_hmTa4v).Z,7_rod(payload_bars compound_hmTa4v).Euler1,7_rod(payload_bars compound_hmTa4v).Euler2,7_rod(payload_bars compound_hmTa4v).Euler3,7_rod(payload_bars compound_hmTa4v).mass,8_rod(payload_bars compound_hmTa4v).X,8_rod(payload_bars compound_hmTa4v).Y,8_rod(payload_bars compound_hmTa4v).Z,8_rod(payload_bars compound_hmTa4v).Euler1,8_rod(payload_bars compound_hmTa4v).Euler2,8_rod(payload_bars compound_hmTa4v).Euler3,8_rod(payload_bars compound_hmTa4v).mass,9_rod(payload_bars compound_hmTa4v).X,9_rod(payload_bars compound_hmTa4v).Y,9_rod(payload_bars compound_hmTa4v).Z,9_rod(payload_bars compound_hmTa4v).Euler1,9_rod(payload_bars compound_hmTa4v).Euler2,9_rod(payload_bars compound_hmTa4v).Euler3,9_rod(payload_bars compound_hmTa4v).mass,10_rod(payload_bars compound_hmTa4v).X,10_rod(payload_bars compound_hmTa4v).Y,10_rod(payload_bars compound_hmTa4v).Z,10_rod(payload_bars compound_hmTa4v).Euler1,10_rod(payload_bars compound_hmTa4v).Euler2,10_rod(payload_bars compound_hmTa4v).Euler3,10_rod(payload_bars compound_hmTa4v).mass,
0.0101,-0.551868,9.98107,-0.029253,0.0907483,0.135767,-2.73771,0.0199491,0.733315,10.2347,0.156515,0.752136,-1.16702,-2.69462,0.0199491,0.4438,10.0964,0.111606,0.312143,0.0203943,-1.56687,0.0199491,0.0333841,10.4962,0.429946,0.517074,-0.445458,-0.890929,0.0199491,0.0790386,9.95851,0.479473,-1.74226,-0.0420907,0.0673302,0.0199645,0.021374,10.4019,-0.123519,-1.70347,-0.542748,0.337974,0.0199491,-0.0479725,9.90129,-0.0652177,0.0497817,0.0402447,0.0121391,0.256021,-0.0479725,9.90129,-0.0652177,0.0497817,0.0402447,0.0121391,0.256021,-0.0479725,9.90129,-0.0652177,0.0497817,0.0402447,0.0121391,0.256021,-0.0479725,9.90129,-0.0652177,0.0497817,0.0402447,0.0121391,0.256021,-0.0479725,9.90129,-0.0652177,0.0497817,0.0402447,0.0121391,0.256021,
0.0202,-0.552938,9.93578,-0.0105367,0.171865,0.150501,-2.76823,0.0199491,0.678081,10.1912,0.0870384,0.512458,-0.936201,-2.67734,0.0199491,0.430582,10.1318,0.0957554,0.132443,0.0805987,-1.53418,0.0199491,0.062427,10.4517,0.25951,0.285072,-0.083277,-1.17054,0.0199491,0.0581186,9.95447,0.48558,-1.67185,-0.531099,0.0349382,0.0199645,0.000880625,10.3912,-0.146031,-1.59573,-0.689483,0.279933,0.0199491,-0.0415903,9.88811,-0.0454691,0.144098,0.0799641,-0.0400471,0.256021,-0.0415903,9.88811,-0.0454691,0.144098,0.0799641,-0.0400471,0.256021,-0.0415903,9.88811,-0.0454691,0.144098,0.0799641,-0.0400471,0.256021,-0.0415903,9.88811,-0.0454691,0.144098,0.0799641,-0.0400471,0.256021,-0.0415903,9.88811,-0.0454691,0.144098,0.0799641,-0.0400471,0.256021,
0.0303,-0.551385,9.90384,0.008825,0.209564,0.293592,-2.86401,0.0199491,0.647195,10.2419,0.0386584,0.578094,-0.972749,-2.59592,0.0199491,0.430294,10.1311,0.0529863,0.205403,0.14054,-1.62108,0.0199491,0.0285486,10.4346,0.231399,0.253061,-0.097028,-1.13255,0.0199491,0.0726785,9.98046,0.462106,-1.57968,-0.628026,-0.0692479,0.0199645,-0.0126242,10.3471,-0.172307,-1.5268,-0.780304,0.221328,0.0199491,-0.0367255,9.8528,-0.0338071,0.165186,0.1384,-0.121292,0.256021,-0.0367255,9.8528,-0.0338071,0.165186,0.1384,-0.121292,0.256021,-0.0367255,9.8528,-0.0338071,0.165186,0.1384,-0.121292,0.256021,-0.0367255,9.8528,-0.0338071,0.165186,0.1384,-0.121292,0.256021,-0.0367255,9.8528,-0.0338071,0.165186,0.1384,-0.121292,0.256021,
0.0404,-0.552572,9.85812,0.022068,0.246891,0.386095,-2.93449,0.0199491,0.623955,10.2438,-0.0100634,0.738129,-0.824286,-2.69295,0.0199491,0.421792,10.1165,0.0143805,0.179177,0.185525,-1.70975,0.0199491,0.0112136,10.4108,0.194172,0.325027,-0.0547954,-1.22935,0.0199491,0.0705345,9.98842,0.441026,-1.46307,-0.793203,-0.1856,0.0199645,-0.0324032,10.2968,-0.19239,-1.43233,-0.892485,0.1526,0.0199491,-0.0311006,9.81118,-0.0219251,0.205053,0.188751,-0.184523,0.256021,-0.0311006,9.81118,-0.0219251,0.205053,0.188751,-0.184523,0.256021,-0.0311006,9.81118,-0.0219251,0.205053,0.188751,-0.184523,0.256021,-0.0311006,9.81118,-0.0219251,0.205053,0.188751,-0.184523,0.256021,-0.0311006,9.81118,-0.0219251,0.205053,0.188751,-0.184523,0.256021,
0.0505,-0.555655,9.80364,0.0323078,0.277578,0.469829,-2.99734,0.0199491,0.600659,10.2327,-0.0510698,0.837342,-0.735258,-2.73173,0.0199491,0.409527,10.0904,-0.0191797,0.237123,0.234369,-1.78319,0.0199491,-0.00856593,10.3727,0.15835,0.37845,-0.00667509,-1.31084,0.0199491,0.0787977,9.9859,0.425938,-1.29404,-1.01406,-0.323912,0.0199645,-0.051493,10.2355,-0.208486,-1.31628,-0.962468,0.0681734,0.0199491,-0.025705,9.76025,-0.0116907,0.242904,0.23523,-0.244543,0.256021,-0.025705,9.76025,-0.0116907,0.242904,0.23523,-0.244543,0.256021,-0.025705,9.76025,-0.0116907,0.242904,0.23523,-0.244543,0.256021,-0.025705,9.76025,-0.0116907,0.242904,0.23523,-0.244543,0.256021,-0.025705,9.76025,-0.0116907,0.242904,0.23523,-0.244543,0.256021,
0.0606,-0.559232,9.73863,0.0412636,0.3049,0.537365,-3.05633,0.0199491,0.576944,10.2029,-0.090951,0.944388,-0.626404,-2.78404,0.0199491,0.396805,10.0502,-0.0462499,0.271382,0.275468,-1.86023,0.0199491,-0.0320332,10.3226,0.125249,0.423939,0.0368635,-1.373,0.0199491,0.0836985,9.96655,0.414148,-1.1063,-1.12721,-0.468079,0.0199645,-0.0696122,10.1637,-0.225835,-1.17756,-1.03252,-0.0370486,0.0199491,-0.019729,9.70106,-0.00232129,0.282018,0.277066,-0.301763,0.256021,-0.019729,9.70106,-0.00232129,0.282018,0.277066,-0.301763,0.256021,-0.019729,9.70106,-0.00232129,0.282018,0.277066,-0.301763,0.256021,-0.019729,9.70106,-0.00232129,0.282018,0.277066,-0.301763,0.256021,-0.019729,9.70106,-0.00232129,0.282018,0.277066,-0.301763,0.256021,
0.0707,-0.562208,9.66175,0.0485668,0.328637,0.588524,-3.11426,0.0199491,0.553662,10.1582,-0.124974,1.0293,-0.541621,-2.82276,0.0199491,0.38249,9.99795,-0.0687064,0.31472,0.310673,-1.92898,0.0199491,-0.058744,10.2597,0.0925964,0.465915,0.0722566,-1.42227,0.0199491,0.0824619,9.93171,0.402564,-0.88254,-1.2044,-0.643148,0.0199645,-0.0857544,10.0821,-0.241272,-1.02724,-1.08291,-0.151746,0.0199491,-0.013132,9.63321,0.00616097,0.320808,0.312691,-0.354571,0.256021,-0.013132,9.63321,0.00616097,0.320808,0.312691,-0.354571,0.256021,-0.013132,9.63321,0.00616097,0.320808,0.312691,-0.354571,0.256021,-0.013132,9.63321,0.00616097,0.320808,0.312691,-0.354571,0.256021,-0.013132,9.63321,0.00616097,0.320808,0.312691,-0.354571,0.256021,
0.0808,-0.564128,9.57102,0.0563257,0.351525,0.627612,3.10864,0.0199491,0.529362,10.1014,-0.155033,1.11086,-0.440927,-2.85582,0.0199491,0.368312,9.93455,-0.0883299,0.339589,0.339191,-1.99778,0.0199491,-0.0879645,10.1831,0.0607278,0.505202,0.106144,-1.46595,0.0199491,0.0781923,9.88468,0.389852,-0.605209,-1.25899,-0.873149,0.0199645,-0.101557,9.98949,-0.256426,-0.854783,-1.12019,-0.286877,0.0199491,-0.00614307,9.55641,0.014083,0.361126,0.3478,-0.404148,0.256021,-0.00614307,9.55641,0.014083,0.361126,0.3478,-0.404148,0.256021,-0.00614307,9.55641,0.014083,0.361126,0.3478,-0.404148,0.256021,-0.00614307,9.55641,0.014083,0.361126,0.3478,-0.404148,0.256021,-0.00614307,9.55641,0.014083,0.361126,0.3478,-0.404148,0.256021,
0.0909,-0.564055,9.46733,0.0634407,0.373699,0.659515,3.05151,0.0199491,0.502475,10.0347,-0.183958,1.17452,-0.390166,-2.86877,0.0199491,0.352562,9.86268,-0.105886,0.382435,0.369851,-2.04811,0.0199491,-0.116951,10.093,0.0324754,0.540008,0.136422,-1.50535,0.0199491,0.0718226,9.82422,0.376951,-0.29509,-1.2888,-1.13271,0.0199645,-0.115983,9.8869,-0.26843,-0.698522,-1.13664,-0.402969,0.0199491,0.0010529,9.47026,0.0212931,0.400657,0.377697,-0.451194,0.256021,0.0010529,9.47026,0.0212931,0.400657,0.377697,-0.451194,0.256021,0.0010529,9.47026,0.0212931,0.400657,0.377697,-0.451194,0.256021,0.0010529,9.47026,0.0212931,0.400657,0.377697,-0.451194,0.256021,0.0010529,9.47026,0.0212931,0.400657,0.377697,-0.451194,0.256021,
0.101,-0.56179,9.35093,0.0694754,0.399529,0.681781,3.00163,0.0199491,0.473527,9.95442,-0.211298,1.23928,-0.365094,-2.88495,0.0199491,0.336464,9.78083,-0.119734,0.423047,0.393292,-2.09131,0.0199491,-0.146419,9.98953,0.00604922,0.568275,0.163424,-1.54387,0.0199491,0.0612491,9.74898,0.366081,-0.0525345,-1.2932,-1.32413,0.0199645,-0.128832,9.7745,-0.279561,-0.546324,-1.14996,-0.51282,0.0199491,0.00850819,9.3752,0.0278064,0.441782,0.401923,-0.492895,0.256021,0.00850819,9.3752,0.0278064,0.441782,0.401923,-0.492895,0.256021,0.00850819,9.3752,0.0278064,0.441782,0.401923,-0.492895,0.256021,0.00850819,9.3752,0.0278064,0.441782,0.401923,-0.492895,0.256021,0.00850819,9.3752,0.0278064,0.441782,0.401923,-0.492895,0.256021,
