time,0_rod(payload_bars compound_qUAOXr).X,0_rod(payload_bars compound_qUAOXr).Y,0_rod(payload_bars compound_qUAOXr).Z,0_rod(payload_bars compound_qUAOXr).Euler1,0_rod(payload_bars compound_qUAOXr).Euler2,0_rod(payload_bars compound_qUAOXr).Euler3,0_rod(payload_bars compound_qUAOXr).mass,1_rod(payload_bars compound_qUAOXr).X,1_rod(payload_bars compound_qUAOXr).Y,1_rod(payload_bars compound_qUAOXr).Z,1_rod(payload_bars compound_qUAOXr).Euler1,1_rod(payload_bars compound_qUAOXr).Euler2,1_rod(payload_bars compound_qUAOXr).Euler3,1_rod(payload_bars compound_qUAOXr).mass,2_rod(payload_bars compound_qUAOXr).X,2_rod(payload_bars compound_qUAOXr).Y,2_rod(payload_bars compound_qUAOXr).Z,2_rod(payload_bars compound_qUAOXr).Euler1,2_rod(payload_bars compound_qUAOXr).Euler2,2_rod(payload_bars compound_qUAOXr).Euler3,2_rod(payload_bars compound_qUAOXr).mass,3_rod(payload_bars compound_qUAOXr).X,3_rod(payload_bars compound_qUAOXr).Y,3_rod(payload_bars compound_qUAOXr).Z,3_rod(payload_bars compound_qUAOXr).Euler1,3_rod(payload_bars compound_qUAOXr).Euler2,3_rod(payload_bars compound_qUAOXr).Euler3,3_rod(payload_bars compound_qUAOXr).mass,4_rod(payload_bars compound_qUAOXr).X,4_rod(payload_bars compound_qUAOXr).Y,4_rod(payload_bars compound_qUAOXr).Z,4_rod(payload_bars compound_qUAOXr).Euler1,4_rod(payload_bars compound_qUAOXr).Euler2,4_rod(payload_bars compound_qUAOXr).Euler3,4_rod(payload_bars compound_qUAOXr).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.0467428,9.89551,-0.0682222,0.202679,0.0911287,0.11346,0.256021,-0.0467428,9.89551,-0.0682222,0.202679,0.0911287,0.11346,0.256021,-0.0467428,9.89551,-0.0682222,0.202679,0.0911287,0.11346,0.256021,-0.0467428,9.89551,-0.0682222,0.202679,0.0911287,0.11346,0.256021,-0.0467428,9.89551,-0.0682222,0.202679,0.0911287,0.11346,0.256021,-0.567884,9.99153,0.0580441,0.249585,0.270049,-2.8845,0.0199491,0.778262,10.1279,0.208561,0.851283,-0.307442,3.0291,0.0199491,0.426651,10.1864,0.177875,0.58968,0.0599813,-1.70409,0.0199491,-0.161659,10.3515,0.185424,0.186805,0.210808,-1.46195,0.0199491,0.0853403,10.0931,0.517357,-1.766,-0.321208,0.0404655,0.0199645,0.182545,10.4924,-0.0839638,-1.25205,-1.01353,-0.582345,0.0199491,
0.0202,-0.03376,9.86628,-0.0413789,0.243666,0.158406,-0.0389053,0.256021,-0.03376,9.86628,-0.0413789,0.243666,0.158406,-0.0389053,0.256021,-0.03376,9.86628,-0.0413789,0.243666,0.158406,-0.0389053,0.256021,-0.03376,9.86628,-0.0413789,0.243666,0.158406,-0.0389053,0.256021,-0.03376,9.86628,-0.0413789,0.243666,0.158406,-0.0389053,0.256021,-0.565303,9.97333,0.0622632,0.261306,0.298057,-3.01623,0.0199491,0.726186,10.2325,0.0525673,1.02967,0.0428981,-3.13181,0.0199491,0.423454,10.1931,0.126606,0.577026,0.187566,-1.62957,0.0199491,-0.187612,10.3454,0.145256,0.35532,0.258578,-1.5811,0.0199491,0.0663056,10.0835,0.475762,-1.6471,-0.67815,-0.0475988,0.0199645,0.113623,10.5082,-0.143623,-0.830567,-1.12078,-0.855661,0.0199491,
0.0303,-0.0223513,9.83652,-0.0190764,0.329112,0.260226,-0.167768,0.256021,-0.0223513,9.83652,-0.0190764,0.329112,0.260226,-0.167768,0.256021,-0.0223513,9.83652,-0.0190764,0.329112,0.260226,-0.167768,0.256021,-0.0223513,9.83652,-0.0190764,0.329112,0.260226,-0.167768,0.256021,-0.0223513,9.83652,-0.0190764,0.329112,0.260226,-0.167768,0.256021,-0.569415,9.92072,0.0828878,0.330697,0.427384,-3.13143,0.0199491,0.690917,10.2518,-0.0341873,1.04746,0.278336,3.13929,0.0199491,0.410277,10.2086,0.0674858,0.682165,0.299407,-1.63584,0.0199491,-0.21571,10.3208,0.103002,0.30537,0.342193,-1.74621,0.0199491,0.0542837,10.1043,0.436428,-1.44873,-0.918939,-0.22808,0.0199645,0.0598944,10.4417,-0.222977,-0.288592,-1.16807,-1.39791,0.0199491,
0.0404,-0.0100296,9.79799,0.0030781,0.390487,0.360874,-0.293524,0.256021,-0.0100296,9.79799,0.0030781,0.390487,0.360874,-0.293524,0.256021,-0.0100296,9.79799,0.0030781,0.390487,0.360874,-0.293524,0.256021,-0.0100296,9.79799,0.0030781,0.390487,0.360874,-0.293524,0.256021,-0.0100296,9.79799,0.0030781,0.390487,0.360874,-0.293524,0.256021,-0.572638,9.86241,0.10619,0.362221,0.576608,3.01914,0.0199491,0.650088,10.2599,-0.124502,1.13936,0.333013,-3.13687,0.0199491,0.388354,10.1991,-0.00271262,0.878296,0.420017,-1.60417,0.0199491,-0.24863,10.272,0.0610153,0.317625,0.418134,-1.89279,0.0199491,0.0569568,10.1232,0.396992,-1.21388,-1.0982,-0.452313,0.0199645,-0.00202019,10.367,-0.288639,0.240866,-1.11793,-1.8632,0.0199491,
0.0505,0.00351856,9.75181,0.0242222,0.441128,0.459319,-0.412168,0.256021,0.00351856,9.75181,0.0242222,0.441128,0.459319,-0.412168,0.256021,0.00351856,9.75181,0.0242222,0.441128,0.459319,-0.412168,0.256021,0.00351856,9.75181,0.0242222,0.441128,0.459319,-0.412168,0.256021,0.00351856,9.75181,0.0242222,0.441128,0.459319,-0.412168,0.256021,-0.573186,9.7906,0.131537,0.374249,0.688744,2.88284,0.0199491,0.597581,10.2522,-0.221167,1.28095,0.277266,-3.1086,0.0199491,0.354712,10.1696,-0.0774416,1.08384,0.556303,-1.57595,0.0199491,-0.280293,10.2015,0.0251592,0.33308,0.47831,-2.03423,0.0199491,0.0625975,10.1341,0.363716,-0.894647,-1.20394,-0.708445,0.0199645,-0.0631774,10.2809,-0.344792,0.588777,-1.00226,-2.10695,0.0199491,
0.0606,0.0189972,9.70095,0.0431144,0.493189,0.555489,-0.523523,0.256021,0.0189972,9.70095,0.0431144,0.493189,0.555489,-0.523523,0.256021,0.0189972,9.70095,0.0431144,0.493189,0.555489,-0.523523,0.256021,0.0189972,9.70095,0.0431144,0.493189,0.555489,-0.523523,0.256021,0.0189972,9.70095,0.0431144,0.493189,0.555489,-0.523523,0.256021,-0.567838,9.7032,0.160419,0.375665,0.792726,2.73453,0.0199491,0.537516,10.2155,-0.313015,1.41055,0.288978,-3.07389,0.0199491,0.31521,10.1232,-0.143097,1.25433,0.690126,-1.54473,0.0199491,-0.314564,10.1085,-0.0052408,0.335422,0.522707,-2.17836,0.0199491,0.053787,10.1292,0.3264,-0.428082,-1.25428,-1.09377,0.0199645,-0.124519,10.1664,-0.390882,0.851408,-0.852745,-2.26112,0.0199491,
0.0707,0.0353324,9.64424,0.059079,0.546342,0.651376,-0.632686,0.256021,0.0353324,9.64424,0.059079,0.546342,0.651376,-0.632686,0.256021,0.0353324,9.64424,0.059079,0.546342,0.651376,-0.632686,0.256021,0.0353324,9.64424,0.059079,0.546342,0.651376,-0.632686,0.256021,0.0353324,9.64424,0.059079,0.546342,0.651376,-0.632686,0.256021,-0.55617,9.60104,0.191627,0.383237,0.871492,2.59103,0.0199491,0.472565,10.1563,-0.393819,1.54055,0.32366,-3.03343,0.0199491,0.271445,10.06,-0.200805,1.41817,0.821576,-1.50915,0.0199491,-0.347931,9.99383,-0.0283007,0.344744,0.541226,-2.31949,0.0199491,0.0300265,10.1076,0.284083,0.138222,-1.23869,-1.56311,0.0199645,-0.179966,10.0309,-0.423053,1.02365,-0.7136,-2.32545,0.0199491,
0.0808,0.051302,9.58167,0.0715736,0.598914,0.74433,-0.737322,0.256021,0.051302,9.58167,0.0715736,0.598914,0.74433,-0.737322,0.256021,0.051302,9.58167,0.0715736,0.598914,0.74433,-0.737322,0.256021,0.051302,9.58167,0.0715736,0.598914,0.74433,-0.737322,0.256021,0.051302,9.58167,0.0715736,0.598914,0.74433,-0.737322,0.256021,-0.536781,9.48722,0.224585,0.390725,0.940025,2.445,0.0199491,0.406195,10.0762,-0.463953,1.68146,0.394522,-2.98124,0.0199491,0.226555,9.9806,-0.250118,1.59326,0.943386,-1.45219,0.0199491,-0.379141,9.85653,-0.0417774,0.368577,0.543604,-2.44554,0.0199491,-0.00383247,10.066,0.239921,0.573299,-1.16026,-1.89204,0.0199645,-0.227949,9.87339,-0.439243,1.17374,-0.583436,-2.36672,0.0199491,
0.0909,0.0658422,9.51176,0.0811567,0.652347,0.836042,-0.841498,0.256021,0.0658422,9.51176,0.0811567,0.652347,0.836042,-0.841498,0.256021,0.0658422,9.51176,0.0811567,0.652347,0.836042,-0.841498,0.256021,0.0658422,9.51176,0.0811567,0.652347,0.836042,-0.841498,0.256021,0.0658422,9.51176,0.0811567,0.652347,0.836042,-0.841498,0.256021,-0.508757,9.36096,0.259768,0.418621,0.993567,2.31109,0.0199491,0.340091,9.97919,-0.521537,1.81647,0.431138,-2.92277,0.0199491,0.180315,9.88488,-0.292039,1.79379,1.05217,-1.36777,0.0199491,-0.399746,9.70109,-0.0492538,0.454695,0.546443,-2.53026,0.0199491,-0.0474296,10.0015,0.196439,0.865367,-1.05525,-2.06733,0.0199645,-0.265998,9.70848,-0.446916,1.29474,-0.492183,-2.35761,0.0199491,
0.101,0.0781958,9.43457,0.0872378,0.714127,0.919762,-0.931726,0.256021,0.0781958,9.43457,0.0872378,0.714127,0.919762,-0.931726,0.256021,0.0781958,9.43457,0.0872378,0.714127,0.919762,-0.931726,0.256021,0.0781958,9.43457,0.0872378,0.714127,0.919762,-0.931726,0.256021,0.0781958,9.43457,0.0872378,0.714127,0.919762,-0.931726,0.256021,-0.472424,9.22838,0.295942,0.431236,1.05643,2.17011,0.0199491,0.274153,9.8654,-0.571494,1.99531,0.51904,-2.84676,0.0199491,0.134868,9.77614,-0.3256,2.03797,1.13495,-1.23971,0.0199491,-0.410132,9.53191,-0.0487486,0.529906,0.58895,-2.61904,0.0199491,-0.0953219,9.91442,0.158912,1.04921,-0.959457,-2.12822,0.0199645,-0.291173,9.52096,-0.440565,1.42674,-0.391146,-2.36207,0.0199491,
