time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_UEv9LJ).X,6_rod(payload_bars compound_UEv9LJ).Y,6_rod(payload_bars compound_UEv9LJ).Z,6_rod(payload_bars compound_UEv9LJ).Euler1,6_rod(payload_bars compound_UEv9LJ).Euler2,6_rod(payload_bars compound_UEv9LJ).Euler3,6_rod(payload_bars compound_UEv9LJ).mass,7_rod(payload_bars compound_UEv9LJ).X,7_rod(payload_bars compound_UEv9LJ).Y,7_rod(payload_bars compound_UEv9LJ).Z,7_rod(payload_bars compound_UEv9LJ).Euler1,7_rod(payload_bars compound_UEv9LJ).Euler2,7_rod(payload_bars compound_UEv9LJ).Euler3,7_rod(payload_bars compound_UEv9LJ).mass,8_rod(payload_bars compound_UEv9LJ).X,8_rod(payload_bars compound_UEv9LJ).Y,8_rod(payload_bars compound_UEv9LJ).Z,8_rod(payload_bars compound_UEv9LJ).Euler1,8_rod(payload_bars compound_UEv9LJ).Euler2,8_rod(payload_bars compound_UEv9LJ).Euler3,8_rod(payload_bars compound_UEv9LJ).mass,9_rod(payload_bars compound_UEv9LJ).X,9_rod(payload_bars compound_UEv9LJ).Y,9_rod(payload_bars compound_UEv9LJ).Z,9_rod(payload_bars compound_UEv9LJ).Euler1,9_rod(payload_bars compound_UEv9LJ).Euler2,9_rod(payload_bars compound_UEv9LJ).Euler3,9_rod(payload_bars compound_UEv9LJ).mass,10_rod(payload_bars compound_UEv9LJ).X,10_rod(payload_bars compound_UEv9LJ).Y,10_rod(payload_bars compound_UEv9LJ).Z,10_rod(payload_bars compound_UEv9LJ).Euler1,10_rod(payload_bars compound_UEv9LJ).Euler2,10_rod(payload_bars compound_UEv9LJ).Euler3,10_rod(payload_bars compound_UEv9LJ).mass,
0.0101,-0.56054,9.95171,0.0245959,0.0151231,-0.0692583,-2.63256,0.0199491,0.781122,10.1953,0.174319,0.866953,-0.166508,-2.8941,0.0199491,0.424156,10.1936,0.26199,0.145422,-0.0759316,-1.10698,0.0199491,0.157637,10.3841,0.408221,0.57142,-0.361072,-1.0322,0.0199491,0.0706274,9.91633,0.458744,-1.61771,-0.0701247,-0.154494,0.0199645,0.0239565,10.4095,-0.270551,-1.50262,0.0654672,-0.0633183,0.0199491,-0.0587184,9.91051,-0.0677528,0.0732412,0.0350899,-0.0174687,0.256021,-0.0587184,9.91051,-0.0677528,0.0732412,0.0350899,-0.0174687,0.256021,-0.0587184,9.91051,-0.0677528,0.0732412,0.0350899,-0.0174687,0.256021,-0.0587184,9.91051,-0.0677528,0.0732412,0.0350899,-0.0174687,0.256021,-0.0587184,9.91051,-0.0677528,0.0732412,0.0350899,-0.0174687,0.256021,
0.0202,-0.54668,9.89354,0.0457348,0.155267,0.00431859,-2.69385,0.0199491,0.640274,10.1039,0.0296655,0.29547,0.161294,-2.65766,0.0199491,0.411471,10.2208,0.231611,-0.0325237,0.154066,-1.12616,0.0199491,0.117454,10.4327,0.34178,0.283402,-0.0510429,-1.06485,0.0199491,0.0922538,9.90825,0.459677,-1.50997,-0.580652,-0.125607,0.0199645,-0.0178534,10.3863,-0.289526,-1.40141,0.0516999,-0.0931783,0.0199491,-0.0431326,9.89673,-0.0491786,0.177829,0.0511406,-0.0812465,0.256021,-0.0431326,9.89673,-0.0491786,0.177829,0.0511406,-0.0812465,0.256021,-0.0431326,9.89673,-0.0491786,0.177829,0.0511406,-0.0812465,0.256021,-0.0431326,9.89673,-0.0491786,0.177829,0.0511406,-0.0812465,0.256021,-0.0431326,9.89673,-0.0491786,0.177829,0.0511406,-0.0812465,0.256021,
0.0303,-0.535724,9.83448,0.0747804,0.240891,0.0832567,-2.75419,0.0199491,0.567918,10.0913,-0.025232,0.0960621,0.301713,-2.68896,0.0199491,0.402347,10.2407,0.196807,0.034428,0.205307,-1.17328,0.0199491,0.106649,10.4428,0.30184,0.255753,0.0419173,-1.13704,0.0199491,0.118985,9.92334,0.456751,-1.42666,-0.697198,-0.176669,0.0199645,-0.0435971,10.3434,-0.311524,-1.33898,0.0799882,-0.165961,0.0199491,-0.036874,9.86551,-0.0393979,0.252456,0.111286,-0.135206,0.256021,-0.036874,9.86551,-0.0393979,0.252456,0.111286,-0.135206,0.256021,-0.036874,9.86551,-0.0393979,0.252456,0.111286,-0.135206,0.256021,-0.036874,9.86551,-0.0393979,0.252456,0.111286,-0.135206,0.256021,-0.036874,9.86551,-0.0393979,0.252456,0.111286,-0.135206,0.256021,
0.0404,-0.528312,9.77781,0.105345,0.298944,0.169623,-2.81464,0.0199491,0.584701,10.1019,-0.0660219,0.258875,0.282406,-2.71622,0.0199491,0.392671,10.2381,0.156132,0.0804466,0.265126,-1.23746,0.0199491,0.0840977,10.4287,0.263402,0.385781,0.0634251,-1.17447,0.0199491,0.1431,9.92416,0.446744,-1.32231,-0.768462,-0.246615,0.0199645,-0.0762138,10.2834,-0.336292,-1.29218,0.076353,-0.225787,0.0199491,-0.0355872,9.82367,-0.0297265,0.304069,0.18441,-0.183676,0.256021,-0.0355872,9.82367,-0.0297265,0.304069,0.18441,-0.183676,0.256021,-0.0355872,9.82367,-0.0297265,0.304069,0.18441,-0.183676,0.256021,-0.0355872,9.82367,-0.0297265,0.304069,0.18441,-0.183676,0.256021,-0.0355872,9.82367,-0.0297265,0.304069,0.18441,-0.183676,0.256021,
0.0505,-0.517925,9.71198,0.133813,0.356782,0.251332,-2.86583,0.0199491,0.56399,10.0877,-0.108461,0.295047,0.347801,-2.75842,0.0199491,0.378381,10.225,0.11571,0.141425,0.325098,-1.29233,0.0199491,0.0654343,10.403,0.225415,0.444706,0.126883,-1.21502,0.0199491,0.164893,9.91808,0.433375,-1.19262,-0.844586,-0.339831,0.0199645,-0.108709,10.2122,-0.356724,-1.24352,0.0874568,-0.286349,0.0199491,-0.0313824,9.77295,-0.0198935,0.35917,0.259327,-0.223357,0.256021,-0.0313824,9.77295,-0.0198935,0.35917,0.259327,-0.223357,0.256021,-0.0313824,9.77295,-0.0198935,0.35917,0.259327,-0.223357,0.256021,-0.0313824,9.77295,-0.0198935,0.35917,0.259327,-0.223357,0.256021,-0.0313824,9.77295,-0.0198935,0.35917,0.259327,-0.223357,0.256021,
0.0606,-0.506335,9.63891,0.163407,0.416408,0.349604,-2.9055,0.0199491,0.539963,10.0592,-0.152313,0.336712,0.414766,-2.79812,0.0199491,0.359832,10.1985,0.0741003,0.207706,0.390971,-1.33855,0.0199491,0.0438514,10.363,0.188342,0.506639,0.193976,-1.24714,0.0199491,0.184648,9.90211,0.416086,-1.02859,-0.915038,-0.465774,0.0199645,-0.141584,10.1295,-0.371153,-1.20254,0.105103,-0.360413,0.0199491,-0.0262652,9.71302,-0.0101792,0.413595,0.338413,-0.256088,0.256021,-0.0262652,9.71302,-0.0101792,0.413595,0.338413,-0.256088,0.256021,-0.0262652,9.71302,-0.0101792,0.413595,0.338413,-0.256088,0.256021,-0.0262652,9.71302,-0.0101792,0.413595,0.338413,-0.256088,0.256021,-0.0262652,9.71302,-0.0101792,0.413595,0.338413,-0.256088,0.256021,
0.0707,-0.493884,9.55861,0.193595,0.47764,0.457851,-2.93996,0.0199491,0.511909,10.0179,-0.19751,0.384748,0.481875,-2.83035,0.0199491,0.336899,10.1583,0.0315466,0.271119,0.465269,-1.37507,0.0199491,0.0190935,10.3088,0.152937,0.576399,0.263837,-1.26906,0.0199491,0.201576,9.87611,0.394674,-0.847306,-0.96319,-0.613066,0.0199645,-0.177115,10.0344,-0.38023,-1.15653,0.106086,-0.440608,0.0199491,-0.0198848,9.64391,-0.000558196,0.469517,0.42147,-0.281053,0.256021,-0.0198848,9.64391,-0.000558196,0.469517,0.42147,-0.281053,0.256021,-0.0198848,9.64391,-0.000558196,0.469517,0.42147,-0.281053,0.256021,-0.0198848,9.64391,-0.000558196,0.469517,0.42147,-0.281053,0.256021,-0.0198848,9.64391,-0.000558196,0.469517,0.42147,-0.281053,0.256021,
0.0808,-0.48068,9.47103,0.224427,0.544691,0.575958,-2.96039,0.0199491,0.476961,9.9616,-0.242927,0.428613,0.563959,-2.86022,0.0199491,0.309217,10.1041,-0.0103754,0.328197,0.544114,-1.40748,0.0199491,-0.00885005,10.2408,0.119286,0.644576,0.340873,-1.28383,0.0199491,0.214541,9.83936,0.373071,-0.651685,-0.974874,-0.778265,0.0199645,-0.21388,9.92707,-0.382775,-1.10749,0.101996,-0.528615,0.0199491,-0.0120025,9.56579,0.0083499,0.530086,0.50574,-0.297724,0.256021,-0.0120025,9.56579,0.0083499,0.530086,0.50574,-0.297724,0.256021,-0.0120025,9.56579,0.0083499,0.530086,0.50574,-0.297724,0.256021,-0.0120025,9.56579,0.0083499,0.530086,0.50574,-0.297724,0.256021,-0.0120025,9.56579,0.0083499,0.530086,0.50574,-0.297724,0.256021,
0.0909,-0.467072,9.37652,0.255964,0.618888,0.68476,-2.94579,0.0199491,0.435792,9.88722,-0.288735,0.458984,0.617318,-2.89929,0.0199491,0.277049,10.036,-0.0503278,0.379548,0.624894,-1.43885,0.0199491,-0.0400267,10.1593,0.0878217,0.70914,0.422255,-1.29241,0.0199491,0.223956,9.78938,0.350386,-0.471043,-0.954216,-0.922302,0.0199645,-0.251178,9.8107,-0.377268,-1.06956,0.087161,-0.629979,0.0199491,-0.002747,9.47881,0.0163665,0.596352,0.58947,-0.306607,0.256021,-0.002747,9.47881,0.0163665,0.596352,0.58947,-0.306607,0.256021,-0.002747,9.47881,0.0163665,0.596352,0.58947,-0.306607,0.256021,-0.002747,9.47881,0.0163665,0.596352,0.58947,-0.306607,0.256021,-0.002747,9.47881,0.0163665,0.596352,0.58947,-0.306607,0.256021,
0.101,-0.451935,9.27424,0.289813,0.697696,0.784391,-2.94025,0.0199491,0.393386,9.79888,-0.327435,0.495997,0.701652,-2.92931,0.0199491,0.240981,9.95382,-0.0890447,0.433387,0.709336,-1.45987,0.0199491,-0.0740672,10.063,0.0593936,0.771154,0.501987,-1.29456,0.0199491,0.229792,9.72821,0.324445,-0.301203,-0.921125,-1.05577,0.0199645,-0.291085,9.6809,-0.372213,-1.00969,0.0485724,-0.70187,0.0199491,0.007495,9.38301,0.0236054,0.669507,0.676196,-0.301068,0.256021,0.007495,9.38301,0.0236054,0.669507,0.676196,-0.301068,0.256021,0.007495,9.38301,0.0236054,0.669507,0.676196,-0.301068,0.256021,0.007495,9.38301,0.0236054,0.669507,0.676196,-0.301068,0.256021,0.007495,9.38301,0.0236054,0.669507,0.676196,-0.301068,0.256021,
