time,0_rod(payload_bars compound_pwV5YN).X,0_rod(payload_bars compound_pwV5YN).Y,0_rod(payload_bars compound_pwV5YN).Z,0_rod(payload_bars compound_pwV5YN).Euler1,0_rod(payload_bars compound_pwV5YN).Euler2,0_rod(payload_bars compound_pwV5YN).Euler3,0_rod(payload_bars compound_pwV5YN).mass,1_rod(payload_bars compound_pwV5YN).X,1_rod(payload_bars compound_pwV5YN).Y,1_rod(payload_bars compound_pwV5YN).Z,1_rod(payload_bars compound_pwV5YN).Euler1,1_rod(payload_bars compound_pwV5YN).Euler2,1_rod(payload_bars compound_pwV5YN).Euler3,1_rod(payload_bars compound_pwV5YN).mass,2_rod(payload_bars compound_pwV5YN).X,2_rod(payload_bars compound_pwV5YN).Y,2_rod(payload_bars compound_pwV5YN).Z,2_rod(payload_bars compound_pwV5YN).Euler1,2_rod(payload_bars compound_pwV5YN).Euler2,2_rod(payload_bars compound_pwV5YN).Euler3,2_rod(payload_bars compound_pwV5YN).mass,3_rod(payload_bars compound_pwV5YN).X,3_rod(payload_bars compound_pwV5YN).Y,3_rod(payload_bars compound_pwV5YN).Z,3_rod(payload_bars compound_pwV5YN).Euler1,3_rod(payload_bars compound_pwV5YN).Euler2,3_rod(payload_bars compound_pwV5YN).Euler3,3_rod(payload_bars compound_pwV5YN).mass,4_rod(payload_bars compound_pwV5YN).X,4_rod(payload_bars compound_pwV5YN).Y,4_rod(payload_bars compound_pwV5YN).Z,4_rod(payload_bars compound_pwV5YN).Euler1,4_rod(payload_bars compound_pwV5YN).Euler2,4_rod(payload_bars compound_pwV5YN).Euler3,4_rod(payload_bars compound_pwV5YN).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.0408096,9.89433,-0.0515651,0.174106,0.0605091,0.12674,0.256021,-0.0408096,9.89433,-0.0515651,0.174106,0.0605091,0.12674,0.256021,-0.0408096,9.89433,-0.0515651,0.174106,0.0605091,0.12674,0.256021,-0.0408096,9.89433,-0.0515651,0.174106,0.0605091,0.12674,0.256021,-0.0408096,9.89433,-0.0515651,0.174106,0.0605091,0.12674,0.256021,-0.558059,9.98529,0.0767376,0.200412,0.140824,-2.82501,0.0199491,0.77146,10.1447,0.147545,0.837557,0.135514,-3.13272,0.0199491,0.41493,10.1946,0.122634,0.459469,0.0816145,-1.63412,0.0199491,-0.162713,10.3513,0.167718,-0.0432443,0.272635,-1.50298,0.0199491,0.0660624,10.0764,0.464734,-1.7062,-0.189674,-0.111005,0.0199645,0.135446,10.5057,-0.129802,-1.3084,-0.941937,-0.533127,0.0199491,
0.0202,-0.0340445,9.86539,-0.0325265,0.23356,0.172839,-0.00954117,0.256021,-0.0340445,9.86539,-0.0325265,0.23356,0.172839,-0.00954117,0.256021,-0.0340445,9.86539,-0.0325265,0.23356,0.172839,-0.00954117,0.256021,-0.0340445,9.86539,-0.0325265,0.23356,0.172839,-0.00954117,0.256021,-0.0340445,9.86539,-0.0325265,0.23356,0.172839,-0.00954117,0.256021,-0.552752,9.95135,0.10044,0.238949,0.20486,-2.97687,0.0199491,0.730749,10.2385,0.0310813,0.98763,0.244464,-3.07983,0.0199491,0.41079,10.2098,0.0562563,0.447319,0.212163,-1.73479,0.0199491,-0.194329,10.3375,0.132833,0.0107154,0.151539,-1.61486,0.0199491,0.0806564,10.1006,0.446753,-1.44551,-0.827904,-0.221777,0.0199645,0.105178,10.5099,-0.16212,-1.15944,-0.97869,-0.549675,0.0199491,
0.0303,-0.0236581,9.83172,-0.0131316,0.298611,0.280841,-0.125713,0.256021,-0.0236581,9.83172,-0.0131316,0.298611,0.280841,-0.125713,0.256021,-0.0236581,9.83172,-0.0131316,0.298611,0.280841,-0.125713,0.256021,-0.0236581,9.83172,-0.0131316,0.298611,0.280841,-0.125713,0.256021,-0.0236581,9.83172,-0.0131316,0.298611,0.280841,-0.125713,0.256021,-0.547059,9.90197,0.129421,0.301273,0.393986,-3.11814,0.0199491,0.690275,10.2841,-0.0586516,1.09602,0.493246,-3.06348,0.0199491,0.392223,10.2207,-0.00491626,0.538844,0.344295,-1.80309,0.0199491,-0.219155,10.3063,0.102258,0.09489,0.224608,-1.74498,0.0199491,0.0954514,10.1393,0.413505,-1.18402,-1.01085,-0.448947,0.0199645,0.035251,10.4568,-0.225254,-0.787503,-1.08764,-0.879178,0.0199491,
0.0404,-0.0112748,9.79213,0.00605458,0.360909,0.396451,-0.240857,0.256021,-0.0112748,9.79213,0.00605458,0.360909,0.396451,-0.240857,0.256021,-0.0112748,9.79213,0.00605458,0.360909,0.396451,-0.240857,0.256021,-0.0112748,9.79213,0.00605458,0.360909,0.396451,-0.240857,0.256021,-0.0112748,9.79213,0.00605458,0.360909,0.396451,-0.240857,0.256021,-0.54068,9.84443,0.162472,0.350885,0.553212,3.08345,0.0199491,0.641816,10.3001,-0.14847,1.21122,0.728872,-3.03532,0.0199491,0.364265,10.2113,-0.0689255,0.587142,0.472922,-1.87813,0.0199491,-0.245474,10.2583,0.069958,0.136362,0.309138,-1.8867,0.0199491,0.104495,10.1596,0.378726,-0.91742,-1.05666,-0.66555,0.0199645,-0.0363666,10.385,-0.283601,-0.260828,-1.12703,-1.33125,0.0199491,
0.0505,0.00339029,9.74598,0.0243996,0.416594,0.517868,-0.350956,0.256021,0.00339029,9.74598,0.0243996,0.416594,0.517868,-0.350956,0.256021,0.00339029,9.74598,0.0243996,0.416594,0.517868,-0.350956,0.256021,0.00339029,9.74598,0.0243996,0.416594,0.517868,-0.350956,0.256021,0.00339029,9.74598,0.0243996,0.416594,0.517868,-0.350956,0.256021,-0.533162,9.77939,0.19731,0.382032,0.714265,2.98925,0.0199491,0.580936,10.2919,-0.238959,1.35986,0.929817,-2.97467,0.0199491,0.328753,10.1812,-0.133297,0.621075,0.600617,-1.96034,0.0199491,-0.272097,10.1926,0.0426027,0.156346,0.388693,-2.03308,0.0199491,0.104207,10.1664,0.33718,-0.558548,-1.09198,-0.968685,0.0199645,-0.108789,10.2924,-0.33008,0.24146,-1.06102,-1.74109,0.0199491,
0.0606,0.0201081,9.69379,0.0409076,0.466021,0.645161,-0.455416,0.256021,0.0201081,9.69379,0.0409076,0.466021,0.645161,-0.455416,0.256021,0.0201081,9.69379,0.0409076,0.466021,0.645161,-0.455416,0.256021,0.0201081,9.69379,0.0409076,0.466021,0.645161,-0.455416,0.256021,0.0201081,9.69379,0.0409076,0.466021,0.645161,-0.455416,0.256021,-0.523419,9.70518,0.234301,0.377671,0.876684,2.84116,0.0199491,0.508707,10.2573,-0.32776,1.58097,1.11686,-2.84241,0.0199491,0.287337,10.1301,-0.195557,0.633041,0.722938,-2.05774,0.0199491,-0.299704,10.1094,0.0232844,0.186272,0.476457,-2.17256,0.0199491,0.092913,10.1596,0.289639,-0.0455098,-1.09261,-1.41301,0.0199645,-0.180529,10.1763,-0.360973,0.55556,-0.937124,-1.96417,0.0199491,
0.0707,0.0379598,9.63517,0.0553104,0.504138,0.77228,-0.560802,0.256021,0.0379598,9.63517,0.0553104,0.504138,0.77228,-0.560802,0.256021,0.0379598,9.63517,0.0553104,0.504138,0.77228,-0.560802,0.256021,0.0379598,9.63517,0.0553104,0.504138,0.77228,-0.560802,0.256021,0.0379598,9.63517,0.0553104,0.504138,0.77228,-0.560802,0.256021,-0.508181,9.62402,0.275632,0.322942,1.02468,2.64788,0.0199491,0.422733,10.1976,-0.415358,2.02148,1.25404,-2.50615,0.0199491,0.240982,10.0587,-0.253834,0.671135,0.856286,-2.14105,0.0199491,-0.325973,10.0104,0.0112931,0.221689,0.57227,-2.30537,0.0199491,0.0768159,10.1333,0.238488,0.266576,-1.00671,-1.65546,0.0199645,-0.250163,10.042,-0.378088,0.770262,-0.790088,-2.0702,0.0199491,
0.0808,0.0560696,9.57036,0.0663079,0.534652,0.9037,-0.665743,0.256021,0.0560696,9.57036,0.0663079,0.534652,0.9037,-0.665743,0.256021,0.0560696,9.57036,0.0663079,0.534652,0.9037,-0.665743,0.256021,0.0560696,9.57036,0.0663079,0.534652,0.9037,-0.665743,0.256021,0.0560696,9.57036,0.0663079,0.534652,0.9037,-0.665743,0.256021,-0.485991,9.53552,0.321496,0.220841,1.14679,2.41195,0.0199491,0.33108,10.108,-0.493363,2.73944,1.30646,-1.89292,0.0199491,0.191662,9.96711,-0.30582,0.638873,0.962404,-2.28563,0.0199491,-0.349521,9.89764,0.00759297,0.246535,0.671468,-2.43897,0.0199491,0.0487971,10.0879,0.187216,0.532203,-0.886393,-1.83858,0.0199645,-0.312208,9.889,-0.380089,0.932083,-0.636482,-2.1168,0.0199491,
0.0909,0.0743779,9.49794,0.0744012,0.545686,1.03174,-0.778524,0.256021,0.0743779,9.49794,0.0744012,0.545686,1.03174,-0.778524,0.256021,0.0743779,9.49794,0.0744012,0.545686,1.03174,-0.778524,0.256021,0.0743779,9.49794,0.0744012,0.545686,1.03174,-0.778524,0.256021,0.0743779,9.49794,0.0744012,0.545686,1.03174,-0.778524,0.256021,-0.457286,9.44436,0.368589,0.00361106,1.24865,2.0726,0.0199491,0.228724,9.9902,-0.561734,-2.92107,1.22748,-1.3854,0.0199491,0.139294,9.85705,-0.352207,0.608372,1.07256,-2.43625,0.0199491,-0.367688,9.77364,0.0126439,0.271177,0.784044,-2.56418,0.0199491,0.0126004,10.0252,0.132679,0.788621,-0.731045,-1.98762,0.0199645,-0.366759,9.72292,-0.366762,1.05963,-0.481612,-2.11352,0.0199491,
0.101,0.0912186,9.41791,0.0788871,0.525799,1.155,-0.91288,0.256021,0.0912186,9.41791,0.0788871,0.525799,1.155,-0.91288,0.256021,0.0912186,9.41791,0.0788871,0.525799,1.155,-0.91288,0.256021,0.0912186,9.41791,0.0788871,0.525799,1.155,-0.91288,0.256021,0.0912186,9.41791,0.0788871,0.525799,1.155,-0.91288,0.256021,-0.423994,9.35052,0.413774,-0.362988,1.3054,1.58895,0.0199491,0.126959,9.84367,-0.613505,-2.66614,1.09978,-1.24141,0.0199491,0.0886143,9.72718,-0.389185,0.579384,1.18632,-2.58163,0.0199491,-0.380523,9.64102,0.0231453,0.276355,0.896611,-2.69553,0.0199491,-0.0270806,9.94122,0.0822191,0.942082,-0.584602,-2.04332,0.0199645,-0.411189,9.54739,-0.340772,1.17739,-0.330962,-2.08269,0.0199491,
