time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_SPcWAS).X,6_rod(payload_bars compound_SPcWAS).Y,6_rod(payload_bars compound_SPcWAS).Z,6_rod(payload_bars compound_SPcWAS).Euler1,6_rod(payload_bars compound_SPcWAS).Euler2,6_rod(payload_bars compound_SPcWAS).Euler3,6_rod(payload_bars compound_SPcWAS).mass,7_rod(payload_bars compound_SPcWAS).X,7_rod(payload_bars compound_SPcWAS).Y,7_rod(payload_bars compound_SPcWAS).Z,7_rod(payload_bars compound_SPcWAS).Euler1,7_rod(payload_bars compound_SPcWAS).Euler2,7_rod(payload_bars compound_SPcWAS).Euler3,7_rod(payload_bars compound_SPcWAS).mass,8_rod(payload_bars compound_SPcWAS).X,8_rod(payload_bars compound_SPcWAS).Y,8_rod(payload_bars compound_SPcWAS).Z,8_rod(payload_bars compound_SPcWAS).Euler1,8_rod(payload_bars compound_SPcWAS).Euler2,8_rod(payload_bars compound_SPcWAS).Euler3,8_rod(payload_bars compound_SPcWAS).mass,9_rod(payload_bars compound_SPcWAS).X,9_rod(payload_bars compound_SPcWAS).Y,9_rod(payload_bars compound_SPcWAS).Z,9_rod(payload_bars compound_SPcWAS).Euler1,9_rod(payload_bars compound_SPcWAS).Euler2,9_rod(payload_bars compound_SPcWAS).Euler3,9_rod(payload_bars compound_SPcWAS).mass,10_rod(payload_bars compound_SPcWAS).X,10_rod(payload_bars compound_SPcWAS).Y,10_rod(payload_bars compound_SPcWAS).Z,10_rod(payload_bars compound_SPcWAS).Euler1,10_rod(payload_bars compound_SPcWAS).Euler2,10_rod(payload_bars compound_SPcWAS).Euler3,10_rod(payload_bars compound_SPcWAS).mass,
0.0101,-0.553429,9.94436,-0.034307,0.167976,0.153774,-2.67848,0.0199491,0.758302,10.1324,0.135134,0.507396,-0.871946,-2.55784,0.0199491,0.427118,10.1223,0.0653876,0.170991,0.0237783,-1.41545,0.0199491,0.0428404,10.5061,0.436407,0.55698,-0.37971,-0.909308,0.0199491,0.0663044,9.9155,0.437786,-1.68447,-0.673025,-0.0334752,0.0199645,0.00587484,10.4128,-0.158645,-1.53265,-0.374197,0.206021,0.0199491,-0.0470341,9.91183,-0.0540721,0.108184,0.0335312,-0.026548,0.256021,-0.0470341,9.91183,-0.0540721,0.108184,0.0335312,-0.026548,0.256021,-0.0470341,9.91183,-0.0540721,0.108184,0.0335312,-0.026548,0.256021,-0.0470341,9.91183,-0.0540721,0.108184,0.0335312,-0.026548,0.256021,-0.0470341,9.91183,-0.0540721,0.108184,0.0335312,-0.026548,0.256021,
0.0202,-0.553516,9.90194,-0.0101742,0.228396,0.162876,-2.69081,0.0199491,0.696907,10.1437,0.0467206,0.514536,-0.443826,-2.63908,0.0199491,0.415654,10.1522,0.049557,0.261092,0.0794589,-1.43685,0.0199491,0.0594053,10.4398,0.31993,0.435865,-0.165529,-1.03255,0.0199491,0.0937886,9.9247,0.44723,-1.54759,-0.715082,-0.0969639,0.0199645,-0.0166907,10.3983,-0.177299,-1.46166,-0.61401,0.164962,0.0199491,-0.0430259,9.89554,-0.038037,0.192313,0.0884121,-0.0561301,0.256021,-0.0430259,9.89554,-0.038037,0.192313,0.0884121,-0.0561301,0.256021,-0.0430259,9.89554,-0.038037,0.192313,0.0884121,-0.0561301,0.256021,-0.0430259,9.89554,-0.038037,0.192313,0.0884121,-0.0561301,0.256021,-0.0430259,9.89554,-0.038037,0.192313,0.0884121,-0.0561301,0.256021,
0.0303,-0.551715,9.85587,0.0241538,0.314073,0.317426,-2.73035,0.0199491,0.676208,10.1753,-0.00746852,0.561621,-0.430775,-2.62503,0.0199491,0.407049,10.1494,0.0125331,0.314798,0.158036,-1.48145,0.0199491,0.0506699,10.434,0.287537,0.475065,-0.0923342,-1.05845,0.0199491,0.125059,9.93158,0.44222,-1.42387,-0.783497,-0.19279,0.0199645,-0.0519966,10.3595,-0.181113,-1.34852,-0.573131,0.0889676,0.0199491,-0.0398897,9.86319,-0.0303926,0.246627,0.163641,-0.100513,0.256021,-0.0398897,9.86319,-0.0303926,0.246627,0.163641,-0.100513,0.256021,-0.0398897,9.86319,-0.0303926,0.246627,0.163641,-0.100513,0.256021,-0.0398897,9.86319,-0.0303926,0.246627,0.163641,-0.100513,0.256021,-0.0398897,9.86319,-0.0303926,0.246627,0.163641,-0.100513,0.256021,
0.0404,-0.549848,9.80448,0.0565476,0.376321,0.426856,-2.7645,0.0199491,0.652103,10.194,-0.0616889,0.620498,-0.442988,-2.60509,0.0199491,0.393777,10.1352,-0.0250063,0.379016,0.23718,-1.52082,0.0199491,0.0371496,10.4144,0.256911,0.547046,-0.0302889,-1.08138,0.0199491,0.155267,9.92991,0.433528,-1.26283,-0.870423,-0.316573,0.0199645,-0.0852735,10.3084,-0.191152,-1.24182,-0.639316,0.0105588,0.0199491,-0.035832,9.82116,-0.0219204,0.300977,0.240063,-0.138186,0.256021,-0.035832,9.82116,-0.0219204,0.300977,0.240063,-0.138186,0.256021,-0.035832,9.82116,-0.0219204,0.300977,0.240063,-0.138186,0.256021,-0.035832,9.82116,-0.0219204,0.300977,0.240063,-0.138186,0.256021,-0.035832,9.82116,-0.0219204,0.300977,0.240063,-0.138186,0.256021,
0.0505,-0.546444,9.74438,0.0890528,0.435248,0.525539,-2.7914,0.0199491,0.619824,10.1967,-0.114592,0.671407,-0.448341,-2.58318,0.0199491,0.376553,10.1095,-0.0615486,0.445208,0.314602,-1.55358,0.0199491,0.0190077,10.3822,0.226273,0.619309,0.0353775,-1.09748,0.0199491,0.18187,9.91925,0.421246,-1.06529,-0.948211,-0.467846,0.0199645,-0.116569,10.2458,-0.197923,-1.11946,-0.686075,-0.0839324,0.0199491,-0.0304623,9.76984,-0.0136111,0.354991,0.31393,-0.17312,0.256021,-0.0304623,9.76984,-0.0136111,0.354991,0.31393,-0.17312,0.256021,-0.0304623,9.76984,-0.0136111,0.354991,0.31393,-0.17312,0.256021,-0.0304623,9.76984,-0.0136111,0.354991,0.31393,-0.17312,0.256021,-0.0304623,9.76984,-0.0136111,0.354991,0.31393,-0.17312,0.256021,
0.0606,-0.54085,9.67549,0.121234,0.491021,0.617596,-2.81613,0.0199491,0.581512,10.1814,-0.16377,0.725672,-0.440933,-2.56241,0.0199491,0.357541,10.0705,-0.0943915,0.497968,0.387898,-1.57955,0.0199491,-0.00616889,10.3373,0.19449,0.660328,0.108836,-1.10663,0.0199491,0.201904,9.89662,0.407601,-0.879073,-0.977525,-0.612863,0.0199645,-0.145039,10.173,-0.2014,-0.995196,-0.713317,-0.176512,0.0199491,-0.0238136,9.70967,-0.00591595,0.407457,0.384198,-0.204586,0.256021,-0.0238136,9.70967,-0.00591595,0.407457,0.384198,-0.204586,0.256021,-0.0238136,9.70967,-0.00591595,0.407457,0.384198,-0.204586,0.256021,-0.0238136,9.70967,-0.00591595,0.407457,0.384198,-0.204586,0.256021,-0.0238136,9.70967,-0.00591595,0.407457,0.384198,-0.204586,0.256021,
0.0707,-0.533517,9.59679,0.150558,0.53723,0.686491,-2.84339,0.0199491,0.538645,10.1514,-0.204743,0.774108,-0.439115,-2.5338,0.0199491,0.337278,10.0185,-0.123798,0.54418,0.45493,-1.60443,0.0199491,-0.0322421,10.2784,0.165726,0.712371,0.169881,-1.11676,0.0199491,0.215833,9.86231,0.393245,-0.710581,-0.983191,-0.741314,0.0199645,-0.169487,10.0896,-0.206811,-0.863596,-0.743567,-0.278342,0.0199491,-0.0166154,9.64056,0.00106537,0.45689,0.448936,-0.234811,0.256021,-0.0166154,9.64056,0.00106537,0.45689,0.448936,-0.234811,0.256021,-0.0166154,9.64056,0.00106537,0.45689,0.448936,-0.234811,0.256021,-0.0166154,9.64056,0.00106537,0.45689,0.448936,-0.234811,0.256021,-0.0166154,9.64056,0.00106537,0.45689,0.448936,-0.234811,0.256021,
0.0808,-0.524168,9.50536,0.177279,0.582602,0.72894,-2.8581,0.0199491,0.500264,10.0996,-0.242677,0.87278,-0.353223,-2.55666,0.0199491,0.314157,9.95618,-0.149598,0.592804,0.514854,-1.62964,0.0199491,-0.062718,10.2067,0.139161,0.755712,0.234122,-1.12828,0.0199491,0.22264,9.81811,0.379141,-0.558862,-0.975238,-0.84712,0.0199645,-0.192465,9.99587,-0.211975,-0.732742,-0.751232,-0.37559,0.0199491,-0.00891742,9.56285,0.00752162,0.509796,0.507104,-0.264295,0.256021,-0.00891742,9.56285,0.00752162,0.509796,0.507104,-0.264295,0.256021,-0.00891742,9.56285,0.00752162,0.509796,0.507104,-0.264295,0.256021,-0.00891742,9.56285,0.00752162,0.509796,0.507104,-0.264295,0.256021,-0.00891742,9.56285,0.00752162,0.509796,0.507104,-0.264295,0.256021,
0.0909,-0.512435,9.40343,0.202788,0.635501,0.791039,-2.87405,0.0199491,0.463577,10.0336,-0.275681,0.933295,-0.306999,-2.56154,0.0199491,0.28996,9.88164,-0.172998,0.642098,0.569175,-1.65602,0.0199491,-0.0944048,10.1214,0.114988,0.809687,0.28743,-1.13877,0.0199491,0.223919,9.76362,0.364716,-0.414402,-0.965577,-0.943259,0.0199645,-0.214182,9.89088,-0.21675,-0.606493,-0.752975,-0.465696,0.0199491,-0.00102599,9.47606,0.0133095,0.561794,0.559726,-0.294266,0.256021,-0.00102599,9.47606,0.0133095,0.561794,0.559726,-0.294266,0.256021,-0.00102599,9.47606,0.0133095,0.561794,0.559726,-0.294266,0.256021,-0.00102599,9.47606,0.0133095,0.561794,0.559726,-0.294266,0.256021,-0.00102599,9.47606,0.0133095,0.561794,0.559726,-0.294266,0.256021,
0.101,-0.499169,9.29078,0.224778,0.682347,0.850392,-2.90326,0.0199491,0.423892,9.95519,-0.303095,0.993053,-0.260034,-2.56533,0.0199491,0.266113,9.79451,-0.193956,0.689582,0.618249,-1.6838,0.0199491,-0.126726,10.0226,0.0924802,0.872177,0.329105,-1.14848,0.0199491,0.220735,9.6979,0.350473,-0.279644,-0.954531,-1.02937,0.0199645,-0.233378,9.77475,-0.222502,-0.47853,-0.761408,-0.553861,0.0199491,0.00715307,9.38015,0.0186778,0.611138,0.607152,-0.325147,0.256021,0.00715307,9.38015,0.0186778,0.611138,0.607152,-0.325147,0.256021,0.00715307,9.38015,0.0186778,0.611138,0.607152,-0.325147,0.256021,0.00715307,9.38015,0.0186778,0.611138,0.607152,-0.325147,0.256021,0.00715307,9.38015,0.0186778,0.611138,0.607152,-0.325147,0.256021,
