time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_X8Li41).X,6_rod(payload_bars compound_X8Li41).Y,6_rod(payload_bars compound_X8Li41).Z,6_rod(payload_bars compound_X8Li41).Euler1,6_rod(payload_bars compound_X8Li41).Euler2,6_rod(payload_bars compound_X8Li41).Euler3,6_rod(payload_bars compound_X8Li41).mass,7_rod(payload_bars compound_X8Li41).X,7_rod(payload_bars compound_X8Li41).Y,7_rod(payload_bars compound_X8Li41).Z,7_rod(payload_bars compound_X8Li41).Euler1,7_rod(payload_bars compound_X8Li41).Euler2,7_rod(payload_bars compound_X8Li41).Euler3,7_rod(payload_bars compound_X8Li41).mass,8_rod(payload_bars compound_X8Li41).X,8_rod(payload_bars compound_X8Li41).Y,8_rod(payload_bars compound_X8Li41).Z,8_rod(payload_bars compound_X8Li41).Euler1,8_rod(payload_bars compound_X8Li41).Euler2,8_rod(payload_bars compound_X8Li41).Euler3,8_rod(payload_bars compound_X8Li41).mass,9_rod(payload_bars compound_X8Li41).X,9_rod(payload_bars compound_X8Li41).Y,9_rod(payload_bars compound_X8Li41).Z,9_rod(payload_bars compound_X8Li41).Euler1,9_rod(payload_bars compound_X8Li41).Euler2,9_rod(payload_bars compound_X8Li41).Euler3,9_rod(payload_bars compound_X8Li41).mass,10_rod(payload_bars compound_X8Li41).X,10_rod(payload_bars compound_X8Li41).Y,10_rod(payload_bars compound_X8Li41).Z,10_rod(payload_bars compound_X8Li41).Euler1,10_rod(payload_bars compound_X8Li41).Euler2,10_rod(payload_bars compound_X8Li41).Euler3,10_rod(payload_bars compound_X8Li41).mass,
0.0101,-0.552542,10.0405,-0.0269385,0.0542283,-0.015047,-2.73609,0.0199491,0.708633,9.93165,0.14652,0.345415,0.136948,-2.93826,0.0199491,0.425368,10.1573,0.197004,0.154905,-0.0548857,-1.42589,0.0199491,-0.0823905,10.3863,0.261167,-0.0926598,0.328471,-1.55246,0.0199491,0.0516169,9.9948,0.469652,-1.83366,-0.274732,0.0613085,0.0199645,0.161162,10.5076,-0.139194,-1.68553,-0.862556,-0.220469,0.0199491,-0.0442934,9.91302,-0.0561349,0.0441893,-0.0383973,0.0664908,0.256021,-0.0442934,9.91302,-0.0561349,0.0441893,-0.0383973,0.0664908,0.256021,-0.0442934,9.91302,-0.0561349,0.0441893,-0.0383973,0.0664908,0.256021,-0.0442934,9.91302,-0.0561349,0.0441893,-0.0383973,0.0664908,0.256021,-0.0442934,9.91302,-0.0561349,0.0441893,-0.0383973,0.0664908,0.256021,
0.0202,-0.54312,10.0957,-0.056104,-0.0668056,-0.0150678,-2.84692,0.0199491,0.751197,9.94772,0.171629,0.472194,0.0969814,-3.09408,0.0199491,0.441428,10.1185,0.176835,0.163282,-0.0496362,-1.57556,0.0199491,-0.0585506,10.4078,0.215427,-0.28212,0.21771,-1.68878,0.0199491,0.0356584,10.0216,0.455197,-1.92407,-0.674998,0.1133,0.0199645,0.239986,10.4348,-0.162411,-2.00641,-0.827154,0.0261464,0.0199491,-0.0563505,9.89043,-0.0477469,-0.0771643,-0.0493117,-0.0746749,0.256021,-0.0563505,9.89043,-0.0477469,-0.0771643,-0.0493117,-0.0746749,0.256021,-0.0563505,9.89043,-0.0477469,-0.0771643,-0.0493117,-0.0746749,0.256021,-0.0563505,9.89043,-0.0477469,-0.0771643,-0.0493117,-0.0746749,0.256021,-0.0563505,9.89043,-0.0477469,-0.0771643,-0.0493117,-0.0746749,0.256021,
0.0303,-0.528125,10.1162,-0.0965906,-0.142495,-0.0341697,-2.98016,0.0199491,0.746343,9.90307,0.180305,0.4092,0.180111,3.05594,0.0199491,0.449806,10.0737,0.164039,0.11513,-0.0364955,-1.71691,0.0199491,-0.0282206,10.4147,0.161995,-0.388713,0.144034,-1.82444,0.0199491,0.0294315,10.0566,0.433013,-2.08216,-0.875061,0.187486,0.0199645,0.286842,10.3508,-0.215635,-2.22944,-0.940098,0.2039,0.0199491,-0.0633223,9.86246,-0.0342306,-0.148838,-0.0734555,-0.22028,0.256021,-0.0633223,9.86246,-0.0342306,-0.148838,-0.0734555,-0.22028,0.256021,-0.0633223,9.86246,-0.0342306,-0.148838,-0.0734555,-0.22028,0.256021,-0.0633223,9.86246,-0.0342306,-0.148838,-0.0734555,-0.22028,0.256021,-0.0633223,9.86246,-0.0342306,-0.148838,-0.0734555,-0.22028,0.256021,
0.0404,-0.51313,10.1127,-0.140257,-0.196155,-0.0154713,-3.12156,0.0199491,0.738229,9.84715,0.19269,0.316245,0.253697,2.88052,0.0199491,0.454841,10.0194,0.151074,0.0277694,-0.0157294,-1.90301,0.0199491,-0.000189955,10.4006,0.094733,-0.449522,0.0944216,-1.96117,0.0199491,0.038317,10.0844,0.413197,-2.28538,-1.02666,0.339118,0.0199645,0.310466,10.2397,-0.270925,-2.55314,-1.04609,0.481159,0.0199491,-0.0689686,9.82757,-0.0196886,-0.197618,-0.0927811,-0.36776,0.256021,-0.0689686,9.82757,-0.0196886,-0.197618,-0.0927811,-0.36776,0.256021,-0.0689686,9.82757,-0.0196886,-0.197618,-0.0927811,-0.36776,0.256021,-0.0689686,9.82757,-0.0196886,-0.197618,-0.0927811,-0.36776,0.256021,-0.0689686,9.82757,-0.0196886,-0.197618,-0.0927811,-0.36776,0.256021,
0.0505,-0.500081,10.0837,-0.184827,-0.248331,-6.1874e-05,3.00656,0.0199491,0.738248,9.79468,0.194216,0.252975,0.295268,2.72878,0.0199491,0.459967,9.96424,0.131735,0.00385909,0.0170279,-2.06088,0.0199491,0.0240869,10.3644,0.0202359,-0.492929,0.0479764,-2.10996,0.0199491,0.0576596,10.0977,0.382308,-2.59116,-1.14503,0.599028,0.0199645,0.321902,10.1223,-0.317581,-2.86796,-1.08167,0.800964,0.0199491,-0.0746774,9.78314,-0.00297869,-0.23474,-0.108947,-0.527798,0.256021,-0.0746774,9.78314,-0.00297869,-0.23474,-0.108947,-0.527798,0.256021,-0.0746774,9.78314,-0.00297869,-0.23474,-0.108947,-0.527798,0.256021,-0.0746774,9.78314,-0.00297869,-0.23474,-0.108947,-0.527798,0.256021,-0.0746774,9.78314,-0.00297869,-0.23474,-0.108947,-0.527798,0.256021,
0.0606,-0.492092,10.028,-0.227159,-0.298824,0.0185281,2.82923,0.0199491,0.736045,9.73543,0.188539,0.184165,0.323195,2.59024,0.0199491,0.463917,9.90291,0.109503,-0.0141119,0.0535071,-2.19832,0.0199491,0.0413506,10.3055,-0.0567293,-0.529737,-0.00299959,-2.2651,0.0199491,0.0782652,10.0962,0.341586,-3.09483,-1.21873,1.05721,0.0199645,0.323382,9.99628,-0.357939,3.11668,-1.08744,1.13891,0.0199491,-0.0785033,9.7307,0.0148117,-0.254121,-0.119346,-0.692767,0.256021,-0.0785033,9.7307,0.0148117,-0.254121,-0.119346,-0.692767,0.256021,-0.0785033,9.7307,0.0148117,-0.254121,-0.119346,-0.692767,0.256021,-0.0785033,9.7307,0.0148117,-0.254121,-0.119346,-0.692767,0.256021,-0.0785033,9.7307,0.0148117,-0.254121,-0.119346,-0.692767,0.256021,
0.0707,-0.488262,9.94979,-0.265492,-0.337539,0.0107999,2.66083,0.0199491,0.738914,9.67391,0.176029,0.169959,0.32828,2.46444,0.0199491,0.466331,9.82959,0.0848421,-0.0117109,0.112683,-2.33272,0.0199491,0.0518668,10.2246,-0.132456,-0.549804,-0.0533099,-2.42024,0.0199491,0.0970152,10.0739,0.296378,2.83083,-1.19511,1.40324,0.0199645,0.317072,9.85857,-0.388018,2.8851,-1.05854,1.42822,0.0199491,-0.0810033,9.67067,0.0324647,-0.264133,-0.129045,-0.858207,0.256021,-0.0810033,9.67067,0.0324647,-0.264133,-0.129045,-0.858207,0.256021,-0.0810033,9.67067,0.0324647,-0.264133,-0.129045,-0.858207,0.256021,-0.0810033,9.67067,0.0324647,-0.264133,-0.129045,-0.858207,0.256021,-0.0810033,9.67067,0.0324647,-0.264133,-0.129045,-0.858207,0.256021,
0.0808,-0.491431,9.84688,-0.294219,-0.354137,-0.00770854,2.49447,0.0199491,0.743887,9.6069,0.15951,0.217326,0.329973,2.3468,0.0199491,0.464497,9.7412,0.0622487,-0.0271801,0.178835,-2.49496,0.0199491,0.0534259,10.122,-0.206112,-0.557444,-0.110327,-2.57706,0.0199491,0.111917,10.0363,0.243657,2.5218,-1.13732,1.71873,0.0199645,0.305342,9.7131,-0.407564,2.73819,-1.01501,1.66628,0.0199491,-0.0813705,9.60299,0.0491242,-0.25933,-0.133065,-1.02443,0.256021,-0.0813705,9.60299,0.0491242,-0.25933,-0.133065,-1.02443,0.256021,-0.0813705,9.60299,0.0491242,-0.25933,-0.133065,-1.02443,0.256021,-0.0813705,9.60299,0.0491242,-0.25933,-0.133065,-1.02443,0.256021,-0.0813705,9.60299,0.0491242,-0.25933,-0.133065,-1.02443,0.256021,
0.0909,-0.500481,9.71986,-0.311454,-0.342355,-0.0370211,2.32896,0.0199491,0.746489,9.532,0.137084,0.263511,0.349925,2.24026,0.0199491,0.461696,9.64587,0.0388991,-0.0433342,0.24451,-2.64932,0.0199491,0.0455025,9.99989,-0.274748,-0.540182,-0.161457,-2.73696,0.0199491,0.120252,9.98228,0.187004,2.25737,-1.045,2.00415,0.0199645,0.289643,9.55657,-0.417927,2.57258,-0.966876,1.936,0.0199491,-0.0794591,9.52732,0.0646073,-0.240756,-0.132213,-1.19163,0.256021,-0.0794591,9.52732,0.0646073,-0.240756,-0.132213,-1.19163,0.256021,-0.0794591,9.52732,0.0646073,-0.240756,-0.132213,-1.19163,0.256021,-0.0794591,9.52732,0.0646073,-0.240756,-0.132213,-1.19163,0.256021,-0.0794591,9.52732,0.0646073,-0.240756,-0.132213,-1.19163,0.256021,
0.101,-0.51326,9.57326,-0.313739,-0.315582,-0.0549486,2.16484,0.0199491,0.749308,9.4571,0.107743,0.3599,0.392623,2.15577,0.0199491,0.457123,9.54125,0.0213296,-0.0848894,0.272857,-2.82964,0.0199491,0.029019,9.86061,-0.335788,-0.498866,-0.195876,-2.89886,0.0199491,0.118526,9.91292,0.12355,2.09814,-0.937221,2.2042,0.0199645,0.273588,9.38383,-0.416779,2.26856,-0.850852,2.30905,0.0199491,-0.0756567,9.443,0.0780556,-0.210746,-0.124835,-1.35678,0.256021,-0.0756567,9.443,0.0780556,-0.210746,-0.124835,-1.35678,0.256021,-0.0756567,9.443,0.0780556,-0.210746,-0.124835,-1.35678,0.256021,-0.0756567,9.443,0.0780556,-0.210746,-0.124835,-1.35678,0.256021,-0.0756567,9.443,0.0780556,-0.210746,-0.124835,-1.35678,0.256021,
