time,0_rod(payload_bars compound_9ZVkH9).X,0_rod(payload_bars compound_9ZVkH9).Y,0_rod(payload_bars compound_9ZVkH9).Z,0_rod(payload_bars compound_9ZVkH9).Euler1,0_rod(payload_bars compound_9ZVkH9).Euler2,0_rod(payload_bars compound_9ZVkH9).Euler3,0_rod(payload_bars compound_9ZVkH9).mass,1_rod(payload_bars compound_9ZVkH9).X,1_rod(payload_bars compound_9ZVkH9).Y,1_rod(payload_bars compound_9ZVkH9).Z,1_rod(payload_bars compound_9ZVkH9).Euler1,1_rod(payload_bars compound_9ZVkH9).Euler2,1_rod(payload_bars compound_9ZVkH9).Euler3,1_rod(payload_bars compound_9ZVkH9).mass,2_rod(payload_bars compound_9ZVkH9).X,2_rod(payload_bars compound_9ZVkH9).Y,2_rod(payload_bars compound_9ZVkH9).Z,2_rod(payload_bars compound_9ZVkH9).Euler1,2_rod(payload_bars compound_9ZVkH9).Euler2,2_rod(payload_bars compound_9ZVkH9).Euler3,2_rod(payload_bars compound_9ZVkH9).mass,3_rod(payload_bars compound_9ZVkH9).X,3_rod(payload_bars compound_9ZVkH9).Y,3_rod(payload_bars compound_9ZVkH9).Z,3_rod(payload_bars compound_9ZVkH9).Euler1,3_rod(payload_bars compound_9ZVkH9).Euler2,3_rod(payload_bars compound_9ZVkH9).Euler3,3_rod(payload_bars compound_9ZVkH9).mass,4_rod(sense_bar compound_9ZVkH9).X,4_rod(sense_bar compound_9ZVkH9).Y,4_rod(sense_bar compound_9ZVkH9).Z,4_rod(sense_bar compound_9ZVkH9).Euler1,4_rod(sense_bar compound_9ZVkH9).Euler2,4_rod(sense_bar compound_9ZVkH9).Euler3,4_rod(sense_bar compound_9ZVkH9).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000414169,50.0011,0.00853145,4.14107e-05,0.000488572,3.05994e-05,0.24652,-0.000414169,50.0011,0.00853145,4.14107e-05,0.000488572,3.05994e-05,0.24652,-0.000414169,50.0011,0.00853145,4.14107e-05,0.000488572,3.05994e-05,0.24652,-0.000414169,50.0011,0.00853145,4.14107e-05,0.000488572,3.05994e-05,0.24652,-0.000414169,50.0011,0.00853145,4.14107e-05,0.000488572,3.05994e-05,0.24652,-0.727185,49.9836,0.0153166,0.00554099,0.013281,-2.35194,0.0592915,0.752093,49.979,0.0109835,0.00568034,0.0133802,-2.35194,0.0592915,0.00864215,49.4605,-0.51207,0.0153403,0.00708513,-0.788894,0.0592915,0.0168115,50.502,0.538336,0.0163892,0.00604327,-0.788895,0.0592915,0.0243934,49.4603,0.537937,-1.57374,-0.00254053,-0.00310346,0.0592915,0.00084916,50.5022,-0.511613,-1.57395,-0.0034778,-0.00288605,0.0592915,
0.0202,-0.000952317,49.986,0.00859152,6.17659e-05,0.00105086,6.6302e-05,0.24652,-0.000952317,49.986,0.00859152,6.17659e-05,0.00105086,6.6302e-05,0.24652,-0.000952317,49.986,0.00859152,6.17659e-05,0.00105086,6.6302e-05,0.24652,-0.000952317,49.986,0.00859152,6.17659e-05,0.00105086,6.6302e-05,0.24652,-0.000952317,49.986,0.00859152,6.17659e-05,0.00105086,6.6302e-05,0.24652,-0.724107,49.9687,0.0152034,0.00560637,0.0132717,-2.35194,0.0592915,0.750192,49.964,0.0110086,0.00564433,0.0133323,-2.35194,0.0592915,0.00886316,49.4473,-0.510332,0.0157808,0.00658488,-0.7889,0.0592915,0.0169651,50.4854,0.536558,0.0159436,0.00642346,-0.788897,0.0592915,0.0246988,49.4471,0.536194,-1.5739,-0.0027889,-0.00289901,0.0592915,0.00122957,50.4856,-0.509992,-1.5738,-0.00317538,-0.00299836,0.0592915,
0.0303,-0.00139643,49.961,0.00864124,0.000108089,0.00165536,0.000101358,0.24652,-0.00139643,49.961,0.00864124,0.000108089,0.00165536,0.000101358,0.24652,-0.00139643,49.961,0.00864124,0.000108089,0.00165536,0.000101358,0.24652,-0.00139643,49.961,0.00864124,0.000108089,0.00165536,0.000101358,0.24652,-0.00139643,49.961,0.00864124,0.000108089,0.00165536,0.000101358,0.24652,-0.724055,49.9438,0.0151271,0.00559175,0.0132318,-2.35195,0.0592915,0.75055,49.9391,0.0110124,0.00547666,0.0131044,-2.35195,0.0592915,0.00932951,49.4223,-0.510485,0.0162017,0.00610446,-0.788896,0.0592915,0.0173873,50.4606,0.536618,0.015486,0.00681564,-0.788909,0.0592915,0.0249528,49.4221,0.536244,-1.57376,-0.0034548,-0.00299413,0.0592915,0.00152317,50.4608,-0.510083,-1.57398,-0.00261023,-0.00278276,0.0592915,
0.0404,-0.000590909,49.9259,0.00865852,0.000103107,0.00239253,0.00013625,0.24652,-0.000590909,49.9259,0.00865852,0.000103107,0.00239253,0.00013625,0.24652,-0.000590909,49.9259,0.00865852,0.000103107,0.00239253,0.00013625,0.24652,-0.000590909,49.9259,0.00865852,0.000103107,0.00239253,0.00013625,0.24652,-0.000590909,49.9259,0.00865852,0.000103107,0.00239253,0.00013625,0.24652,-0.726886,49.9088,0.0151148,0.00551889,0.0130803,-2.35195,0.0592915,0.75218,49.9042,0.01102,0.00548084,0.013068,-2.35195,0.0592915,0.00882156,49.3858,-0.512066,0.0165983,0.00565954,-0.788907,0.0592915,0.0168259,50.4273,0.538185,0.015057,0.00719002,-0.788909,0.0592915,0.0243653,49.3856,0.537797,-1.57374,-0.00312264,-0.00294936,0.0592915,0.00103248,50.4275,-0.511689,-1.57396,-0.00301644,-0.00272947,0.0592915,
0.0505,-4.44173e-05,49.8812,0.00853344,-0.000708561,0.000767437,0.000304237,0.24652,-4.44173e-05,49.8812,0.00853344,-0.000708561,0.000767437,0.000304237,0.24652,-4.44173e-05,49.8812,0.00853344,-0.000708561,0.000767437,0.000304237,0.24652,-4.44173e-05,49.8812,0.00853344,-0.000708561,0.000767437,0.000304237,0.24652,-4.44173e-05,49.8812,0.00853344,-0.000708561,0.000767437,0.000304237,0.24652,-0.729496,49.8635,0.0152502,0.00515534,0.0129262,-2.35198,0.0592915,0.754155,49.8592,0.0109956,0.00570688,0.0134027,-2.35197,0.0592915,0.00825812,49.3389,-0.513611,0.015648,0.00682147,-0.788827,0.0592915,0.016403,50.3837,0.539809,0.0166388,0.00583888,-0.788963,0.0592915,0.0241523,49.3387,0.539636,-1.57374,-0.00228818,-0.0029939,0.0592915,0.000593478,50.3839,-0.513198,-1.57379,-0.00363236,-0.00294325,0.0592915,
0.0606,-0.000359044,49.8264,0.00838676,0.000123704,-0.000725946,5.62337e-05,0.24652,-0.000359044,49.8264,0.00838676,0.000123704,-0.000725946,5.62337e-05,0.24652,-0.000359044,49.8264,0.00838676,0.000123704,-0.000725946,5.62337e-05,0.24652,-0.000359044,49.8264,0.00838676,0.000123704,-0.000725946,5.62337e-05,0.24652,-0.000359044,49.8264,0.00838676,0.000123704,-0.000725946,5.62337e-05,0.24652,-0.727776,49.8085,0.0155663,0.00552449,0.0133353,-2.35194,0.0592915,0.752562,49.8039,0.0110054,0.00596441,0.013758,-2.35194,0.0592915,0.00858038,49.285,-0.512322,0.0143897,0.00812212,-0.788985,0.0592915,0.0168437,50.3274,0.538818,0.0177267,0.00480593,-0.788801,0.0592915,0.0243681,49.2849,0.538365,-1.57369,-0.00223866,-0.00326454,0.0592915,0.000796484,50.3276,-0.511942,-1.57398,-0.00388905,-0.00297282,0.0592915,
0.0707,-0.00022087,49.7615,0.0084365,0.00157614,-0.00144474,-0.000260006,0.24652,-0.00022087,49.7615,0.0084365,0.00157614,-0.00144474,-0.000260006,0.24652,-0.00022087,49.7615,0.0084365,0.00157614,-0.00144474,-0.000260006,0.24652,-0.00022087,49.7615,0.0084365,0.00157614,-0.00144474,-0.000260006,0.24652,-0.00022087,49.7615,0.0084365,0.00157614,-0.00144474,-0.000260006,0.24652,-0.72706,49.7436,0.0155055,0.00614097,0.0141365,-2.35191,0.0592915,0.752097,49.7388,0.0109204,0.00525425,0.0132553,-2.35192,0.0592915,0.00818367,49.2205,-0.511952,0.0162368,0.00623155,-0.788861,0.0592915,0.0166488,50.2619,0.538384,0.0148575,0.0076013,-0.788874,0.0592915,0.0242519,49.2202,0.537984,-1.57401,-0.00347872,-0.00311344,0.0592915,0.000678275,50.2622,-0.511557,-1.57392,-0.00272973,-0.00320776,0.0592915,
0.0808,-0.000304901,49.6863,0.00859343,0.00176855,-0.0017324,-0.000450195,0.24652,-0.000304901,49.6863,0.00859343,0.00176855,-0.0017324,-0.000450195,0.24652,-0.000304901,49.6863,0.00859343,0.00176855,-0.0017324,-0.000450195,0.24652,-0.000304901,49.6863,0.00859343,0.00176855,-0.0017324,-0.000450195,0.24652,-0.000304901,49.6863,0.00859343,0.00176855,-0.0017324,-0.000450195,0.24652,-0.728269,49.6688,0.0155651,0.00562462,0.0134447,-2.3519,0.0592915,0.753145,49.6638,0.0106493,0.00500822,0.0128627,-2.35191,0.0592915,0.00842321,49.1447,-0.512937,0.0167127,0.00576572,-0.788884,0.0592915,0.0168321,50.1879,0.539158,0.0138685,0.00859143,-0.788884,0.0592915,0.0242986,49.1445,0.538655,-1.57388,-0.00358145,-0.00331837,0.0592915,0.000719605,50.1881,-0.512458,-1.57413,-0.00218885,-0.00307565,0.0592915,
0.0909,-0.000180186,49.6012,0.00851937,2.66587e-06,0.000675665,-4.72422e-05,0.24652,-0.000180186,49.6012,0.00851937,2.66587e-06,0.000675665,-4.72422e-05,0.24652,-0.000180186,49.6012,0.00851937,2.66587e-06,0.000675665,-4.72422e-05,0.24652,-0.000180186,49.6012,0.00851937,2.66587e-06,0.000675665,-4.72422e-05,0.24652,-0.000180186,49.6012,0.00851937,2.66587e-06,0.000675665,-4.72422e-05,0.24652,-0.728698,49.5837,0.0152911,0.0047835,0.0126383,-2.35194,0.0592915,0.753331,49.5791,0.0109922,0.00589652,0.0135318,-2.35193,0.0592915,0.00843048,49.0596,-0.513041,0.0150967,0.00731948,-0.788838,0.0592915,0.0166155,50.1031,0.539306,0.0161174,0.00630603,-0.78895,0.0592915,0.0242532,49.0594,0.538979,-1.57376,-0.00186113,-0.00305634,0.0592915,0.000699365,50.1034,-0.512587,-1.57393,-0.00377869,-0.00288298,0.0592915,
0.101,-0.000288305,49.5062,0.00844522,-0.00185745,0.00195849,0.000400968,0.24652,-0.000288305,49.5062,0.00844522,-0.00185745,0.00195849,0.000400968,0.24652,-0.000288305,49.5062,0.00844522,-0.00185745,0.00195849,0.000400968,0.24652,-0.000288305,49.5062,0.00844522,-0.00185745,0.00195849,0.000400968,0.24652,-0.000288305,49.5062,0.00844522,-0.00185745,0.00195849,0.000400968,0.24652,-0.727849,49.4884,0.0152216,0.00537149,0.0128825,-2.35197,0.0592915,0.752813,49.4843,0.0112244,0.00627535,0.0139544,-2.35196,0.0592915,0.00857098,48.965,-0.512488,0.0149592,0.00749956,-0.788953,0.0592915,0.0165175,50.0077,0.538942,0.0182461,0.00423495,-0.78887,0.0592915,0.0242958,48.9648,0.538508,-1.57362,-0.00204973,-0.00291536,0.0592915,0.000732901,50.0078,-0.51216,-1.57372,-0.00412446,-0.00281389,0.0592915,
