time,0_rod(payload_bars compound_qY0).X,0_rod(payload_bars compound_qY0).Y,0_rod(payload_bars compound_qY0).Z,0_rod(payload_bars compound_qY0).Euler1,0_rod(payload_bars compound_qY0).Euler2,0_rod(payload_bars compound_qY0).Euler3,0_rod(payload_bars compound_qY0).mass,1_rod(payload_bars compound_qY0).X,1_rod(payload_bars compound_qY0).Y,1_rod(payload_bars compound_qY0).Z,1_rod(payload_bars compound_qY0).Euler1,1_rod(payload_bars compound_qY0).Euler2,1_rod(payload_bars compound_qY0).Euler3,1_rod(payload_bars compound_qY0).mass,2_rod(payload_bars compound_qY0).X,2_rod(payload_bars compound_qY0).Y,2_rod(payload_bars compound_qY0).Z,2_rod(payload_bars compound_qY0).Euler1,2_rod(payload_bars compound_qY0).Euler2,2_rod(payload_bars compound_qY0).Euler3,2_rod(payload_bars compound_qY0).mass,3_rod(payload_bars compound_qY0).X,3_rod(payload_bars compound_qY0).Y,3_rod(payload_bars compound_qY0).Z,3_rod(payload_bars compound_qY0).Euler1,3_rod(payload_bars compound_qY0).Euler2,3_rod(payload_bars compound_qY0).Euler3,3_rod(payload_bars compound_qY0).mass,4_rod(sense_bar compound_qY0).X,4_rod(sense_bar compound_qY0).Y,4_rod(sense_bar compound_qY0).Z,4_rod(sense_bar compound_qY0).Euler1,4_rod(sense_bar compound_qY0).Euler2,4_rod(sense_bar compound_qY0).Euler3,4_rod(sense_bar compound_qY0).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000420758,50.0011,0.00854432,0.000152608,0.000427735,3.49875e-05,0.24652,-0.000420758,50.0011,0.00854432,0.000152608,0.000427735,3.49875e-05,0.24652,-0.000420758,50.0011,0.00854432,0.000152608,0.000427735,3.49875e-05,0.24652,-0.000420758,50.0011,0.00854432,0.000152608,0.000427735,3.49875e-05,0.24652,-0.000420758,50.0011,0.00854432,0.000152608,0.000427735,3.49875e-05,0.24652,-0.72718,49.9836,0.0153157,0.00553729,0.0132882,-2.35194,0.0592915,0.752096,49.979,0.0109701,0.0056686,0.0133819,-2.35194,0.0592915,0.00864107,49.4605,-0.512075,0.0153358,0.00708454,-0.788899,0.0592915,0.0168226,50.502,0.538328,0.0163859,0.00604128,-0.788892,0.0592915,0.024392,49.4603,0.537926,-1.57374,-0.00284508,-0.00311127,0.0592915,0.000860509,50.5022,-0.511628,-1.57396,-0.00310166,-0.00289386,0.0592915,
0.0202,-0.000961378,49.986,0.00863139,0.000256764,0.000860969,7.65275e-05,0.24652,-0.000961378,49.986,0.00863139,0.000256764,0.000860969,7.65275e-05,0.24652,-0.000961378,49.986,0.00863139,0.000256764,0.000860969,7.65275e-05,0.24652,-0.000961378,49.986,0.00863139,0.000256764,0.000860969,7.65275e-05,0.24652,-0.000961378,49.986,0.00863139,0.000256764,0.000860969,7.65275e-05,0.24652,-0.724104,49.9687,0.0151861,0.00559422,0.0132929,-2.35195,0.0592915,0.750202,49.964,0.0109676,0.00561003,0.0133286,-2.35195,0.0592915,0.00885278,49.4474,-0.510362,0.0157668,0.00659766,-0.788899,0.0592915,0.0169877,50.4854,0.536531,0.0159265,0.00643937,-0.788901,0.0592915,0.0247049,49.4471,0.536173,-1.57392,-0.00293266,-0.00291446,0.0592915,0.00123607,50.4856,-0.510021,-1.57382,-0.0030026,-0.00301407,0.0592915,
0.0303,-0.0014136,49.9609,0.00870558,0.000409172,0.00134852,0.000118502,0.24652,-0.0014136,49.9609,0.00870558,0.000409172,0.00134852,0.000118502,0.24652,-0.0014136,49.9609,0.00870558,0.000409172,0.00134852,0.000118502,0.24652,-0.0014136,49.9609,0.00870558,0.000409172,0.00134852,0.000118502,0.24652,-0.0014136,49.9609,0.00870558,0.000409172,0.00134852,0.000118502,0.24652,-0.724051,49.9438,0.0150994,0.00556049,0.0132508,-2.35195,0.0592915,0.750571,49.9391,0.0109503,0.00546485,0.0131454,-2.35195,0.0592915,0.00931267,49.4223,-0.510534,0.0161691,0.00613734,-0.788897,0.0592915,0.017424,50.4606,0.536578,0.0154558,0.00684612,-0.788912,0.0592915,0.0249721,49.4221,0.536207,-1.5738,-0.00317222,-0.00301339,0.0592915,0.00153044,50.4608,-0.510136,-1.57401,-0.00295851,-0.00280685,0.0592915,
0.0404,-0.000615974,49.9259,0.00874087,0.000676941,0.00202702,0.000167951,0.24652,-0.000615974,49.9259,0.00874087,0.000676941,0.00202702,0.000167951,0.24652,-0.000615974,49.9259,0.00874087,0.000676941,0.00202702,0.000167951,0.24652,-0.000615974,49.9259,0.00874087,0.000676941,0.00202702,0.000167951,0.24652,-0.000615974,49.9259,0.00874087,0.000676941,0.00202702,0.000167951,0.24652,-0.726882,49.9089,0.0150824,0.00547355,0.013115,-2.35195,0.0592915,0.752205,49.9042,0.010933,0.0054892,0.0131376,-2.35195,0.0592915,0.00880343,49.3858,-0.512125,0.0165477,0.00569004,-0.78891,0.0592915,0.0168883,50.4273,0.538132,0.015015,0.00721212,-0.788919,0.0592915,0.0243682,49.3856,0.537746,-1.57378,-0.00314888,-0.00298744,0.0592915,0.00105968,50.4275,-0.511749,-1.57401,-0.00297184,-0.00275449,0.0592915,
0.0505,-3.60125e-05,49.8812,0.00852362,-0.000413342,0.000471271,0.000256555,0.24652,-3.60125e-05,49.8812,0.00852362,-0.000413342,0.000471271,0.000256555,0.24652,-3.60125e-05,49.8812,0.00852362,-0.000413342,0.000471271,0.000256555,0.24652,-3.60125e-05,49.8812,0.00852362,-0.000413342,0.000471271,0.000256555,0.24652,-3.60125e-05,49.8812,0.00852362,-0.000413342,0.000471271,0.000256555,0.24652,-0.729485,49.8636,0.0153007,0.00510657,0.0128797,-2.35197,0.0592915,0.754151,49.8592,0.0109542,0.00570207,0.0134075,-2.35196,0.0592915,0.00822811,49.3389,-0.513605,0.0155763,0.00689289,-0.788834,0.0592915,0.0164032,50.3837,0.539836,0.0165003,0.00597647,-0.788955,0.0592915,0.0241451,49.3387,0.539636,-1.57377,-0.00281863,-0.00301489,0.0592915,0.000589413,50.3839,-0.513199,-1.57381,-0.00306391,-0.00298077,0.0592915,
0.0606,-0.000369825,49.8264,0.00836119,-0.000104657,-0.000587389,9.86206e-06,0.24652,-0.000369825,49.8264,0.00836119,-0.000104657,-0.000587389,9.86206e-06,0.24652,-0.000369825,49.8264,0.00836119,-0.000104657,-0.000587389,9.86206e-06,0.24652,-0.000369825,49.8264,0.00836119,-0.000104657,-0.000587389,9.86206e-06,0.24652,-0.000369825,49.8264,0.00836119,-0.000104657,-0.000587389,9.86206e-06,0.24652,-0.727766,49.8084,0.0155757,0.00556363,0.0133488,-2.35194,0.0592915,0.752553,49.8039,0.0110427,0.00590117,0.0136791,-2.35193,0.0592915,0.00860573,49.2851,-0.512301,0.0143257,0.00819239,-0.78899,0.0592915,0.0168447,50.3274,0.538825,0.0177071,0.00483164,-0.788787,0.0592915,0.0243763,49.2849,0.538377,-1.57366,-0.00269434,-0.00325896,0.0592915,0.000806355,50.3276,-0.511922,-1.57396,-0.00329976,-0.00295846,0.0592915,
0.0707,-0.000234058,49.7614,0.00842132,0.000998601,-0.000805026,-0.000293679,0.24652,-0.000234058,49.7614,0.00842132,0.000998601,-0.000805026,-0.000293679,0.24652,-0.000234058,49.7614,0.00842132,0.000998601,-0.000805026,-0.000293679,0.24652,-0.000234058,49.7614,0.00842132,0.000998601,-0.000805026,-0.000293679,0.24652,-0.000234058,49.7614,0.00842132,0.000998601,-0.000805026,-0.000293679,0.24652,-0.727042,49.7436,0.0154745,0.00627756,0.0141702,-2.3519,0.0592915,0.752106,49.7389,0.0109674,0.00527517,0.0131782,-2.35192,0.0592915,0.00824543,49.2205,-0.511943,0.0163419,0.00612026,-0.788852,0.0592915,0.0166025,50.2619,0.538393,0.0150041,0.00744909,-0.788878,0.0592915,0.0242543,49.2202,0.537996,-1.57397,-0.00315917,-0.00305905,0.0592915,0.000688594,50.2622,-0.51154,-1.57387,-0.00306746,-0.00315381,0.0592915,
0.0808,-0.000289418,49.6863,0.00859406,0.0012553,-0.00112934,-0.000495449,0.24652,-0.000289418,49.6863,0.00859406,0.0012553,-0.00112934,-0.000495449,0.24652,-0.000289418,49.6863,0.00859406,0.0012553,-0.00112934,-0.000495449,0.24652,-0.000289418,49.6863,0.00859406,0.0012553,-0.00112934,-0.000495449,0.24652,-0.000289418,49.6863,0.00859406,0.0012553,-0.00112934,-0.000495449,0.24652,-0.728413,49.6688,0.0154969,0.00561592,0.0133898,-2.35189,0.0592915,0.753241,49.6639,0.0107264,0.00509448,0.012931,-2.3519,0.0592915,0.00845155,49.1447,-0.513018,0.0169496,0.00552223,-0.78887,0.0592915,0.01679,50.1879,0.539243,0.014062,0.00839132,-0.788908,0.0592915,0.0242944,49.1444,0.538728,-1.57383,-0.00323038,-0.00326139,0.0592915,0.00072111,50.1882,-0.512546,-1.57408,-0.00269676,-0.00301968,0.0592915,
0.0909,-0.000195185,49.6012,0.00852431,0.000190785,0.000440196,-5.42517e-05,0.24652,-0.000195185,49.6012,0.00852431,0.000190785,0.000440196,-5.42517e-05,0.24652,-0.000195185,49.6012,0.00852431,0.000190785,0.000440196,-5.42517e-05,0.24652,-0.000195185,49.6012,0.00852431,0.000190785,0.000440196,-5.42517e-05,0.24652,-0.000195185,49.6012,0.00852431,0.000190785,0.000440196,-5.42517e-05,0.24652,-0.728672,49.5837,0.0153254,0.00468381,0.0125256,-2.35195,0.0592915,0.753324,49.5791,0.010958,0.00593598,0.0135911,-2.35193,0.0592915,0.00843505,49.0596,-0.513035,0.0151223,0.00729696,-0.788843,0.0592915,0.01664,50.1031,0.539297,0.0162108,0.00621649,-0.788944,0.0592915,0.024258,49.0594,0.538959,-1.57376,-0.00245947,-0.00308638,0.0592915,0.000708455,50.1034,-0.512585,-1.57395,-0.0030205,-0.00290192,0.0592915,
0.101,-0.000281178,49.5062,0.00843759,-0.00125649,0.00136092,0.000463526,0.24652,-0.000281178,49.5062,0.00843759,-0.00125649,0.00136092,0.000463526,0.24652,-0.000281178,49.5062,0.00843759,-0.00125649,0.00136092,0.000463526,0.24652,-0.000281178,49.5062,0.00843759,-0.00125649,0.00136092,0.000463526,0.24652,-0.000281178,49.5062,0.00843759,-0.00125649,0.00136092,0.000463526,0.24652,-0.727826,49.4885,0.0153056,0.00540917,0.0129532,-2.35198,0.0592915,0.752799,49.4842,0.0111494,0.00617493,0.0138816,-2.35197,0.0592915,0.00852044,48.9651,-0.512444,0.0146493,0.00780632,-0.788962,0.0592915,0.0165383,50.0077,0.538913,0.0179301,0.00454802,-0.788876,0.0592915,0.0242885,48.9649,0.538485,-1.57368,-0.00272094,-0.00296151,0.0592915,0.000730996,50.0078,-0.512129,-1.57376,-0.00323919,-0.0028802,0.0592915,
