time,0_rod(payload_bars compound_VIcYJH).X,0_rod(payload_bars compound_VIcYJH).Y,0_rod(payload_bars compound_VIcYJH).Z,0_rod(payload_bars compound_VIcYJH).Euler1,0_rod(payload_bars compound_VIcYJH).Euler2,0_rod(payload_bars compound_VIcYJH).Euler3,0_rod(payload_bars compound_VIcYJH).mass,1_rod(payload_bars compound_VIcYJH).X,1_rod(payload_bars compound_VIcYJH).Y,1_rod(payload_bars compound_VIcYJH).Z,1_rod(payload_bars compound_VIcYJH).Euler1,1_rod(payload_bars compound_VIcYJH).Euler2,1_rod(payload_bars compound_VIcYJH).Euler3,1_rod(payload_bars compound_VIcYJH).mass,2_rod(payload_bars compound_VIcYJH).X,2_rod(payload_bars compound_VIcYJH).Y,2_rod(payload_bars compound_VIcYJH).Z,2_rod(payload_bars compound_VIcYJH).Euler1,2_rod(payload_bars compound_VIcYJH).Euler2,2_rod(payload_bars compound_VIcYJH).Euler3,2_rod(payload_bars compound_VIcYJH).mass,3_rod(payload_bars compound_VIcYJH).X,3_rod(payload_bars compound_VIcYJH).Y,3_rod(payload_bars compound_VIcYJH).Z,3_rod(payload_bars compound_VIcYJH).Euler1,3_rod(payload_bars compound_VIcYJH).Euler2,3_rod(payload_bars compound_VIcYJH).Euler3,3_rod(payload_bars compound_VIcYJH).mass,4_rod(sense_bar compound_VIcYJH).X,4_rod(sense_bar compound_VIcYJH).Y,4_rod(sense_bar compound_VIcYJH).Z,4_rod(sense_bar compound_VIcYJH).Euler1,4_rod(sense_bar compound_VIcYJH).Euler2,4_rod(sense_bar compound_VIcYJH).Euler3,4_rod(sense_bar compound_VIcYJH).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000401698,50.0011,0.00853942,0.000192865,0.000316657,3.05594e-05,0.24652,-0.000401698,50.0011,0.00853942,0.000192865,0.000316657,3.05594e-05,0.24652,-0.000401698,50.0011,0.00853942,0.000192865,0.000316657,3.05594e-05,0.24652,-0.000401698,50.0011,0.00853942,0.000192865,0.000316657,3.05594e-05,0.24652,-0.000401698,50.0011,0.00853942,0.000192865,0.000316657,3.05594e-05,0.24652,-0.728064,49.9836,0.0153309,0.00553328,0.0132892,-2.35194,0.0593527,0.753036,49.9789,0.0109566,0.00566308,0.0133908,-2.35194,0.0593527,0.00858128,49.4598,-0.512718,0.0153825,0.00704425,-0.788899,0.0593527,0.0167822,50.5027,0.538981,0.0163424,0.00609073,-0.788892,0.0593527,0.0243898,49.4596,0.538583,-1.57378,-0.00314046,-0.0030872,0.0593527,0.000825804,50.5029,-0.512276,-1.57393,-0.00285389,-0.00293666,0.0593527,
0.0202,-0.000913947,49.986,0.00861112,0.000402382,0.000665964,6.9473e-05,0.24652,-0.000913947,49.986,0.00861112,0.000402382,0.000665964,6.9473e-05,0.24652,-0.000913947,49.986,0.00861112,0.000402382,0.000665964,6.9473e-05,0.24652,-0.000913947,49.986,0.00861112,0.000402382,0.000665964,6.9473e-05,0.24652,-0.000913947,49.986,0.00861112,0.000402382,0.000665964,6.9473e-05,0.24652,-0.725354,49.9687,0.0152226,0.005579,0.0133101,-2.35194,0.0593527,0.75131,49.964,0.0109606,0.00561134,0.0133526,-2.35194,0.0593527,0.0088312,49.4465,-0.511186,0.0157209,0.00664878,-0.788899,0.0593527,0.0170067,50.4862,0.537378,0.0159513,0.00642011,-0.7889,0.0593527,0.024692,49.4462,0.537015,-1.5739,-0.00306033,-0.00295993,0.0593527,0.00119278,50.4864,-0.510831,-1.57386,-0.0029004,-0.00300263,0.0593527,
0.0303,-0.00128392,49.961,0.00867073,0.000654766,0.00105534,0.000109283,0.24652,-0.00128392,49.961,0.00867073,0.000654766,0.00105534,0.000109283,0.24652,-0.00128392,49.961,0.00867073,0.000654766,0.00105534,0.000109283,0.24652,-0.00128392,49.961,0.00867073,0.000654766,0.00105534,0.000109283,0.24652,-0.00128392,49.961,0.00867073,0.000654766,0.00105534,0.000109283,0.24652,-0.725512,49.9438,0.0151579,0.00554302,0.0132736,-2.35195,0.0593527,0.751882,49.9391,0.0109433,0.00543854,0.0131669,-2.35195,0.0593527,0.00918695,49.4213,-0.511487,0.0161929,0.0061193,-0.788898,0.0593527,0.0173578,50.4615,0.537587,0.0153827,0.00692445,-0.78891,0.0593527,0.0248765,49.4211,0.537194,-1.57381,-0.00290924,-0.00304592,0.0593527,0.00142325,50.4617,-0.511083,-1.57402,-0.00316835,-0.00283831,0.0593527,
0.0404,-0.000337275,49.926,0.00870958,0.000936046,0.00144583,0.000156046,0.24652,-0.000337275,49.926,0.00870958,0.000936046,0.00144583,0.000156046,0.24652,-0.000337275,49.926,0.00870958,0.000936046,0.00144583,0.000156046,0.24652,-0.000337275,49.926,0.00870958,0.000936046,0.00144583,0.000156046,0.24652,-0.000337275,49.926,0.00870958,0.000936046,0.00144583,0.000156046,0.24652,-0.728541,49.9088,0.0151531,0.00544675,0.0131572,-2.35195,0.0593527,0.753525,49.9041,0.0109015,0.00542262,0.0131309,-2.35195,0.0593527,0.00852726,49.3847,-0.513149,0.0165808,0.00569124,-0.788896,0.0593527,0.0166965,50.4283,0.539209,0.0149574,0.00730382,-0.788933,0.0593527,0.0242307,49.3845,0.538835,-1.57385,-0.0031878,-0.00298138,0.0593527,0.000845122,50.4285,-0.512799,-1.57399,-0.00292578,-0.00285068,0.0593527,
0.0505,-0.000143383,49.8813,0.00846452,-0.000364926,-0.000142404,0.00012567,0.24652,-0.000143383,49.8813,0.00846452,-0.000364926,-0.000142404,0.00012567,0.24652,-0.000143383,49.8813,0.00846452,-0.000364926,-0.000142404,0.00012567,0.24652,-0.000143383,49.8813,0.00846452,-0.000364926,-0.000142404,0.00012567,0.24652,-0.000143383,49.8813,0.00846452,-0.000364926,-0.000142404,0.00012567,0.24652,-0.730285,49.8636,0.0154336,0.00513668,0.0128924,-2.35196,0.0593527,0.754962,49.8591,0.0109262,0.00575739,0.0134963,-2.35195,0.0593527,0.00837549,49.3384,-0.514136,0.0150944,0.00741693,-0.788898,0.0593527,0.0165835,50.3842,0.540469,0.016848,0.00567535,-0.788888,0.0593527,0.0242225,49.3381,0.540239,-1.57368,-0.00333044,-0.00316838,0.0593527,0.000618784,50.3845,-0.513764,-1.57391,-0.00270168,-0.00295162,0.0593527,
0.0606,-0.00032766,49.8264,0.00835013,-1.22475e-05,-0.000287072,-8.66111e-05,0.24652,-0.00032766,49.8264,0.00835013,-1.22475e-05,-0.000287072,-8.66111e-05,0.24652,-0.00032766,49.8264,0.00835013,-1.22475e-05,-0.000287072,-8.66111e-05,0.24652,-0.00032766,49.8264,0.00835013,-1.22475e-05,-0.000287072,-8.66111e-05,0.24652,-0.00032766,49.8264,0.00835013,-1.22475e-05,-0.000287072,-8.66111e-05,0.24652,-0.728308,49.8085,0.0155233,0.00573158,0.0135102,-2.35193,0.0593527,0.753398,49.8039,0.0110468,0.00592365,0.0136849,-2.35192,0.0593527,0.00843214,49.2846,-0.512783,0.014573,0.00791461,-0.788899,0.0593527,0.0166656,50.3278,0.539348,0.0172935,0.00521299,-0.78887,0.0593527,0.0243219,49.2844,0.538928,-1.5738,-0.00309447,-0.00309942,0.0593527,0.000733573,50.3281,-0.51242,-1.57384,-0.00291012,-0.00305896,0.0593527,
0.0707,-0.00018455,49.7614,0.00838441,0.000479384,-0.000286818,-0.000324258,0.24652,-0.00018455,49.7614,0.00838441,0.000479384,-0.000286818,-0.000324258,0.24652,-0.00018455,49.7614,0.00838441,0.000479384,-0.000286818,-0.000324258,0.24652,-0.00018455,49.7614,0.00838441,0.000479384,-0.000286818,-0.000324258,0.24652,-0.00018455,49.7614,0.00838441,0.000479384,-0.000286818,-0.000324258,0.24652,-0.728361,49.7435,0.015482,0.00616212,0.0139631,-2.3519,0.0593527,0.753169,49.7389,0.0110348,0.00530038,0.013118,-2.35191,0.0593527,0.00832277,49.2197,-0.512758,0.0166241,0.00584756,-0.788867,0.0593527,0.016598,50.2628,0.539268,0.0149151,0.00754427,-0.78886,0.0593527,0.0242795,49.2194,0.538844,-1.57388,-0.00280714,-0.00306241,0.0593527,0.000640701,50.2631,-0.512369,-1.57389,-0.00327118,-0.00304591,0.0593527,
0.0808,-0.000192035,49.6862,0.0085284,0.000414374,-0.000420635,-0.000324099,0.24652,-0.000192035,49.6862,0.0085284,0.000414374,-0.000420635,-0.000324099,0.24652,-0.000192035,49.6862,0.0085284,0.000414374,-0.000420635,-0.000324099,0.24652,-0.000192035,49.6862,0.0085284,0.000414374,-0.000420635,-0.000324099,0.24652,-0.000192035,49.6862,0.0085284,0.000414374,-0.000420635,-0.000324099,0.24652,-0.729903,49.6687,0.0154583,0.00556162,0.0132657,-2.35191,0.0593527,0.754473,49.664,0.0108373,0.00506661,0.0128457,-2.35192,0.0593527,0.00845433,49.1438,-0.513888,0.016979,0.00550724,-0.788846,0.0593527,0.0167071,50.1889,0.540199,0.0144226,0.00804727,-0.788934,0.0593527,0.0242822,49.1435,0.539758,-1.57375,-0.00285647,-0.00321014,0.0593527,0.000665928,50.1892,-0.513462,-1.57401,-0.00303037,-0.0029447,0.0593527,
0.0909,-0.000186852,49.6012,0.00853653,0.000140124,0.000544274,0.000160374,0.24652,-0.000186852,49.6012,0.00853653,0.000140124,0.000544274,0.000160374,0.24652,-0.000186852,49.6012,0.00853653,0.000140124,0.000544274,0.000160374,0.24652,-0.000186852,49.6012,0.00853653,0.000140124,0.000544274,0.000160374,0.24652,-0.000186852,49.6012,0.00853653,0.000140124,0.000544274,0.000160374,0.24652,-0.729349,49.5837,0.0153139,0.00485552,0.0126271,-2.35196,0.0593527,0.754069,49.5791,0.010966,0.00598907,0.0136961,-2.35195,0.0593527,0.00839969,49.059,-0.513507,0.0149526,0.00746108,-0.788859,0.0593527,0.0165958,50.1036,0.539793,0.0166823,0.00574402,-0.788931,0.0593527,0.0242599,49.0589,0.539396,-1.5738,-0.00327402,-0.0030392,0.0593527,0.000682941,50.1038,-0.513093,-1.57391,-0.00245939,-0.00292933,0.0593527,
0.101,-0.000256096,49.5061,0.00841929,-0.000674183,0.000748623,0.000569294,0.24652,-0.000256096,49.5061,0.00841929,-0.000674183,0.000748623,0.000569294,0.24652,-0.000256096,49.5061,0.00841929,-0.000674183,0.000748623,0.000569294,0.24652,-0.000256096,49.5061,0.00841929,-0.000674183,0.000748623,0.000569294,0.24652,-0.000256096,49.5061,0.00841929,-0.000674183,0.000748623,0.000569294,0.24652,-0.728877,49.4886,0.0153983,0.00550498,0.0131288,-2.35199,0.0593527,0.753816,49.4841,0.0110576,0.00620298,0.013873,-2.35198,0.0593527,0.00846664,48.9643,-0.513149,0.0146227,0.00783556,-0.788947,0.0593527,0.0165614,50.0084,0.53961,0.0175328,0.00494558,-0.788902,0.0593527,0.0242842,48.9642,0.539257,-1.57374,-0.00334482,-0.00301892,0.0593527,0.000694404,50.0085,-0.512818,-1.57382,-0.00284883,-0.00293571,0.0593527,
