time,0_rod(payload_bars compound_).X,0_rod(payload_bars compound_).Y,0_rod(payload_bars compound_).Z,0_rod(payload_bars compound_).Euler1,0_rod(payload_bars compound_).Euler2,0_rod(payload_bars compound_).Euler3,0_rod(payload_bars compound_).mass,1_rod(payload_bars compound_).X,1_rod(payload_bars compound_).Y,1_rod(payload_bars compound_).Z,1_rod(payload_bars compound_).Euler1,1_rod(payload_bars compound_).Euler2,1_rod(payload_bars compound_).Euler3,1_rod(payload_bars compound_).mass,2_rod(payload_bars compound_).X,2_rod(payload_bars compound_).Y,2_rod(payload_bars compound_).Z,2_rod(payload_bars compound_).Euler1,2_rod(payload_bars compound_).Euler2,2_rod(payload_bars compound_).Euler3,2_rod(payload_bars compound_).mass,3_rod(payload_bars compound_).X,3_rod(payload_bars compound_).Y,3_rod(payload_bars compound_).Z,3_rod(payload_bars compound_).Euler1,3_rod(payload_bars compound_).Euler2,3_rod(payload_bars compound_).Euler3,3_rod(payload_bars compound_).mass,4_rod(sense_bar compound_).X,4_rod(sense_bar compound_).Y,4_rod(sense_bar compound_).Z,4_rod(sense_bar compound_).Euler1,4_rod(sense_bar compound_).Euler2,4_rod(sense_bar compound_).Euler3,4_rod(sense_bar compound_).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,4.82065e-06,50.0011,0.00849859,0.000174161,0.000339679,3.21633e-05,0.24652,4.82065e-06,50.0011,0.00849859,0.000174161,0.000339679,3.21633e-05,0.24652,4.82065e-06,50.0011,0.00849859,0.000174161,0.000339679,3.21633e-05,0.24652,4.82065e-06,50.0011,0.00849859,0.000174161,0.000339679,3.21633e-05,0.24652,4.82065e-06,50.0011,0.00849859,0.000174161,0.000339679,3.21633e-05,0.24652,-0.728097,49.9835,0.0153518,0.00550358,0.0132498,-2.35194,0.0593527,0.752729,49.9789,0.010976,0.00566814,0.0133873,-2.35194,0.0593527,0.00820987,49.4599,-0.512587,0.0154835,0.00695182,-0.788884,0.0593527,0.0164006,50.5026,0.538912,0.0162482,0.00619274,-0.788906,0.0593527,0.0240931,49.4596,0.538578,-1.57385,-0.00303428,-0.00301044,0.0593527,0.000526815,50.5028,-0.512204,-1.57384,-0.00291456,-0.00301529,0.0593527,
0.0202,4.57663e-06,49.9861,0.00850738,0.000374569,0.000723644,6.80798e-05,0.24652,4.57663e-06,49.9861,0.00850738,0.000374569,0.000723644,6.80798e-05,0.24652,4.57663e-06,49.9861,0.00850738,0.000374569,0.000723644,6.80798e-05,0.24652,4.57663e-06,49.9861,0.00850738,0.000374569,0.000723644,6.80798e-05,0.24652,4.57663e-06,49.9861,0.00850738,0.000374569,0.000723644,6.80798e-05,0.24652,-0.725951,49.9686,0.0152983,0.0055626,0.0132766,-2.35194,0.0593527,0.750571,49.9639,0.011036,0.00564294,0.0133648,-2.35194,0.0593527,0.00823277,49.4465,-0.511065,0.0157169,0.00666961,-0.788903,0.0593527,0.0163888,50.4861,0.5374,0.0159868,0.00640156,-0.788892,0.0593527,0.0240651,49.4462,0.537038,-1.57386,-0.00301052,-0.00298397,0.0593527,0.000556776,50.4863,-0.510718,-1.57386,-0.00293558,-0.00298235,0.0593527,
0.0303,4.33261e-06,49.9611,0.00851618,0.000574991,0.0011076,0.000104073,0.24652,4.33261e-06,49.9611,0.00851618,0.000574991,0.0011076,0.000104073,0.24652,4.33261e-06,49.9611,0.00851618,0.000574991,0.0011076,0.000104073,0.24652,4.33261e-06,49.9611,0.00851618,0.000574991,0.0011076,0.000104073,0.24652,4.33261e-06,49.9611,0.00851618,0.000574991,0.0011076,0.000104073,0.24652,-0.726405,49.9437,0.0152726,0.00561577,0.0133178,-2.35195,0.0593527,0.751024,49.939,0.0110455,0.00543838,0.0131409,-2.35195,0.0593527,0.00824122,49.4212,-0.511392,0.0162065,0.00613479,-0.788898,0.0593527,0.016384,50.4615,0.537709,0.015437,0.00689895,-0.788904,0.0593527,0.024041,49.421,0.537358,-1.57388,-0.00299203,-0.00294956,0.0593527,0.000578577,50.4617,-0.51104,-1.57388,-0.00313768,-0.00294929,0.0593527,
0.0404,-1.28264e-05,49.9262,0.00851928,0.000732979,0.00143842,0.000142144,0.24652,-1.28264e-05,49.9262,0.00851928,0.000732979,0.00143842,0.000142144,0.24652,-1.28264e-05,49.9262,0.00851928,0.000732979,0.00143842,0.000142144,0.24652,-1.28264e-05,49.9262,0.00851928,0.000732979,0.00143842,0.000142144,0.24652,-1.28264e-05,49.9262,0.00851928,0.000732979,0.00143842,0.000142144,0.24652,-0.729357,49.9087,0.0152889,0.00549264,0.0132004,-2.35195,0.0593527,0.753999,49.904,0.0110129,0.00542459,0.0131145,-2.35195,0.0593527,0.00823687,49.3841,-0.513483,0.0159442,0.00634668,-0.788897,0.0593527,0.0163894,50.4286,0.539794,0.0156603,0.00662838,-0.788918,0.0593527,0.023991,49.3839,0.539435,-1.57387,-0.00303946,-0.00294123,0.0593527,0.000676244,50.4288,-0.513107,-1.57384,-0.00310852,-0.00297769,0.0593527,
0.0505,6.47965e-06,49.8813,0.00849009,0.000244741,0.000434904,6.23813e-05,0.24652,6.47965e-06,49.8813,0.00849009,0.000244741,0.000434904,6.23813e-05,0.24652,6.47965e-06,49.8813,0.00849009,0.000244741,0.000434904,6.23813e-05,0.24652,6.47965e-06,49.8813,0.00849009,0.000244741,0.000434904,6.23813e-05,0.24652,6.47965e-06,49.8813,0.00849009,0.000244741,0.000434904,6.23813e-05,0.24652,-0.729994,49.8636,0.015388,0.00513684,0.0128892,-2.35195,0.0593527,0.754618,49.859,0.0109685,0.00558316,0.0133263,-2.35194,0.0593527,0.00820054,49.3386,-0.513897,0.0151466,0.00726615,-0.788901,0.0593527,0.0164065,50.384,0.540261,0.0167146,0.00570875,-0.788884,0.0593527,0.0240409,49.3384,0.539894,-1.57383,-0.00312897,-0.003029,0.0593527,0.000583882,50.3843,-0.513553,-1.57382,-0.00279842,-0.00303507,0.0593527,
0.0606,1.82476e-06,49.8263,0.00848501,-0.00049706,-0.00101933,-8.76239e-05,0.24652,1.82476e-06,49.8263,0.00848501,-0.00049706,-0.00101933,-8.76239e-05,0.24652,1.82476e-06,49.8263,0.00848501,-0.00049706,-0.00101933,-8.76239e-05,0.24652,1.82476e-06,49.8263,0.00848501,-0.00049706,-0.00101933,-8.76239e-05,0.24652,1.82476e-06,49.8263,0.00848501,-0.00049706,-0.00101933,-8.76239e-05,0.24652,-0.728288,49.8086,0.0154507,0.00546229,0.0132545,-2.35193,0.0593527,0.752912,49.8041,0.010904,0.00571181,0.0135003,-2.35193,0.0593527,0.00818605,49.2848,-0.512707,0.0153348,0.00727114,-0.788883,0.0593527,0.0164365,50.3278,0.539068,0.0165955,0.00601936,-0.788884,0.0593527,0.0241872,49.2846,0.538702,-1.57379,-0.00304351,-0.00312965,0.0593527,0.000440838,50.328,-0.512334,-1.57379,-0.0028177,-0.00312584,0.0593527,
0.0707,-1.17855e-06,49.7613,0.00847871,-0.00116639,-0.00239951,-0.000237652,0.24652,-1.17855e-06,49.7613,0.00847871,-0.00116639,-0.00239951,-0.000237652,0.24652,-1.17855e-06,49.7613,0.00847871,-0.00116639,-0.00239951,-0.000237652,0.24652,-1.17855e-06,49.7613,0.00847871,-0.00116639,-0.00239951,-0.000237652,0.24652,-1.17855e-06,49.7613,0.00847871,-0.00116639,-0.00239951,-0.000237652,0.24652,-0.728807,49.7435,0.0155462,0.00609698,0.0139407,-2.35191,0.0593527,0.753436,49.7391,0.0108261,0.00569349,0.0135398,-2.35192,0.0593527,0.00815887,49.2195,-0.513076,0.0166404,0.00615636,-0.788865,0.0593527,0.0164761,50.2631,0.539445,0.0151733,0.00761354,-0.788874,0.0593527,0.0243409,49.2192,0.539035,-1.57378,-0.00289884,-0.00319802,0.0593527,0.000282474,50.2634,-0.512667,-1.57378,-0.00320489,-0.00319777,0.0593527,
0.0808,4.74546e-06,49.6862,0.00848809,-0.000507121,-0.00116117,-0.000163245,0.24652,4.74546e-06,49.6862,0.00848809,-0.000507121,-0.00116117,-0.000163245,0.24652,4.74546e-06,49.6862,0.00848809,-0.000507121,-0.00116117,-0.000163245,0.24652,4.74546e-06,49.6862,0.00848809,-0.000507121,-0.00116117,-0.000163245,0.24652,4.74546e-06,49.6862,0.00848809,-0.000507121,-0.00116117,-0.000163245,0.24652,-0.730033,49.6686,0.0154932,0.00626617,0.0140407,-2.35191,0.0593527,0.754648,49.6641,0.0108486,0.0059544,0.0136753,-2.35192,0.0593527,0.00818257,49.1436,-0.51395,0.0163171,0.00632122,-0.788866,0.0593527,0.0164426,50.189,0.540283,0.01521,0.00742137,-0.788911,0.0593527,0.0242921,49.1434,0.539945,-1.57385,-0.00289373,-0.00308087,0.0593527,0.000330985,50.1893,-0.51355,-1.57385,-0.00316826,-0.00308422,0.0593527,
0.0909,-8.70095e-06,49.6013,0.00850419,0.000914171,0.00191274,0.000164832,0.24652,-8.70095e-06,49.6013,0.00850419,0.000914171,0.00191274,0.000164832,0.24652,-8.70095e-06,49.6013,0.00850419,0.000914171,0.00191274,0.000164832,0.24652,-8.70095e-06,49.6013,0.00850419,0.000914171,0.00191274,0.000164832,0.24652,-8.70095e-06,49.6013,0.00850419,0.000914171,0.00191274,0.000164832,0.24652,-0.729234,49.5836,0.0152736,0.00518283,0.0128904,-2.35196,0.0593527,0.753879,49.579,0.0110628,0.00579854,0.0135152,-2.35195,0.0593527,0.00823273,49.0592,-0.513385,0.014718,0.00749522,-0.788914,0.0593527,0.0163925,50.1035,0.53972,0.0168825,0.00534544,-0.788893,0.0593527,0.0238802,49.0589,0.539345,-1.57384,-0.00318555,-0.00294408,0.0593527,0.000767476,50.1037,-0.513013,-1.57383,-0.00262159,-0.00295014,0.0593527,
0.101,-1.68081e-05,49.5062,0.00850004,0.00104979,0.00223113,0.000322838,0.24652,-1.68081e-05,49.5062,0.00850004,0.00104979,0.00223113,0.000322838,0.24652,-1.68081e-05,49.5062,0.00850004,0.00104979,0.00223113,0.000322838,0.24652,-1.68081e-05,49.5062,0.00850004,0.00104979,0.00223113,0.000322838,0.24652,-1.68081e-05,49.5062,0.00850004,0.00104979,0.00223113,0.000322838,0.24652,-0.729454,49.4886,0.0152372,0.00433003,0.0120845,-2.35198,0.0593527,0.754096,49.484,0.0111007,0.00476211,0.0125108,-2.35198,0.0593527,0.00824957,48.964,-0.513513,0.0153835,0.00679417,-0.788891,0.0593527,0.0164059,50.0086,0.539848,0.0168036,0.0053832,-0.788896,0.0593527,0.023816,48.9638,0.539503,-1.5738,-0.00320477,-0.00295707,0.0593527,0.000838762,50.0088,-0.513155,-1.57382,-0.00290322,-0.00294609,0.0593527,
