time,0_rod(payload_bars compound_bKQiH2).X,0_rod(payload_bars compound_bKQiH2).Y,0_rod(payload_bars compound_bKQiH2).Z,0_rod(payload_bars compound_bKQiH2).Euler1,0_rod(payload_bars compound_bKQiH2).Euler2,0_rod(payload_bars compound_bKQiH2).Euler3,0_rod(payload_bars compound_bKQiH2).mass,1_rod(payload_bars compound_bKQiH2).X,1_rod(payload_bars compound_bKQiH2).Y,1_rod(payload_bars compound_bKQiH2).Z,1_rod(payload_bars compound_bKQiH2).Euler1,1_rod(payload_bars compound_bKQiH2).Euler2,1_rod(payload_bars compound_bKQiH2).Euler3,1_rod(payload_bars compound_bKQiH2).mass,2_rod(payload_bars compound_bKQiH2).X,2_rod(payload_bars compound_bKQiH2).Y,2_rod(payload_bars compound_bKQiH2).Z,2_rod(payload_bars compound_bKQiH2).Euler1,2_rod(payload_bars compound_bKQiH2).Euler2,2_rod(payload_bars compound_bKQiH2).Euler3,2_rod(payload_bars compound_bKQiH2).mass,3_rod(payload_bars compound_bKQiH2).X,3_rod(payload_bars compound_bKQiH2).Y,3_rod(payload_bars compound_bKQiH2).Z,3_rod(payload_bars compound_bKQiH2).Euler1,3_rod(payload_bars compound_bKQiH2).Euler2,3_rod(payload_bars compound_bKQiH2).Euler3,3_rod(payload_bars compound_bKQiH2).mass,4_rod(sense_bar compound_bKQiH2).X,4_rod(sense_bar compound_bKQiH2).Y,4_rod(sense_bar compound_bKQiH2).Z,4_rod(sense_bar compound_bKQiH2).Euler1,4_rod(sense_bar compound_bKQiH2).Euler2,4_rod(sense_bar compound_bKQiH2).Euler3,4_rod(sense_bar compound_bKQiH2).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0.00257211,49.992,0.0342937,0.218573,-0.0173746,0.435715,0.24652,0.00257211,49.992,0.0342937,0.218573,-0.0173746,0.435715,0.24652,0.00257211,49.992,0.0342937,0.218573,-0.0173746,0.435715,0.24652,0.00257211,49.992,0.0342937,0.218573,-0.0173746,0.435715,0.24652,0.00257211,49.992,0.0342937,0.218573,-0.0173746,0.435715,0.24652,0.0254295,50.0797,-0.525156,1.67198,0.0911853,-0.528097,0.00229658,-0.0307071,50.3147,-0.455392,1.18155,0.708078,-0.718128,0.00229658,-0.18808,50.0813,-0.481694,1.9284,-0.146172,2.5172,0.00229525,0.103828,50.1481,-0.429232,-0.859514,0.686955,0.298984,0.00229525,-0.118941,50.1948,-0.38545,0.232364,-0.848994,-1.02609,0.00230071,0.00644052,50.0501,-0.413032,2.56378,0.013261,1.33759,0.00230071,
0.0202,0.00383949,49.9607,0.0189211,0.155024,-0.183184,1.28724,0.24652,0.00383949,49.9607,0.0189211,0.155024,-0.183184,1.28724,0.24652,0.00383949,49.9607,0.0189211,0.155024,-0.183184,1.28724,0.24652,0.00383949,49.9607,0.0189211,0.155024,-0.183184,1.28724,0.24652,0.00383949,49.9607,0.0189211,0.155024,-0.183184,1.28724,0.24652,-0.0175787,50.4724,-0.265959,1.55524,-0.691906,-0.562282,0.00229658,-0.0736084,50.4622,-0.0286155,2.28777,-0.317493,-0.958648,0.00229658,-0.147804,50.3692,-0.265779,-1.81035,-0.71346,0.449761,0.00229525,0.0958254,50.4609,-0.142555,0.122132,1.18391,1.26721,0.00229525,-0.200465,50.423,-0.138274,1.57988,0.0120999,-1.90738,0.00230071,0.00572398,50.3431,-0.199192,2.6232,-0.763048,0.64073,0.00230071,
0.0303,-0.00464921,49.9417,-0.0079957,-0.218028,-0.0745911,2.24097,0.24652,-0.00464921,49.9417,-0.0079957,-0.218028,-0.0745911,2.24097,0.24652,-0.00464921,49.9417,-0.0079957,-0.218028,-0.0745911,2.24097,0.24652,-0.00464921,49.9417,-0.0079957,-0.218028,-0.0745911,2.24097,0.24652,-0.00464921,49.9417,-0.0079957,-0.218028,-0.0745911,2.24097,0.24652,0.185354,50.3074,0.269596,-3.11637,-1.12617,-2.12629,0.00229658,0.0043021,50.2599,0.363841,-3.03804,-0.933753,-2.46337,0.00229658,-0.077033,50.3461,0.287433,-1.1063,-0.64148,0.588482,0.00229525,0.238629,50.2716,0.325152,0.669652,0.151004,2.34757,0.00229525,0.111513,50.3813,0.166157,0.315064,0.171519,-2.37831,0.00230071,0.109898,50.1749,0.435657,2.22355,0.414786,1.88507,0.00230071,
0.0404,-0.00607779,49.9279,-0.0162848,-0.382802,0.229065,3.14122,0.24652,-0.00607779,49.9279,-0.0162848,-0.382802,0.229065,3.14122,0.24652,-0.00607779,49.9279,-0.0162848,-0.382802,0.229065,3.14122,0.24652,-0.00607779,49.9279,-0.0162848,-0.382802,0.229065,3.14122,0.24652,-0.00607779,49.9279,-0.0162848,-0.382802,0.229065,3.14122,0.24652,0.221961,49.9343,0.436427,-2.0001,-0.594302,2.33244,0.00229658,-0.00132215,49.8246,0.499605,-2.16767,-1.08702,2.29596,0.00229658,0.0509026,50.0544,0.45885,0.409144,-1.35612,1.52761,0.00229525,0.246798,49.8381,0.417268,1.03353,-0.592186,3.03459,0.00229525,0.120697,49.8915,0.529147,-1.0308,-0.147575,-0.264717,0.00230071,0.0870766,49.7207,0.395874,1.95479,-0.037744,1.7195,0.00230071,
0.0505,-0.00300924,49.9031,-0.00240039,-0.159804,0.503866,-2.01918,0.24652,-0.00300924,49.9031,-0.00240039,-0.159804,0.503866,-2.01918,0.24652,-0.00300924,49.9031,-0.00240039,-0.159804,0.503866,-2.01918,0.24652,-0.00300924,49.9031,-0.00240039,-0.159804,0.503866,-2.01918,0.24652,-0.00300924,49.9031,-0.00240039,-0.159804,0.503866,-2.01918,0.24652,0.188284,49.5291,0.275045,-2.28214,0.844438,1.64726,0.00229658,-0.067841,49.4133,0.154331,-2.86139,-0.461905,1.94423,0.00229658,-0.0364993,49.4931,0.278048,-1.86542,0.874807,-0.226689,0.00229525,0.129745,49.4473,0.167431,0.00611631,0.201687,-1.84033,0.00229525,0.0850494,49.4921,0.346686,-0.330583,-0.148602,-0.693826,0.00230071,0.0979165,49.4536,0.0259978,2.39356,-1.01953,0.950537,0.00230071,
0.0606,0.00284388,49.8431,0.0259344,0.346844,0.416637,-0.675461,0.24652,0.00284388,49.8431,0.0259344,0.346844,0.416637,-0.675461,0.24652,0.00284388,49.8431,0.0259344,0.346844,0.416637,-0.675461,0.24652,0.00284388,49.8431,0.0259344,0.346844,0.416637,-0.675461,0.24652,0.00284388,49.8431,0.0259344,0.346844,0.416637,-0.675461,0.24652,0.0526208,49.4941,-0.340429,-2.95766,0.163428,0.61112,0.00229658,-0.153454,49.5042,-0.291957,-2.83059,0.0959456,0.824029,0.00229658,-0.0993932,49.4047,-0.200777,1.48345,0.0145066,-2.91616,0.00229525,0.0613527,49.5666,-0.391525,-0.444988,0.0587555,-1.22831,0.00229525,0.0465274,49.4546,-0.188201,-0.149618,-0.0818364,0.565876,0.00230071,-0.138865,49.6118,-0.379994,-1.53592,-0.824087,-1.51176,0.00230071,
0.0707,0.0040293,49.7501,0.0323365,0.41016,-0.0809917,0.442071,0.24652,0.0040293,49.7501,0.0323365,0.41016,-0.0809917,0.442071,0.24652,0.0040293,49.7501,0.0323365,0.41016,-0.0809917,0.442071,0.24652,0.0040293,49.7501,0.0323365,0.41016,-0.0809917,0.442071,0.24652,0.0040293,49.7501,0.0323365,0.41016,-0.0809917,0.442071,0.24652,0.0395635,49.9469,-0.437516,1.45901,-0.393271,-0.173998,0.00229658,-0.124587,49.9536,-0.415927,2.98077,0.46066,-0.94181,0.00229658,-0.146151,49.8221,-0.47158,0.365585,0.756246,-1.03798,0.00229525,0.0443117,50.0763,-0.355283,0.174593,0.34126,0.732785,0.00229525,-0.0283827,49.7905,-0.469461,0.628536,0.651665,2.41585,0.00230071,-0.143105,50.0598,-0.330056,-1.90614,0.556741,-1.68349,0.00230071,
0.0808,0.000136158,49.6598,0.00363939,0.00844628,-0.351502,1.85918,0.24652,0.000136158,49.6598,0.00363939,0.00844628,-0.351502,1.85918,0.24652,0.000136158,49.6598,0.00363939,0.00844628,-0.351502,1.85918,0.24652,0.000136158,49.6598,0.00363939,0.00844628,-0.351502,1.85918,0.24652,0.000136158,49.6598,0.00363939,0.00844628,-0.351502,1.85918,0.24652,0.100497,50.1559,0.0719084,-0.925087,0.287807,0.948448,0.00229658,-0.0775896,50.1272,0.147357,2.71899,-0.527614,-1.64886,0.00229658,-0.106551,50.1657,0.0155318,1.87076,0.21027,0.644955,0.00229525,0.159697,50.1509,0.152685,0.914202,0.450846,1.47958,0.00229525,-0.00880115,50.1738,-0.0307214,1.16647,-0.381566,-2.21314,0.00230071,-0.00789539,50.0604,0.242585,2.61009,0.697195,2.56049,0.00230071,
0.0909,0.00195418,49.6035,-0.0170492,-0.307739,-0.0241503,-2.89762,0.24652,0.00195418,49.6035,-0.0170492,-0.307739,-0.0241503,-2.89762,0.24652,0.00195418,49.6035,-0.0170492,-0.307739,-0.0241503,-2.89762,0.24652,0.00195418,49.6035,-0.0170492,-0.307739,-0.0241503,-2.89762,0.24652,0.00195418,49.6035,-0.0170492,-0.307739,-0.0241503,-2.89762,0.24652,0.0682192,49.5439,0.487502,0.858989,0.684932,2.99971,0.00229658,-0.132443,49.492,0.4618,-2.97093,-0.174,2.81234,0.00229658,-0.114151,49.6504,0.504994,0.943366,-1.42235,0.970908,0.00229525,0.104411,49.492,0.467908,0.743004,-0.31786,2.9928,0.00229525,-0.0183414,49.6714,0.498375,-1.04415,-0.982868,-0.123506,0.00230071,-0.0434417,49.3973,0.398759,2.23174,-0.15165,1.50762,0.00230071,
0.101,0.0011449,49.5296,0.0168672,0.041497,0.258228,-1.25513,0.24652,0.0011449,49.5296,0.0168672,0.041497,0.258228,-1.25513,0.24652,0.0011449,49.5296,0.0168672,0.041497,0.258228,-1.25513,0.24652,0.0011449,49.5296,0.0168672,0.041497,0.258228,-1.25513,0.24652,0.0011449,49.5296,0.0168672,0.041497,0.258228,-1.25513,0.24652,0.1003,49.0647,-0.137103,0.950208,0.0107794,-1.77261,0.00229658,-0.0960878,49.073,-0.147206,-2.96466,-0.0263372,1.30935,0.00229658,-0.119429,49.0315,-0.0275503,-0.697635,-0.0389204,-2.8441,0.00229525,0.0995376,49.0767,-0.231995,-0.375739,-0.266753,-1.55336,0.00229525,0.0527803,49.0164,-0.0164215,-1.43058,0.739708,0.221161,0.00230071,-0.0860368,49.1442,-0.25965,-1.94678,-1.22657,-0.989779,0.00230071,
