time,0_rod(payload_bars compound_6rRHNu).X,0_rod(payload_bars compound_6rRHNu).Y,0_rod(payload_bars compound_6rRHNu).Z,0_rod(payload_bars compound_6rRHNu).Euler1,0_rod(payload_bars compound_6rRHNu).Euler2,0_rod(payload_bars compound_6rRHNu).Euler3,0_rod(payload_bars compound_6rRHNu).mass,1_rod(payload_bars compound_6rRHNu).X,1_rod(payload_bars compound_6rRHNu).Y,1_rod(payload_bars compound_6rRHNu).Z,1_rod(payload_bars compound_6rRHNu).Euler1,1_rod(payload_bars compound_6rRHNu).Euler2,1_rod(payload_bars compound_6rRHNu).Euler3,1_rod(payload_bars compound_6rRHNu).mass,2_rod(payload_bars compound_6rRHNu).X,2_rod(payload_bars compound_6rRHNu).Y,2_rod(payload_bars compound_6rRHNu).Z,2_rod(payload_bars compound_6rRHNu).Euler1,2_rod(payload_bars compound_6rRHNu).Euler2,2_rod(payload_bars compound_6rRHNu).Euler3,2_rod(payload_bars compound_6rRHNu).mass,3_rod(payload_bars compound_6rRHNu).X,3_rod(payload_bars compound_6rRHNu).Y,3_rod(payload_bars compound_6rRHNu).Z,3_rod(payload_bars compound_6rRHNu).Euler1,3_rod(payload_bars compound_6rRHNu).Euler2,3_rod(payload_bars compound_6rRHNu).Euler3,3_rod(payload_bars compound_6rRHNu).mass,4_rod(sense_bar compound_6rRHNu).X,4_rod(sense_bar compound_6rRHNu).Y,4_rod(sense_bar compound_6rRHNu).Z,4_rod(sense_bar compound_6rRHNu).Euler1,4_rod(sense_bar compound_6rRHNu).Euler2,4_rod(sense_bar compound_6rRHNu).Euler3,4_rod(sense_bar compound_6rRHNu).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,3.06233e-05,50.0011,0.00847946,-0.000160678,-0.000121482,0.000110204,0.24652,3.06233e-05,50.0011,0.00847946,-0.000160678,-0.000121482,0.000110204,0.24652,3.06233e-05,50.0011,0.00847946,-0.000160678,-0.000121482,0.000110204,0.24652,3.06233e-05,50.0011,0.00847946,-0.000160678,-0.000121482,0.000110204,0.24652,3.06233e-05,50.0011,0.00847946,-0.000160678,-0.000121482,0.000110204,0.24652,-0.728241,49.9835,0.0153939,0.005637,0.0136006,-2.35187,0.0593527,0.752847,49.9789,0.0109611,0.00581504,0.0137558,-2.35187,0.0593527,0.00807322,49.4599,-0.512599,-0.0157004,0.0382284,2.35174,0.0593527,0.0164972,50.5025,0.538947,-0.0164391,0.0389584,2.35168,0.0593527,0.00032269,50.5027,-0.512415,-1.57381,-0.00269008,-0.00306169,0.0593527,0.0242557,49.4597,0.538819,-1.57382,-0.00326798,-0.00304803,0.0593527,
0.0202,6.85971e-05,49.9862,0.00846835,-0.000382918,-0.000316069,0.000245871,0.24652,6.85971e-05,49.9862,0.00846835,-0.000382918,-0.000316069,0.000245871,0.24652,6.85971e-05,49.9862,0.00846835,-0.000382918,-0.000316069,0.000245871,0.24652,6.85971e-05,49.9862,0.00846835,-0.000382918,-0.000316069,0.000245871,0.24652,6.85971e-05,49.9862,0.00846835,-0.000382918,-0.000316069,0.000245871,0.24652,-0.725899,49.9685,0.0153878,0.00575997,0.0137025,-2.35188,0.0593527,0.750422,49.964,0.0110019,0.00585486,0.0138071,-2.35188,0.0593527,0.00807052,49.4466,-0.510986,-0.0158634,0.0384241,2.3517,0.0593527,0.0164709,50.486,0.537376,-0.0162304,0.0387881,2.3517,0.0593527,0.000279777,50.4861,-0.510758,-1.5738,-0.00284893,-0.00306839,0.0593527,0.0242527,49.4464,0.537131,-1.57379,-0.00311225,-0.00307442,0.0593527,
0.0303,0.000106571,49.9612,0.00845732,-0.000605176,-0.000510622,0.000381725,0.24652,0.000106571,49.9612,0.00845732,-0.000605176,-0.000510622,0.000381725,0.24652,0.000106571,49.9612,0.00845732,-0.000605176,-0.000510622,0.000381725,0.24652,0.000106571,49.9612,0.00845732,-0.000605176,-0.000510622,0.000381725,0.24652,0.000106571,49.9612,0.00845732,-0.000605176,-0.000510622,0.000381725,0.24652,-0.726196,49.9436,0.0154099,0.00591663,0.0138624,-2.35189,0.0593527,0.750681,49.939,0.0109892,0.00571792,0.0136609,-2.3519,0.0593527,0.00803732,49.4214,-0.511185,-0.0163737,0.0389654,2.35168,0.0593527,0.0164367,50.4612,0.537583,-0.0156567,0.0382552,2.3517,0.0593527,0.000235391,50.4613,-0.510946,-1.57378,-0.00339315,-0.00308923,0.0593527,0.0242457,49.4213,0.537347,-1.57378,-0.0027861,-0.00308734,0.0593527,
0.0404,0.000141486,49.9262,0.00846372,-0.000822815,-0.000700151,0.000479058,0.24652,0.000141486,49.9262,0.00846372,-0.000822815,-0.000700151,0.000479058,0.24652,0.000141486,49.9262,0.00846372,-0.000822815,-0.000700151,0.000479058,0.24652,0.000141486,49.9262,0.00846372,-0.000822815,-0.000700151,0.000479058,0.24652,0.000141486,49.9262,0.00846372,-0.000822815,-0.000700151,0.000479058,0.24652,-0.729063,49.9085,0.0154702,0.00582488,0.0137687,-2.3519,0.0593527,0.753493,49.9041,0.0109361,0.00572474,0.0136659,-2.3519,0.0593527,0.00800072,49.3844,-0.513185,-0.0161897,0.0388169,2.35163,0.0593527,0.0164214,50.4282,0.539558,-0.0158167,0.0384498,2.35168,0.0593527,0.000189674,50.4283,-0.512957,-1.57376,-0.00322964,-0.00310495,0.0593527,0.0242527,49.3843,0.53935,-1.57378,-0.00297183,-0.00308723,0.0593527,
0.0505,-2.03376e-05,49.8812,0.00849447,-0.000383896,-0.00033989,0.000338589,0.24652,-2.03376e-05,49.8812,0.00849447,-0.000383896,-0.00033989,0.000338589,0.24652,-2.03376e-05,49.8812,0.00849447,-0.000383896,-0.00033989,0.000338589,0.24652,-2.03376e-05,49.8812,0.00849447,-0.000383896,-0.00033989,0.000338589,0.24652,-2.03376e-05,49.8812,0.00849447,-0.000383896,-0.00033989,0.000338589,0.24652,-0.73029,49.8636,0.0154107,0.00570346,0.0136653,-2.35189,0.0593527,0.754871,49.8591,0.0108918,0.00600218,0.0139471,-2.35189,0.0593527,0.00813925,49.3384,-0.514209,-0.0154172,0.0379892,2.35174,0.0593527,0.0165814,50.3842,0.540555,-0.0166888,0.0392451,2.35161,0.0593527,0.000309462,50.3843,-0.513869,-1.57385,-0.00236043,-0.00301984,0.0593527,0.0243559,49.3383,0.540264,-1.5738,-0.00348956,-0.00307332,0.0593527,
0.0606,-1.17916e-05,49.8263,0.00848489,0.00037747,0.000330889,6.13052e-05,0.24652,-1.17916e-05,49.8263,0.00848489,0.00037747,0.000330889,6.13052e-05,0.24652,-1.17916e-05,49.8263,0.00848489,0.00037747,0.000330889,6.13052e-05,0.24652,-1.17916e-05,49.8263,0.00848489,0.00037747,0.000330889,6.13052e-05,0.24652,-1.17916e-05,49.8263,0.00848489,0.00037747,0.000330889,6.13052e-05,0.24652,-0.728147,49.8086,0.0153818,0.00556991,0.0135365,-2.35187,0.0593527,0.752838,49.804,0.0109974,0.00603595,0.013981,-2.35186,0.0593527,0.00808877,49.285,-0.512661,-0.0152493,0.0376957,2.35173,0.0593527,0.016518,50.3277,0.53901,-0.0170042,0.0394353,2.3517,0.0593527,0.000396189,50.3278,-0.512405,-1.57385,-0.00231194,-0.00303697,0.0593527,0.0242367,49.2848,0.538761,-1.57388,-0.00343255,-0.00299753,0.0593527,
0.0707,6.30879e-07,49.7613,0.00852611,0.00111777,0.000981347,-0.000239486,0.24652,6.30879e-07,49.7613,0.00852611,0.00111777,0.000981347,-0.000239486,0.24652,6.30879e-07,49.7613,0.00852611,0.00111777,0.000981347,-0.000239486,0.24652,6.30879e-07,49.7613,0.00852611,0.00111777,0.000981347,-0.000239486,0.24652,6.30879e-07,49.7613,0.00852611,0.00111777,0.000981347,-0.000239486,0.24652,-0.728009,49.7437,0.0152948,0.00573856,0.0136977,-2.35184,0.0593527,0.752611,49.7389,0.0110013,0.00537538,0.0133455,-2.35185,0.0593527,0.00810507,49.2201,-0.512559,-0.016709,0.0390287,2.35173,0.0593527,0.01654,50.2625,0.538866,-0.0156317,0.0379608,2.35176,0.0593527,0.000455034,50.2627,-0.512286,-1.57393,-0.00357413,-0.00295186,0.0593527,0.0241776,49.2199,0.538595,-1.57392,-0.00262418,-0.00297211,0.0593527,
0.0808,6.58343e-06,49.6863,0.00849968,0.00139854,0.00121008,-0.000299769,0.24652,6.58343e-06,49.6863,0.00849968,0.00139854,0.00121008,-0.000299769,0.24652,6.58343e-06,49.6863,0.00849968,0.00139854,0.00121008,-0.000299769,0.24652,6.58343e-06,49.6863,0.00849968,0.00139854,0.00121008,-0.000299769,0.24652,6.58343e-06,49.6863,0.00849968,0.00139854,0.00121008,-0.000299769,0.24652,-0.729679,49.6687,0.0153895,0.00563761,0.0135319,-2.35184,0.0593527,0.754331,49.664,0.0109707,0.005143,0.0131561,-2.35185,0.0593527,0.00807099,49.144,-0.513636,-0.0169651,0.0392082,2.35173,0.0593527,0.0165171,50.1887,0.539994,-0.0154159,0.037674,2.35179,0.0593527,0.000654597,50.1889,-0.513446,-1.57384,-0.00380516,-0.00305788,0.0593527,0.0239593,49.1437,0.539749,-1.57385,-0.00255431,-0.00304317,0.0593527,
0.0909,8.72727e-06,49.6012,0.00846986,-0.000313402,-0.000282013,2.89521e-05,0.24652,8.72727e-06,49.6012,0.00846986,-0.000313402,-0.000282013,2.89521e-05,0.24652,8.72727e-06,49.6012,0.00846986,-0.000313402,-0.000282013,2.89521e-05,0.24652,8.72727e-06,49.6012,0.00846986,-0.000313402,-0.000282013,2.89521e-05,0.24652,8.72727e-06,49.6012,0.00846986,-0.000313402,-0.000282013,2.89521e-05,0.24652,-0.729569,49.5836,0.0154242,0.00524904,0.013267,-2.35187,0.0593527,0.754208,49.5791,0.0109409,0.00573832,0.0136323,-2.35187,0.0593527,0.00808164,49.059,-0.513602,-0.0151363,0.0377032,2.35177,0.0593527,0.0165175,50.1036,0.539931,-0.0170446,0.0395911,2.35166,0.0593527,0.000296325,50.1038,-0.513326,-1.57382,-0.00236196,-0.0030592,0.0593527,0.0243115,49.0589,0.539777,-1.57383,-0.0035743,-0.00303911,0.0593527,
0.101,2.66293e-05,49.5063,0.00851793,-0.00188161,-0.00161534,0.00039943,0.24652,2.66293e-05,49.5063,0.00851793,-0.00188161,-0.00161534,0.00039943,0.24652,2.66293e-05,49.5063,0.00851793,-0.00188161,-0.00161534,0.00039943,0.24652,2.66293e-05,49.5063,0.00851793,-0.00188161,-0.00161534,0.00039943,0.24652,2.66293e-05,49.5063,0.00851793,-0.00188161,-0.00161534,0.00039943,0.24652,-0.728798,49.4885,0.0154701,0.00585029,0.0137604,-2.3519,0.0593527,0.753368,49.4841,0.0108473,0.00642202,0.0143626,-2.35189,0.0593527,0.00810365,48.9646,-0.513053,-0.0147123,0.0375249,2.35171,0.0593527,0.0165082,50.008,0.539388,-0.0172135,0.0400028,2.35162,0.0593527,0.000126091,50.0082,-0.512838,-1.57372,-0.00178336,-0.00313724,0.0593527,0.0244634,48.9644,0.53913,-1.57371,-0.00381028,-0.00314372,0.0593527,
0.1111,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,-0.729091,49.3834,0.0154421,0.00673627,0.0146358,-2.35189,0.0593527,0.753679,49.3791,0.0108346,0.00630253,0.0142136,-2.35189,0.0593527,0.00807174,48.8593,-0.513252,-0.0164793,0.0393104,2.35165,0.0593527,0.016459,49.9032,0.539548,-0.0151946,0.0380381,2.35168,0.0593527,3.66015e-05,49.9033,-0.513044,-1.57371,-0.00348866,-0.00311976,0.0593527,0.0245301,48.8592,0.539318,-1.57374,-0.00249899,-0.00309337,0.0593527,
0.1212,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,-0.72962,49.2685,0.0154043,0.006242,0.0142166,-2.35187,0.0593527,0.754293,49.264,0.0109659,0.00568855,0.0136145,-2.35188,0.0593527,0.00808267,48.7439,-0.513642,-0.0169605,0.0394936,2.35167,0.0593527,0.0165058,49.7886,0.540007,-0.0149254,0.0374778,2.35174,0.0593527,0.000305278,49.7888,-0.513415,-1.5738,-0.00417205,-0.00304321,0.0593527,0.0243138,48.7437,0.53983,-1.57383,-0.00213483,-0.00302596,0.0593527,
