time,0_rod(payload_bars compound_3ZGoMv).X,0_rod(payload_bars compound_3ZGoMv).Y,0_rod(payload_bars compound_3ZGoMv).Z,0_rod(payload_bars compound_3ZGoMv).Euler1,0_rod(payload_bars compound_3ZGoMv).Euler2,0_rod(payload_bars compound_3ZGoMv).Euler3,0_rod(payload_bars compound_3ZGoMv).mass,1_rod(payload_bars compound_3ZGoMv).X,1_rod(payload_bars compound_3ZGoMv).Y,1_rod(payload_bars compound_3ZGoMv).Z,1_rod(payload_bars compound_3ZGoMv).Euler1,1_rod(payload_bars compound_3ZGoMv).Euler2,1_rod(payload_bars compound_3ZGoMv).Euler3,1_rod(payload_bars compound_3ZGoMv).mass,2_rod(payload_bars compound_3ZGoMv).X,2_rod(payload_bars compound_3ZGoMv).Y,2_rod(payload_bars compound_3ZGoMv).Z,2_rod(payload_bars compound_3ZGoMv).Euler1,2_rod(payload_bars compound_3ZGoMv).Euler2,2_rod(payload_bars compound_3ZGoMv).Euler3,2_rod(payload_bars compound_3ZGoMv).mass,3_rod(payload_bars compound_3ZGoMv).X,3_rod(payload_bars compound_3ZGoMv).Y,3_rod(payload_bars compound_3ZGoMv).Z,3_rod(payload_bars compound_3ZGoMv).Euler1,3_rod(payload_bars compound_3ZGoMv).Euler2,3_rod(payload_bars compound_3ZGoMv).Euler3,3_rod(payload_bars compound_3ZGoMv).mass,4_rod(sense_bar compound_3ZGoMv).X,4_rod(sense_bar compound_3ZGoMv).Y,4_rod(sense_bar compound_3ZGoMv).Z,4_rod(sense_bar compound_3ZGoMv).Euler1,4_rod(sense_bar compound_3ZGoMv).Euler2,4_rod(sense_bar compound_3ZGoMv).Euler3,4_rod(sense_bar compound_3ZGoMv).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,3.25038e-05,50.0011,0.00848036,-0.000180125,-0.000121516,0.000131343,0.24652,3.25038e-05,50.0011,0.00848036,-0.000180125,-0.000121516,0.000131343,0.24652,3.25038e-05,50.0011,0.00848036,-0.000180125,-0.000121516,0.000131343,0.24652,3.25038e-05,50.0011,0.00848036,-0.000180125,-0.000121516,0.000131343,0.24652,3.25038e-05,50.0011,0.00848036,-0.000180125,-0.000121516,0.000131343,0.24652,-0.722648,49.9835,0.015349,0.00562325,0.0136091,-2.35187,0.0589629,0.747285,49.979,0.0109752,0.00583369,0.0137536,-2.35187,0.0589629,0.00808613,49.4639,-0.508656,-0.0156297,0.0381673,2.35176,0.0589629,0.0164477,50.4986,0.534995,-0.0165017,0.0390269,2.35165,0.0589629,0.000392012,50.4988,-0.508441,-1.5738,-0.00263123,-0.00307322,0.0589629,0.0241833,49.4636,0.53488,-1.57384,-0.00330798,-0.0030273,0.0589629,
0.0202,6.46513e-05,49.9862,0.00847837,-0.000466359,-0.00034319,0.000296298,0.24652,6.46513e-05,49.9862,0.00847837,-0.000466359,-0.00034319,0.000296298,0.24652,6.46513e-05,49.9862,0.00847837,-0.000466359,-0.00034319,0.000296298,0.24652,6.46513e-05,49.9862,0.00847837,-0.000466359,-0.00034319,0.000296298,0.24652,6.46513e-05,49.9862,0.00847837,-0.000466359,-0.00034319,0.000296298,0.24652,-0.718756,49.9685,0.0153353,0.00571618,0.0136559,-2.35189,0.0589629,0.74327,49.964,0.011047,0.00591904,0.0138615,-2.35189,0.0589629,0.00811948,49.4515,-0.505979,-0.015773,0.0383487,2.3517,0.0589629,0.0164397,50.481,0.532354,-0.0163173,0.038889,2.3517,0.0589629,0.000356672,50.481,-0.505713,-1.5738,-0.00272648,-0.00306598,0.0589629,0.0241824,49.4515,0.532067,-1.57378,-0.00319766,-0.00308304,0.0589629,
0.0303,9.70079e-05,49.9612,0.00847924,-0.000753348,-0.000565281,0.000459184,0.24652,9.70079e-05,49.9612,0.00847924,-0.000753348,-0.000565281,0.000459184,0.24652,9.70079e-05,49.9612,0.00847924,-0.000753348,-0.000565281,0.000459184,0.24652,9.70079e-05,49.9612,0.00847924,-0.000753348,-0.000565281,0.000459184,0.24652,9.70079e-05,49.9612,0.00847924,-0.000753348,-0.000565281,0.000459184,0.24652,-0.717721,49.9435,0.015325,0.00597262,0.0139036,-2.3519,0.0589629,0.742218,49.939,0.0110444,0.00571436,0.0136555,-2.3519,0.0589629,0.00809027,49.4274,-0.505188,-0.0163911,0.0390058,2.35167,0.0589629,0.0163955,50.4552,0.531561,-0.0156081,0.0382304,2.3517,0.0589629,0.000308765,50.4553,-0.504979,-1.57376,-0.00345115,-0.00309471,0.0589629,0.0241849,49.4272,0.531344,-1.57377,-0.00274587,-0.00309227,0.0589629,
0.0404,0.000129364,49.9263,0.00848011,-0.00104037,-0.000787325,0.000622133,0.24652,0.000129364,49.9263,0.00848011,-0.00104037,-0.000787325,0.000622133,0.24652,0.000129364,49.9263,0.00848011,-0.00104037,-0.000787325,0.000622133,0.24652,0.000129364,49.9263,0.00848011,-0.00104037,-0.000787325,0.000622133,0.24652,0.000129364,49.9263,0.00848011,-0.00104037,-0.000787325,0.000622133,0.24652,-0.719611,49.9085,0.0153677,0.00590373,0.0138362,-2.35191,0.0589629,0.744066,49.904,0.0109993,0.00571891,0.0136475,-2.35192,0.0589629,0.0080621,49.391,-0.506513,-0.0162474,0.0389079,2.35166,0.0589629,0.0163769,50.4215,0.532879,-0.0156922,0.038358,2.35168,0.0589629,0.000262933,50.4216,-0.506298,-1.57374,-0.00336912,-0.00311484,0.0589629,0.0241847,49.3909,0.53267,-1.57374,-0.00289224,-0.00311041,0.0589629,
0.0505,7.94195e-05,49.8813,0.00852024,-0.00119195,-0.000909736,0.00063006,0.24652,7.94195e-05,49.8813,0.00852024,-0.00119195,-0.000909736,0.00063006,0.24652,7.94195e-05,49.8813,0.00852024,-0.00119195,-0.000909736,0.00063006,0.24652,7.94195e-05,49.8813,0.00852024,-0.00119195,-0.000909736,0.00063006,0.24652,7.94195e-05,49.8813,0.00852024,-0.00119195,-0.000909736,0.00063006,0.24652,-0.723789,49.8635,0.0153909,0.00576467,0.0136896,-2.35191,0.0589629,0.74837,49.8591,0.0109417,0.00593604,0.0139268,-2.35191,0.0589629,0.00803081,49.3432,-0.509374,-0.0154901,0.0382007,2.35166,0.0589629,0.01638,50.3794,0.535701,-0.0164427,0.0391441,2.35161,0.0589629,0.000169836,50.3797,-0.509319,-1.57375,-0.00261456,-0.00309924,0.0589629,0.0243884,49.343,0.535594,-1.57389,-0.00334854,-0.00296082,0.0589629,
0.0606,-8.88667e-06,49.8262,0.00847749,-0.000628628,-0.000508272,0.000487526,0.24652,-8.88667e-06,49.8262,0.00847749,-0.000628628,-0.000508272,0.000487526,0.24652,-8.88667e-06,49.8262,0.00847749,-0.000628628,-0.000508272,0.000487526,0.24652,-8.88667e-06,49.8262,0.00847749,-0.000628628,-0.000508272,0.000487526,0.24652,-8.88667e-06,49.8262,0.00847749,-0.000628628,-0.000508272,0.000487526,0.24652,-0.724189,49.8086,0.0153826,0.0057194,0.0137325,-2.3519,0.0589629,0.748788,49.8042,0.0109279,0.00618806,0.0140808,-2.3519,0.0589629,0.00815205,49.2877,-0.509889,-0.0152156,0.0378346,2.35174,0.0589629,0.0165243,50.325,0.53623,-0.0168221,0.0394207,2.35158,0.0589629,0.000335239,50.325,-0.509524,-1.57383,-0.00228223,-0.00303354,0.0589629,0.0243086,49.2877,0.535987,-1.5738,-0.00345001,-0.0030609,0.0589629,
0.0707,5.53274e-06,49.7613,0.00847297,0.000173654,6.86325e-05,0.000264038,0.24652,5.53274e-06,49.7613,0.00847297,0.000173654,6.86325e-05,0.000264038,0.24652,5.53274e-06,49.7613,0.00847297,0.000173654,6.86325e-05,0.000264038,0.24652,5.53274e-06,49.7613,0.00847297,0.000173654,6.86325e-05,0.000264038,0.24652,5.53274e-06,49.7613,0.00847297,0.000173654,6.86325e-05,0.000264038,0.24652,-0.721855,49.7436,0.0153673,0.00568402,0.0136582,-2.35188,0.0589629,0.746493,49.739,0.0110236,0.00584254,0.0137901,-2.35188,0.0589629,0.00812013,49.2246,-0.508032,-0.0158918,0.0383737,2.35169,0.0589629,0.0164848,50.2581,0.534385,-0.0163268,0.0388056,2.35169,0.0589629,0.000451594,50.2584,-0.507921,-1.57384,-0.00289861,-0.00305041,0.0589629,0.0241644,49.2243,0.534311,-1.57385,-0.0031267,-0.00303665,0.0589629,
0.0808,4.23225e-05,49.6863,0.00853738,0.000893642,0.000565929,-7.67405e-06,0.24652,4.23225e-05,49.6863,0.00853738,0.000893642,0.000565929,-7.67405e-06,0.24652,4.23225e-05,49.6863,0.00853738,0.000893642,0.000565929,-7.67405e-06,0.24652,4.23225e-05,49.6863,0.00853738,0.000893642,0.000565929,-7.67405e-06,0.24652,4.23225e-05,49.6863,0.00853738,0.000893642,0.000565929,-7.67405e-06,0.24652,-0.721058,49.6686,0.015268,0.00574989,0.01372,-2.35186,0.0589629,0.745635,49.6639,0.0110267,0.0052449,0.0132388,-2.35187,0.0589629,0.0080892,49.15,-0.507597,-0.0167608,0.0391365,2.3517,0.0589629,0.0164682,50.1826,0.533898,-0.0155694,0.0379572,2.35175,0.0589629,0.000468599,50.1827,-0.507384,-1.5739,-0.00370303,-0.00299582,0.0589629,0.0241021,49.1498,0.533653,-1.57391,-0.00265922,-0.0029919,0.0589629,
0.0909,6.90091e-05,49.6013,0.00855906,0.00149792,0.000957884,-0.000184798,0.24652,6.90091e-05,49.6013,0.00855906,0.00149792,0.000957884,-0.000184798,0.24652,6.90091e-05,49.6013,0.00855906,0.00149792,0.000957884,-0.000184798,0.24652,6.90091e-05,49.6013,0.00855906,0.00149792,0.000957884,-0.000184798,0.24652,6.90091e-05,49.6013,0.00855906,0.00149792,0.000957884,-0.000184798,0.24652,-0.722344,49.5837,0.0152464,0.0056527,0.0136134,-2.35185,0.0589629,0.746879,49.5789,0.0109917,0.00545204,0.0134645,-2.35185,0.0589629,0.00804449,49.0642,-0.508406,-0.0162663,0.0385565,2.35176,0.0589629,0.0164496,50.0983,0.53467,-0.0160956,0.0383858,2.35174,0.0589629,0.000553477,50.0986,-0.508253,-1.5739,-0.00323204,-0.00301774,0.0589629,0.0240113,49.0639,0.534525,-1.57396,-0.00283835,-0.00295843,0.0589629,
0.101,1.77373e-06,49.5062,0.00845965,0.00083812,0.000543053,-0.00016165,0.24652,1.77373e-06,49.5062,0.00845965,0.00083812,0.000543053,-0.00016165,0.24652,1.77373e-06,49.5062,0.00845965,0.00083812,0.000543053,-0.00016165,0.24652,1.77373e-06,49.5062,0.00845965,0.00083812,0.000543053,-0.00016165,0.24652,1.77373e-06,49.5062,0.00845965,0.00083812,0.000543053,-0.00016165,0.24652,-0.723681,49.4886,0.0153868,0.0053071,0.013303,-2.35186,0.0589629,0.748315,49.484,0.0109819,0.00591189,0.0138323,-2.35185,0.0589629,0.00811776,48.9682,-0.509409,-0.0152763,0.0376552,2.35178,0.0589629,0.0165089,50.0045,0.535808,-0.0170917,0.0394524,2.3517,0.0589629,0.000591244,50.0047,-0.509171,-1.57386,-0.00240252,-0.00305054,0.0589629,0.0240227,48.968,0.535592,-1.57385,-0.00331885,-0.00305217,0.0589629,
