time,0_rod(payload_bars compound_GHtiUC).X,0_rod(payload_bars compound_GHtiUC).Y,0_rod(payload_bars compound_GHtiUC).Z,0_rod(payload_bars compound_GHtiUC).Euler1,0_rod(payload_bars compound_GHtiUC).Euler2,0_rod(payload_bars compound_GHtiUC).Euler3,0_rod(payload_bars compound_GHtiUC).mass,1_rod(payload_bars compound_GHtiUC).X,1_rod(payload_bars compound_GHtiUC).Y,1_rod(payload_bars compound_GHtiUC).Z,1_rod(payload_bars compound_GHtiUC).Euler1,1_rod(payload_bars compound_GHtiUC).Euler2,1_rod(payload_bars compound_GHtiUC).Euler3,1_rod(payload_bars compound_GHtiUC).mass,2_rod(payload_bars compound_GHtiUC).X,2_rod(payload_bars compound_GHtiUC).Y,2_rod(payload_bars compound_GHtiUC).Z,2_rod(payload_bars compound_GHtiUC).Euler1,2_rod(payload_bars compound_GHtiUC).Euler2,2_rod(payload_bars compound_GHtiUC).Euler3,2_rod(payload_bars compound_GHtiUC).mass,3_rod(payload_bars compound_GHtiUC).X,3_rod(payload_bars compound_GHtiUC).Y,3_rod(payload_bars compound_GHtiUC).Z,3_rod(payload_bars compound_GHtiUC).Euler1,3_rod(payload_bars compound_GHtiUC).Euler2,3_rod(payload_bars compound_GHtiUC).Euler3,3_rod(payload_bars compound_GHtiUC).mass,4_rod(sense_bar compound_GHtiUC).X,4_rod(sense_bar compound_GHtiUC).Y,4_rod(sense_bar compound_GHtiUC).Z,4_rod(sense_bar compound_GHtiUC).Euler1,4_rod(sense_bar compound_GHtiUC).Euler2,4_rod(sense_bar compound_GHtiUC).Euler3,4_rod(sense_bar compound_GHtiUC).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000375152,50.0011,0.00847835,-0.000135679,0.0003172,0.000113752,0.24652,-0.000375152,50.0011,0.00847835,-0.000135679,0.0003172,0.000113752,0.24652,-0.000375152,50.0011,0.00847835,-0.000135679,0.0003172,0.000113752,0.24652,-0.000375152,50.0011,0.00847835,-0.000135679,0.0003172,0.000113752,0.24652,-0.000375152,50.0011,0.00847835,-0.000135679,0.0003172,0.000113752,0.24652,-0.728233,49.9835,0.0153708,0.00566385,0.0136051,-2.35187,0.0593527,0.753138,49.979,0.0109923,0.00584684,0.0137515,-2.35187,0.0593527,0.00848081,49.4598,-0.512698,-0.0157977,0.0382773,2.35174,0.0593527,0.016878,50.5026,0.539039,-0.0163922,0.0388641,2.35168,0.0593527,0.000644977,50.5028,-0.512451,-1.57392,-0.00348925,-0.0029265,0.0593527,0.0245311,49.4597,0.538858,-1.57374,-0.00254357,-0.00310222,0.0593527,
0.0202,-0.000829504,49.9862,0.00844415,-0.000220971,0.000794943,0.000243344,0.24652,-0.000829504,49.9862,0.00844415,-0.000220971,0.000794943,0.000243344,0.24652,-0.000829504,49.9862,0.00844415,-0.000220971,0.000794943,0.000243344,0.24652,-0.000829504,49.9862,0.00844415,-0.000220971,0.000794943,0.000243344,0.24652,-0.000829504,49.9862,0.00844415,-0.000220971,0.000794943,0.000243344,0.24652,-0.725228,49.9686,0.0153318,0.00574662,0.0136163,-2.35188,0.0593527,0.751079,49.9639,0.0110901,0.00586952,0.0137602,-2.35188,0.0593527,0.00869095,49.4466,-0.510964,-0.0158194,0.0382554,2.35171,0.0593527,0.0170216,50.4859,0.537394,-0.0163483,0.03878,2.3517,0.0593527,0.000961427,50.4861,-0.510736,-1.5738,-0.00318705,-0.00300128,0.0593527,0.0248024,49.4464,0.537137,-1.57385,-0.002818,-0.00294795,0.0593527,
0.0303,-0.00126173,49.9612,0.00841829,-0.000343368,0.0012391,0.000373206,0.24652,-0.00126173,49.9612,0.00841829,-0.000343368,0.0012391,0.000373206,0.24652,-0.00126173,49.9612,0.00841829,-0.000343368,0.0012391,0.000373206,0.24652,-0.00126173,49.9612,0.00841829,-0.000343368,0.0012391,0.000373206,0.24652,-0.00126173,49.9612,0.00841829,-0.000343368,0.0012391,0.000373206,0.24652,-0.725126,49.9436,0.0153307,0.00581614,0.0136569,-2.35189,0.0593527,0.751499,49.939,0.0111315,0.00562117,0.0134542,-2.3519,0.0593527,0.00906142,49.4214,-0.51107,-0.0164562,0.0388461,2.35168,0.0593527,0.0173465,50.4611,0.537525,-0.0156322,0.0380301,2.35172,0.0593527,0.00130276,50.4612,-0.510826,-1.57383,-0.00259956,-0.00292834,0.0593527,0.0250392,49.4214,0.537269,-1.57376,-0.00348771,-0.00299208,0.0593527,
0.0404,-0.000602431,49.9261,0.00845435,-0.000890796,0.00133511,0.000482546,0.24652,-0.000602431,49.9261,0.00845435,-0.000890796,0.00133511,0.000482546,0.24652,-0.000602431,49.9261,0.00845435,-0.000890796,0.00133511,0.000482546,0.24652,-0.000602431,49.9261,0.00845435,-0.000890796,0.00133511,0.000482546,0.24652,-0.000602431,49.9261,0.00845435,-0.000890796,0.00133511,0.000482546,0.24652,-0.728011,49.9086,0.0153158,0.0057753,0.0135481,-2.3519,0.0593527,0.753241,49.9042,0.0111005,0.00543884,0.0132788,-2.35191,0.0593527,0.00873635,49.3849,-0.512732,-0.0157463,0.0381985,2.35169,0.0593527,0.0169919,50.4278,0.539147,-0.0162629,0.0387094,2.35163,0.0593527,0.000781742,50.4279,-0.512477,-1.57391,-0.00300337,-0.00278451,0.0593527,0.0246444,49.3848,0.538856,-1.57362,-0.00310076,-0.0030675,0.0593527,
0.0505,-3.75393e-05,49.8813,0.0084883,-0.000633817,0.000523397,0.000318677,0.24652,-3.75393e-05,49.8813,0.0084883,-0.000633817,0.000523397,0.000318677,0.24652,-3.75393e-05,49.8813,0.0084883,-0.000633817,0.000523397,0.000318677,0.24652,-3.75393e-05,49.8813,0.0084883,-0.000633817,0.000523397,0.000318677,0.24652,-3.75393e-05,49.8813,0.0084883,-0.000633817,0.000523397,0.000318677,0.24652,-0.730317,49.8635,0.0153501,0.0055243,0.0134987,-2.35189,0.0593527,0.75505,49.8592,0.0110213,0.00591219,0.0138214,-2.35189,0.0593527,0.00810785,49.3383,-0.514292,-0.0150472,0.0375636,2.35172,0.0593527,0.0164919,50.3843,0.540591,-0.0167621,0.039261,2.35165,0.0593527,0.000400997,50.3844,-0.513966,-1.57377,-0.00377841,-0.00299624,0.0593527,0.0243043,49.3383,0.540365,-1.57378,-0.00228211,-0.00298966,0.0593527,
0.0606,-0.000336103,49.8263,0.00852807,0.000690586,-0.000465116,4.00002e-05,0.24652,-0.000336103,49.8263,0.00852807,0.000690586,-0.000465116,4.00002e-05,0.24652,-0.000336103,49.8263,0.00852807,0.000690586,-0.000465116,4.00002e-05,0.24652,-0.000336103,49.8263,0.00852807,0.000690586,-0.000465116,4.00002e-05,0.24652,-0.000336103,49.8263,0.00852807,0.000690586,-0.000465116,4.00002e-05,0.24652,-0.728556,49.8087,0.0154046,0.00565435,0.0137074,-2.35187,0.0593527,0.753422,49.804,0.010891,0.0062164,0.0142393,-2.35186,0.0593527,0.00839826,49.2847,-0.512957,-0.0159793,0.0384524,2.35173,0.0593527,0.0169151,50.3279,0.539259,-0.0160756,0.0385471,2.35172,0.0593527,0.000609823,50.3281,-0.512736,-1.574,-0.00381734,-0.00298103,0.0593527,0.0244886,49.2845,0.539042,-1.5738,-0.00226426,-0.00318343,0.0593527,
0.0707,-0.000318927,49.7613,0.00854679,0.00194048,-0.00137105,-0.000207708,0.24652,-0.000318927,49.7613,0.00854679,0.00194048,-0.00137105,-0.000207708,0.24652,-0.000318927,49.7613,0.00854679,0.00194048,-0.00137105,-0.000207708,0.24652,-0.000318927,49.7613,0.00854679,0.00194048,-0.00137105,-0.000207708,0.24652,-0.000318927,49.7613,0.00854679,0.00194048,-0.00137105,-0.000207708,0.24652,-0.727658,49.7437,0.0154264,0.00577483,0.0139926,-2.35185,0.0593527,0.752796,49.7389,0.0108443,0.00548286,0.0137265,-2.35185,0.0593527,0.00814728,49.2201,-0.512518,-0.0167461,0.039186,2.35172,0.0593527,0.0168617,50.2625,0.538804,-0.0159734,0.0384208,2.35174,0.0593527,0.000602097,50.2626,-0.512241,-1.57398,-0.00250295,-0.00317742,0.0593527,0.0244572,49.22,0.538511,-1.57402,-0.00353296,-0.00313476,0.0593527,
0.0808,-0.000236317,49.6863,0.00859054,0.00230919,-0.0019734,-0.000248429,0.24652,-0.000236317,49.6863,0.00859054,0.00230919,-0.0019734,-0.000248429,0.24652,-0.000236317,49.6863,0.00859054,0.00230919,-0.0019734,-0.000248429,0.24652,-0.000236317,49.6863,0.00859054,0.00230919,-0.0019734,-0.000248429,0.24652,-0.000236317,49.6863,0.00859054,0.00230919,-0.0019734,-0.000248429,0.24652,-0.728964,49.6688,0.0155864,0.00564215,0.01374,-2.35185,0.0593527,0.753867,49.6637,0.0106382,0.00505557,0.0131592,-2.35186,0.0593527,0.00815802,49.1443,-0.513351,-0.0166563,0.0391227,2.35174,0.0593527,0.0168613,50.1883,0.539595,-0.0164344,0.0389033,2.35174,0.0593527,0.000525597,50.1885,-0.513131,-1.5741,-0.00219685,-0.00317011,0.0593527,0.0244159,49.1441,0.539307,-1.574,-0.00374359,-0.00326917,0.0593527,
0.0909,-0.000168676,49.6012,0.00845641,-0.000117087,2.05022e-05,4.73551e-05,0.24652,-0.000168676,49.6012,0.00845641,-0.000117087,2.05022e-05,4.73551e-05,0.24652,-0.000168676,49.6012,0.00845641,-0.000117087,2.05022e-05,4.73551e-05,0.24652,-0.000168676,49.6012,0.00845641,-0.000117087,2.05022e-05,4.73551e-05,0.24652,-0.000168676,49.6012,0.00845641,-0.000117087,2.05022e-05,4.73551e-05,0.24652,-0.729597,49.5836,0.0154231,0.0054696,0.013466,-2.35187,0.0593527,0.754189,49.5791,0.010957,0.0058392,0.0137481,-2.35187,0.0593527,0.00830888,49.059,-0.513578,-0.0156172,0.0381261,2.35174,0.0593527,0.0167411,50.1036,0.539959,-0.0172818,0.0397737,2.35167,0.0593527,0.000521021,50.1038,-0.513307,-1.57391,-0.00395203,-0.0029571,0.0593527,0.0244192,49.0589,0.539748,-1.57374,-0.00206937,-0.00312673,0.0593527,
0.101,-0.000280007,49.5061,0.00841776,-0.00204926,0.00235673,0.000360995,0.24652,-0.000280007,49.5061,0.00841776,-0.00204926,0.00235673,0.000360995,0.24652,-0.000280007,49.5061,0.00841776,-0.00204926,0.00235673,0.000360995,0.24652,-0.000280007,49.5061,0.00841776,-0.00204926,0.00235673,0.000360995,0.24652,-0.000280007,49.5061,0.00841776,-0.00204926,0.00235673,0.000360995,0.24652,-0.728603,49.4884,0.0152168,0.00586733,0.0135779,-2.35189,0.0593527,0.753613,49.4843,0.0112476,0.00650956,0.014268,-2.35188,0.0593527,0.00846183,48.9646,-0.51303,-0.0149833,0.0374575,2.35172,0.0593527,0.0165824,50.0081,0.539499,-0.0163456,0.0388065,2.35166,0.0593527,0.000557698,50.0083,-0.512833,-1.57368,-0.00427706,-0.00281099,0.0593527,0.0244337,48.9644,0.539262,-1.57364,-0.00187467,-0.00285492,0.0593527,
